Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,63.914001,49.237999,12.195,37.042999,4.117,,,,0.0,,,,,0.882,,,,,,,54.237,8.794,12.812,-4.018,0.0,0.883,,,,,,0.883,9.677,,1.238,1.238,,,,0.0,,,,,9.62,,,,9.62,10.858,0.0,,,,,0.0,,,,,0.0,0.0,10.858,0.0,88.855003,,,0.0,,-37.657001,51.198002,1.858,53.056002,63.914002,
06/30/1998,61.382999,45.876999,22.882999,22.993999,4.328,,,,0.0,,,,,1.067,,,,,,,51.271999,9.231,14.119,-4.888,0.0,0.88,,,,,,0.88,10.111,,1.865,1.865,,,,0.0,,,,,11.448,,,,11.448,13.313,0.0,,,,,0.0,,,,,0.0,0.0,13.313,0.0,88.971001,,,0.0,,-42.433998,46.537003,1.533,48.070003,61.383002,
09/30/1998,63.643002,42.467999,18.101999,24.365999,8.47,,,,0.0,,,,,2.351,,,,,,,53.289001,9.378,15.407,-6.029,0.0,0.976,,,,,,0.976,10.354,,5.505,5.505,,,,0.0,,,,,14.485,,,,14.485,19.99,0.0,,,,,0.0,,,,,0.0,0.0,19.99,0.0,91.518997,,,0.0,,-49.162998,42.355999,1.297,43.652999,63.642999,
12/31/1998,64.294998,41.744999,22.785999,18.959,9.769,,,,0.0,,,,,2.174,,,,,,,53.688,9.234,16.312,-7.078,0.0,1.373,,,,,,1.373,10.607,,5.472,5.472,,,,0.0,,,,,17.131001,,,,17.131001,22.603001,0.0,,,,,0.0,,,,,0.0,0.0,22.603001,0.0,92.82,,,0.0,,-52.091999,40.728001,0.964,41.692001,64.295001,
03/31/1999,188.966003,157.282997,108.948997,48.334,13.217,,,,0.0,,,,,4.422,,,,,,,174.921997,10.467,18.59,-8.123,0.0,3.577,,,,,,3.577,14.044,,6.094,6.094,,,,0.0,,,,,19.912001,,,,19.912001,26.006001,0.0,,,,,0.0,,,,,0.0,0.0,26.006001,0.0,216.005005,,,0.0,,-53.758999,162.246006,0.714,162.960006,188.966007,
06/30/1999,196.755005,154.66,92.206001,62.453999,16.459999,,,,0.0,0.0,0.0,0.0,,4.801,,,,,,,175.921005,9.86,19.021999,-9.162,0.0,10.974,0.0,,,,,10.974,20.834,,7.406,7.406,,,,0.0,,,,,24.657999,,,,24.657999,32.063999,0.0,,,,,0.0,,,,,0.0,0.0,32.063999,0.0,217.931,,,0.0,,-53.776001,164.154999,0.536,164.690999,196.754998,
09/30/1999,243.020996,160.092003,69.458,90.634003,20.033001,,,,0.0,,,,,4.807,,,,,,,184.932007,9.81,,,45.576,2.703,,,,,,2.703,58.089001,,6.369,6.369,,,,0.0,,,,,29.652,,,,29.652,36.021,0.0,,,,,0.0,,,,,0.0,0.0,36.021,0.0,223.921005,,,0.0,,-17.163,206.758005,0.242,207.000005,243.021005,
12/31/1999,341.165985,156.480003,70.382004,86.098,22.726999,,,,0.0,0.0,0.0,0.0,,3.635,,,,,,,182.841995,10.194,21.665001,-11.471,144.751007,3.379,0.0,,,,,3.379,158.324007,,4.665,4.665,,,,0.0,,,,,38.014001,,,,38.014001,42.679001,0.0,,,,,0.0,,,,,0.0,0.0,42.679001,0.0,258.34201,,,0.0,,40.016998,298.359009,0.128,298.487009,341.16601,
03/31/2000,1888.543945,123.640003,108.383003,15.257,33.872002,,,,0.0,,,,,10.094,,,,,,,167.606003,14.697,26.878,-12.181,229.865005,1476.375977,1471.822998,,,,,4.552979,1720.937982,,6.789,6.789,,,,0.0,,,,,57.320001,,,,57.320001,64.109001,0.0,,,,,0.0,,,,,0.0,0.0,64.109001,0.0,1819.359009,,,0.0,,5.095,1824.454009,-0.019,1824.435009,1888.54401,
06/30/2000,21534.980469,1044.814978,1013.526978,31.288,55.685001,,,,0.0,0.0,0.0,0.0,,111.651001,,,,,,,1212.151001,88.223,102.002998,-13.78,238.455002,19996.150391,19993.019531,,,,,3.130859,20322.828392,,149.602997,149.602997,,,,0.0,,,,,475.535004,,,,475.535004,625.138,0.0,,,,,269.446014,,,,,269.446014,269.446014,894.584015,0.0,21125.789062,,,0.0,,-485.394012,20640.39505,0.0,20640.39505,21534.979065,
