Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,599.448975,4.302,4.302,0.0,122.911003,,,,195.121994,,,,,36.563,,,,,,358.89801,113.526001,173.656998,-60.131001,0.0,127.025002,,,,,127.025002,240.551003,,46.533001,46.533001,,,,81.689003,,,,,,54.591991,,,54.591991,182.813995,147.638,,,,,62.896999,,,,,,62.896999,210.535,393.348995,0.0,213.632996,,,-50.0,,42.467,206.099996,0.0,206.099996,599.448991,
06/30/1990,632.327026,7.649,7.649,0.0,147.709,,,,198.188004,,,,,34.205002,,,,,,387.751007,115.787003,179.322998,-63.535999,0.0,128.789001,,,,,128.789001,244.576004,,44.463001,44.463001,,,,94.420998,,,,,,58.957996,,,58.957996,197.841995,155.688004,,,,,63.196999,,,,,,63.196999,218.885002,416.726997,0.0,213.858994,,,-50.0,,51.741,215.599994,0.0,215.599994,632.326991,
09/30/1990,621.161987,10.99,10.99,0.0,131.408997,,,,200.227005,,,,,32.740002,,,,,,375.365997,116.970001,184.75,-67.779999,0.0,128.826004,,,,,128.826004,245.796005,,39.189999,39.189999,,,,15.709,,,,,,60.507,,,60.507,115.405998,222.397003,,,,,63.497002,,,,,,63.497002,285.894005,401.300003,0.0,214.432007,,,-50.0,,55.43,219.862007,0.0,219.862007,621.16201,
12/31/1990,624.140991,12.545,12.545,0.0,120.831001,,,,196.953995,,,,,47.006001,,,,,,377.335999,117.912003,186.753998,-68.842003,0.0,128.893005,,,,,128.893005,246.805008,,46.817001,46.817001,,,,15.471,,,,,,54.311997,,,54.311997,116.599998,226.153,,,,,64.903999,,,,,,64.903999,291.056999,407.656997,0.0,214.561005,,,-50.0,,51.923,216.484005,0.0,216.484005,624.141002,
03/31/1991,636.507996,8.472,8.472,0.0,129.313004,,,,200.761993,,,,,42.903,,,,,,381.450012,116.580002,189.807007,-73.226997,0.0,138.477997,,,,,138.477997,255.057999,,44.185001,44.185001,,,,14.767,,,,,,52.214998,,,52.214998,111.167,252.578995,,,,,65.204002,,,,,,65.204002,317.782997,428.949997,0.0,214.561005,,,-50.0,,42.997,207.558005,0.0,207.558005,636.508002,
06/30/1991,591.356995,8.946,8.946,0.0,98.498001,,,,190.772995,,,,,39.567001,,,,,,337.783997,114.414001,192.186005,-77.772003,0.0,139.158997,,,,,139.158997,253.572998,,39.271999,39.271999,,,,14.722,,,,,,54.572002,,,54.572002,108.566002,211.776001,,,,,65.503998,,,,,,65.503998,277.279999,385.846001,0.0,214.561005,,,-50.0,,40.95,205.511004,0.0,205.511004,591.357005,
09/30/1991,580.546997,11.145,11.145,0.0,97.866997,,,,186.106003,,,,,41.299999,,,,,,336.417999,115.712997,197.815994,-82.102997,0.0,128.416,,,,,128.416,244.128998,,41.811001,41.811001,,,,14.658,,,,,,71.687997,,,71.687997,128.156998,199.139999,,,,,64.103996,,,,,,64.103996,263.243996,391.400993,0.0,214.561005,,,-50.0,,24.584999,189.146004,0.0,189.146004,580.546997,
12/31/1991,579.343018,11.14,11.14,0.0,89.039001,,,,175.455002,,,,,55.542999,,,,,,331.177002,116.319,202.128006,-85.808998,0.0,131.847,,,,,131.847,248.166,,47.124001,47.124001,,,,15.715,,,,,,59.95,,,59.95,122.789001,199.744003,,,,,67.583,,,,,,67.583,267.327003,390.116004,0.0,214.712997,,,-50.0,,24.514,189.226997,0.0,189.226997,579.343001,
03/31/1992,588.155029,9.705,9.705,0.0,102.080002,,,,174.951004,,,,,55.174999,,,,,,341.911011,115.413002,205.598007,-90.184998,0.0,130.830994,,,,,130.830994,246.243996,,49.415001,49.415001,,,,15.155,,,,,,56.654998,,,56.654998,121.224998,212.589005,,,,,67.883003,,,,,,67.883003,280.472008,401.697006,0.0,214.712997,,,-50.0,,21.745001,186.457998,0.0,186.457998,588.155005,
06/30/1992,621.307983,9.467,9.467,0.0,134.985992,,,,180.886993,,,,,51.950001,,,,,,377.290009,115.344002,210.389008,-95.044998,0.0,128.673996,,,,,128.673996,244.017998,,56.990002,56.990002,,,,15.552,,,,,,62.915991,,,62.915991,135.457993,218.862,,,,,68.182999,,,,,,68.182999,287.044998,422.502991,0.0,214.811005,,,-50.0,,33.993999,198.805004,0.0,198.805004,621.307995,
