Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Capital Expenditures,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,3.4,45.400002,13.7,5.3,67.800003,,,,,,,,,,,
06/30/1990,,-16.299999,43.599998,12.9,-13.5,26.700001,,,,,,,,,,,
09/30/1990,,4.1,50.299999,4.9,-1.1,58.200001,,,,,,,,,,,
12/31/1990,,16.1,51.200001,9.1,7.5,83.900002,,,,,,,,,83.900002,,
03/31/1991,,14.0,49.700001,5.2,-18.0,50.900002,,,,,,,,,,,
06/30/1991,,-13.6,52.900002,11.6,2.8,53.700001,,,,,,,,,,,
09/30/1991,,-8.2,54.299999,-3.0,17.5,60.599998,,,,,,,,,,,
12/31/1991,,-3.4,46.700001,12.2,16.9,72.400002,,,,,,,,,72.400002,,
03/31/1992,,-38.299999,44.599998,37.299999,-14.5,29.1,,,,,,,,,,,
06/30/1992,,-3.6,43.299999,1.7,-3.2,38.200001,,,,,,,,,,,
09/30/1992,,-9.2,41.0,7.9,-12.9,26.799999,,,,,,,,,,,
12/31/1992,,125.300003,45.5,15.3,16.9,203.0,,,,,,,,,203.0,,
03/31/1993,,-4.2,37.200001,11.1,-14.5,29.6,,,,,,,,,,,
06/30/1993,,-3.9,37.099998,10.9,-28.5,15.6,,,,,,,,,,,
09/30/1993,,-10.6,38.799999,12.2,21.799999,62.200001,,,,,,,,,,,
12/31/1993,,-30.700001,40.5,31.1,-11.7,29.200001,,,,,,,,,29.200001,,
03/31/1994,,-11.2,38.200001,4.9,2.2,34.099998,,,,,,,,,,,
06/30/1994,,30.1,35.200001,-44.5,-19.5,1.3,,,,,,,,,,,
09/30/1994,,-16.0,33.0,19.6,-15.7,20.9,,,,,,,,,,,
12/31/1994,,-25.6,33.799999,13.7,-8.7,13.2,,,,,,,,,,,
03/31/1995,,-56.900002,29.9,44.799999,43.700001,61.5,,,,,,,,,,,
03/31/1996,,-0.5,40.7,-6.1,-8.3,25.8,-30.0,-40.9,10.9,-11.4,-9.1,-0.1,-62.5,60.3,-15.6,,
06/30/1996,,-2.7,43.4,5.0,-28.9,16.8,49.9,-50.6,100.5,-44.4,-8.1,-34.3,0.0,-2.0,22.3,,
09/30/1996,,11.3,41.8,-5.5,24.4,72.0,126.1,-54.8,180.9,-200.6,-6.5,0.0,-154.0,-40.1,-2.5,,
