Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Free Cash Flow,Price/Share,Market Cap,Enterprise Value,EV/Total Revenues,EV/EBITDA,Source: Bloomberg
06/30/2000,20.604067,11.849529,12.897624,10.520566,9.217631,11.387322,5.320482,15.941131,43.0625,9602.928285,9244.128285,5.121684,10.527421,
09/30/2000,17.682927,11.524544,13.385133,8.867447,8.77298,11.583567,4.614694,11.779254,43.5,9679.228569,9214.52858,4.381195,8.782433,
12/31/2000,14.770599,8.096888,10.258649,6.445871,8.16149,10.577339,3.90419,11.244592,39.4375,8633.223553,8342.223568,3.710789,7.362301,
03/31/2001,10.642857,6.860738,8.7715,4.74801,5.238158,11.636778,2.763671,7.831524,26.82,5877.737067,5676.137073,2.638223,5.254223,
06/30/2001,14.528139,6.166608,7.781941,4.669939,5.934627,,3.706034,11.540108,33.56,7368.433518,7706.433518,3.853217,7.790572,
09/30/2001,9.898477,6.626786,7.713214,4.573041,3.400815,,2.447446,8.58263,19.5,4307.471924,4660.871956,2.660163,5.53745,
12/31/2001,16.011765,6.630653,9.285367,5.280057,4.434526,,3.849144,12.813348,27.22,6045.589164,6926.389178,4.452265,9.313418,
03/31/2002,14.932927,8.742593,9.788333,7.862012,3.672608,,3.766903,11.83925,24.49,5445.375939,6255.275945,4.357559,8.959146,
06/30/2002,11.895425,7.93878,8.94782,6.765021,2.610009,,3.022508,12.108156,18.2,4047.862067,4906.862067,3.677205,7.659791,
09/30/2002,9.579365,6.235094,7.540196,5.450634,1.88714,,2.187569,11.733181,12.07,2684.64566,3508.645657,2.863032,6.135068,
12/31/2002,11.990826,6.464189,7.326651,4.972063,1.928813,,2.561818,10.921005,13.07,2908.650163,3607.550157,3.179859,6.889897,
03/31/2003,13.559524,6.554993,7.483146,5.524343,1.711326,,2.445413,14.340698,11.39,2725.627035,3438.527007,3.314562,7.449149,
06/30/2003,23.098591,8.896253,10.989831,7.233518,2.329656,,3.783674,20.130344,16.4,3927.8,4721.4,4.85491,10.997903,
09/30/2003,16.244186,11.174139,12.188226,8.945824,1.894036,,3.235507,14.630204,13.97,3345.815,4078.915026,4.177504,8.952842,
12/31/2003,18.438202,9.205755,10.325226,7.742193,1.475007,16.348563,3.759344,15.857353,16.41,3925.288476,3558.188418,3.577147,7.690055,
03/31/2004,18.404494,7.860324,8.41318,7.334295,1.462358,14.931763,3.621466,13.812527,16.38,3918.09595,3495.595938,3.367951,7.323687,
06/30/2004,19.630952,7.073099,7.590213,6.311207,1.475051,15.165477,3.612215,13.048939,16.49,3946.057,3224.157,3.06712,7.115774,
09/30/2004,18.902777,5.865203,6.985947,5.131767,1.194001,11.066899,3.043787,738.706736,13.61,3216.043042,2731.34306,2.645625,6.551554,
12/31/2004,27.112903,7.78007,10.353006,6.599907,1.441166,11.760278,3.837945,,16.81,3940.869238,3796.369262,3.755807,10.268784,
03/31/2005,24.910714,8.978544,10.090961,8.029957,1.198418,12.139697,3.28506,,13.95,3180.6,3106.700024,3.185052,9.385801,
06/30/2005,30.08,9.630214,10.688387,8.68015,1.282445,13.951497,3.607149,,15.04,3373.472,3177.372,3.359099,10.246282,
09/30/2005,29.489796,10.105869,11.03664,9.415903,1.217131,18.422479,3.406305,14.159388,14.45,3142.875,2999.375,3.171928,10.085323,
12/31/2005,35.826923,12.412578,13.972257,10.099784,1.559255,21.227591,4.269046,16.288727,18.63,4024.749174,3864.24921,4.054401,12.954238,
03/31/2006,40.649123,15.087422,16.626516,13.128331,1.946085,117.011265,5.119997,21.303155,23.17,4902.772,4961.172,5.113556,16.335766,
06/30/2006,29.344262,13.946578,17.321619,11.829836,1.502449,,3.785977,14.74173,17.9,3699.93,3746.43,3.763365,11.563056,
09/30/2006,29.878788,11.462852,12.976536,10.221948,1.657541,,4.135249,16.607609,19.72,3930.196,4132.996,4.187433,12.535626,
12/31/2006,31.289855,13.19463,14.035908,12.192696,1.556606,,4.342462,15.381048,21.59,3590.15656,3638.05656,3.617797,11.034445,
03/31/2007,28.752425,12.672332,13.670507,11.326615,1.770284,,4.119032,18.240966,20.91,3876.922556,4114.222556,4.124947,12.139931,
06/30/2007,32.530281,15.184415,16.740989,12.496149,2.448817,,5.201674,22.105113,27.84,4882.451971,5274.251971,5.192215,14.390865,
09/30/2007,29.587223,14.970932,17.136212,13.462545,2.614886,,4.81345,21.106412,28.28,4820.803338,5350.503338,4.993936,13.419873,
12/31/2007,29.178784,15.620549,17.062659,13.865481,3.169457,,5.104394,27.808843,32.85,5462.55873,6125.75873,5.392393,13.561565,
03/31/2008,19.29156,10.879087,13.386196,9.418678,2.312644,,3.40078,17.987098,23.27,3786.029,4660.029,3.985315,9.936096,
06/30/2008,20.119409,11.538708,12.613424,10.031664,2.59418,,3.664564,24.945132,26.47,4251.082,5112.782,4.258877,10.638331,
09/30/2008,19.183894,10.346189,12.250845,8.77597,2.389859,,3.319718,18.798898,24.28,3833.812,4679.312,3.927904,9.772999,
12/31/2008,7.682101,4.97499,10.163628,3.506618,0.78842,,1.233042,6.039809,8.03,1267.85784,2128.75784,2.051024,5.263991,
03/31/2009,8.324685,4.428758,5.899527,3.673259,1.540714,,1.133001,5.804969,6.65,1072.645,2082.145,2.246111,,
06/30/2009,22.370048,,,,2.589741,,2.172248,11.348927,11.4,1837.68,2819.18,3.425492,,
09/30/2009,34.266023,,,,2.661949,,2.930075,17.168771,14.18,2580.76,3230.86,4.136825,,
12/31/2009,28.450676,,,,2.445539,,2.644353,14.185819,13.45,2448.228597,3027.128597,3.542573,,
03/31/2010,23.462654,12.233668,12.233668,12.233668,2.538755,,2.657806,12.876897,14.29,2625.073,3237.473,3.477041,12.235348,
06/30/2010,13.319834,10.788844,13.226285,7.94183,1.552838,,1.618077,6.855093,8.88,1631.256,2253.656,2.29918,7.941001,
09/30/2010,15.659479,8.739161,9.363088,7.896513,1.843059,,1.991644,8.540743,10.95,2011.515,2616.115,2.64094,8.532665,
12/31/2010,16.418636,8.886269,9.828783,7.79149,2.038231,,2.305979,9.943879,12.97,2387.788089,2695.788089,2.654118,7.804829,
03/31/2011,14.498061,7.813528,8.626697,7.119675,1.923069,,2.18551,8.966851,12.47,2321.914,2746.814,2.65598,7.770337,
06/30/2011,10.060812,6.892008,7.876804,5.831908,1.415241,,1.637241,6.643394,9.44,1760.56,2208.56,2.105596,6.004785,
09/30/2011,6.035222,5.008821,6.34128,4.220577,0.886742,,1.051023,4.478952,6.0,1119.6,1517.1,1.45595,4.227083,
12/31/2011,7.084658,4.405533,4.913249,4.0338,0.898716,,1.174013,5.313753,6.31,1180.19422,1536.69422,1.565021,4.904865,
03/31/2012,11.479681,6.128009,7.208681,5.068681,1.256748,,1.746154,8.064134,8.91,1679.643782,2098.743782,2.244886,7.212178,
06/30/2012,11.276444,6.357894,7.318742,5.857926,1.077596,,1.63748,7.947536,7.82,1466.500412,1810.500412,2.06466,7.091658,
09/30/2012,16.287038,7.351684,8.237458,6.337015,1.271739,,2.044243,8.297271,9.44,1768.86198,2035.86198,2.397953,7.776402,
12/31/2012,15.088886,7.104986,7.767442,6.54032,1.126798,,1.847153,7.785856,8.52,1597.68744,1815.88744,2.136338,7.06846,
03/31/2013,16.335042,7.789845,8.096509,7.371441,1.23234,,2.050325,8.937904,9.4,1787.509302,2073.209302,2.451181,7.973882,
06/30/2013,14.960612,7.465487,7.988682,7.006443,1.104872,,1.837394,8.33944,8.51,1612.229133,1882.429133,2.200128,7.414057,
09/30/2013,14.287321,7.759452,8.430338,7.043413,1.091844,,1.822019,8.222626,8.51,1611.343055,1841.343055,2.130444,7.038773,
12/31/2013,19.54665,8.327587,9.915485,7.07963,1.558678,,2.612498,10.53646,12.37,2333.029934,2554.129934,2.92268,9.793443,
03/31/2014,16.401234,9.064563,10.267083,8.331013,1.367654,,2.252901,10.362174,10.87,2069.397468,2256.597468,2.535788,8.470711,
06/30/2014,17.719596,9.08631,9.913449,8.15625,1.549131,,2.537082,12.005565,12.48,2351.890907,2446.690907,2.70263,8.232473,
09/30/2014,18.838882,8.012052,10.37001,7.327501,1.778135,,2.880992,12.515539,14.54,2710.055115,2773.555115,2.999735,9.147609,
12/31/2014,19.809227,9.444284,10.31279,8.517714,1.938296,,3.08171,14.086824,16.13,2986.525794,3037.225794,3.186347,9.691212,
03/31/2015,19.868032,10.31885,11.194471,9.396242,2.058473,,3.158254,16.908501,17.19,3219.864195,3346.364195,3.394911,10.177507,
06/30/2015,18.628559,10.563788,11.065071,9.874569,2.010557,,3.01084,15.026099,17.12,3198.997199,3386.097199,3.299004,10.029909,
09/30/2015,14.26547,9.183336,10.146183,7.900881,1.605372,,2.304471,10.779236,13.6,2518.186676,2752.386676,2.588776,8.953763,
12/31/2015,14.661658,9.725175,10.383763,8.797143,1.635041,,2.352982,9.687989,14.09,2587.778883,2736.878883,2.543095,8.805917,
03/31/2016,15.740068,8.241633,9.905497,7.297703,1.699012,,2.469924,9.56522,14.63,2705.677277,2924.877277,2.754122,9.868007,
06/30/2016,15.529804,9.873677,10.582136,8.924616,1.603468,,2.384156,8.4874,13.92,2555.44656,2743.84656,2.63325,9.550458,
09/30/2016,15.560391,9.907357,10.302603,8.709202,1.584451,,2.421038,8.807223,14.01,2558.412627,2725.112627,2.653211,8.667661,
12/31/2016,15.179245,8.4345,9.302713,7.709368,1.486779,,2.323713,9.148281,13.27,2424.044276,2470.344276,2.444191,8.494994,
03/31/2017,14.242202,8.228503,8.963191,7.745161,1.472398,,2.287435,9.327906,13.2,2432.54942,2524.74942,2.47573,8.962547,
