Date,Assets,Total Investments,Fixed Income-Trading/AFS & ST Inv,Loans & Mortgages,Fixed Income Securities-HTM,Equity Securities,Real Estate Investments,Other Investments,Cash & Near Cash Items,Accounts & Notes Receivable,Net Fixed Assets,Deferred Policy Acquisition Costs,Other Assets,Total Assets,Liabilities & Shareholders' Equity,Reserve for Outstanding Claim & Loss,Premium Reserve (Unearned),Life Policy Benefits,Other Insurance Reserves,Total Insurance Reserves,Short-Term Borrowings,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Policyholders' Equity,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,,12568.954102,,4695.047852,7736.026855,,,137.878998,399.148987,,,1274.562012,1144.161987,15386.827148,,,0.0,10718.499023,,10718.499023,,319.476013,330.27301,2486.0979,13854.345947,150.0,0,0,78.649002,1303.832031,1532.481033,15386.826981,
06/30/1990,,12353.260742,,4408.181152,7849.237793,,,95.842003,532.106018,,,1298.494019,1241.19104,15425.051758,,,0.0,11094.766602,,11094.766602,,298.894012,354.27301,2130.537109,13878.470734,150.0,0,0,78.649002,1317.932007,1546.581009,15425.051743,
09/30/1990,,13231.286133,,4714.393066,8249.688477,,,267.204987,381.230988,,,1332.369019,1234.442993,16179.329102,,,0.0,11538.698242,,11538.698242,,275.25,423.747009,2383.36792,14621.063171,150.0,0,0,78.649002,1329.616943,1558.265945,16179.329117,
12/31/1990,,13524.276367,186.746002,5362.104004,7360.219238,502.656006,45.18,67.371002,397.841003,306.519012,117.610001,1337.675049,984.624023,16668.544922,,247.449005,0.0,11631.741211,535.174988,12414.365234,50.0,791.721985,336.247009,1523.696045,15116.030273,150.0,0,0,78.649002,1323.865967,1552.514969,16668.545242,
03/31/1991,,14044.78418,,5648.776855,8156.198242,,,239.809006,613.161987,,,1354.10498,1542.905029,17554.955078,,,0.0,12275.533203,,12275.533203,,360.062988,463.747009,2854.824951,15954.168152,150.0,0,0,78.649002,1372.139038,1600.78804,17554.956192,
06/30/1991,,14307.912109,4318.503906,5712.416992,3914.198975,,,362.791992,758.848022,,,1367.712036,1490.916992,17925.388672,,,0.0,12596.723633,,12596.723633,,345.713989,561.247009,2781.674072,16285.358704,150.0,0,0,78.649002,1411.380981,1640.029984,17925.388687,
09/30/1991,,14805.537109,4452.067871,5939.623047,3994.053955,,,419.791992,408.061005,,,1382.005981,1566.444946,18162.048828,,,0.0,12546.585938,,12546.585938,,376.860992,582.497009,2987.501953,16493.445892,100.0,0,0,78.649002,1489.953979,1668.602982,18162.048874,
12/31/1991,,15160.018555,3620.583008,6233.375977,4592.151855,534.953003,75.887001,103.068001,501.644012,338.951996,131.192993,1484.187988,1257.031982,18873.027344,,254.487,0.0,12437.728516,874.174011,13566.389648,0.0,946.749023,611.244995,1817.719971,16942.103638,275.592987,0,0,101.192001,1554.139038,1930.924026,18873.027664,
03/31/1992,,15495.367188,3994.086914,6342.608887,4823.023926,,,335.647003,689.906982,,,1502.807007,2007.755005,19695.835938,,,0.0,13128.789062,852.661011,13981.450195,,418.994995,589.346008,2691.779053,17681.570251,257.069,0,0,107.833,1649.364014,2014.266014,19695.836266,
06/30/1992,,15276.515625,3794.868896,6082.941895,4996.410156,,,402.295013,824.406006,,,1511.099976,2012.541016,19624.5625,,,0.0,13413.679688,885.244995,14298.924805,,380.451996,589.346008,2306.980957,17575.703766,255.283997,0,0,108.960999,1684.614014,2048.859009,19624.562775,
