Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 2 Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
11/03/2007,23.0,,,,12.0,0.161608,,,,0.077233,,,,
05/03/2008,23.0,-12.0,0.0,11.0,,0.211087,-0.110132,0.0,0.100954,0.084132,-0.043895,0.0,0.040237,
08/02/2008,0.0,5.0,0.0,5.0,,0.0,0.047515,0.0,0.047515,0.0,0.018664,0.0,0.018664,
11/01/2008,0.0,167.0,0.0,167.0,,0.0,1.641116,0.0,1.641116,0.0,0.59741,0.0,0.59741,
01/31/2009,0.0,106.0,0.0,106.0,,0.0,1.092896,0.0,1.092896,0.0,0.418278,0.0,0.418278,
05/02/2009,734.0,70.0,0.0,804.0,,7.543679,0.719424,0.0,8.263104,2.850707,0.271866,0.0,3.122573,
08/01/2009,824.0,41.0,0.0,865.0,,8.541515,0.425003,0.0,8.966518,3.198758,0.159161,0.0,3.357919,
10/31/2009,1022.0,25.0,0.0,1047.0,,10.959786,0.268097,0.0,11.227882,3.76081,0.091996,0.0,3.852806,
01/30/2010,1302.0,24.0,0.0,1326.0,,13.799682,0.254372,0.0,14.054054,5.248307,0.096743,0.0,5.34505,
05/01/2010,1269.0,2.0,0.0,1271.0,,14.189869,0.022364,0.0,14.212233,4.992721,0.007869,0.0,5.00059,
07/31/2010,697.0,-3.0,0.0,694.0,,8.086785,-0.034807,0.0,8.051978,2.806749,-0.012081,0.0,2.794668,
10/30/2010,285.0,-7.0,0.0,278.0,,3.401767,-0.083552,0.0,3.318214,1.09426,-0.026877,0.0,1.067383,
01/29/2011,431.0,0.0,0.0,431.0,,5.003483,0.0,0.0,5.003483,1.769294,0.0,0.0,1.769294,
04/30/2011,210.0,-50.0,0.0,160.0,,2.500595,-0.59538,0.0,1.905216,0.849171,-0.202184,0.0,0.646987,
07/30/2011,202.0,-18.0,0.0,184.0,,2.478528,-0.220859,0.0,2.257669,0.845507,-0.075342,0.0,0.770164,
10/29/2011,107.0,13.0,0.0,120.0,,1.386729,0.168481,0.0,1.55521,0.417871,0.050769,0.0,0.46864,
01/28/2012,348.0,-5.0,0.0,343.0,,8.016586,-0.115181,0.0,7.901405,1.627613,-0.023385,0.0,1.604228,
04/28/2012,298.0,-1.0,0.0,297.0,,6.509393,-0.021844,0.0,6.487549,1.379183,-0.004628,0.0,1.374555,
07/28/2012,282.0,0.0,0.0,282.0,,6.272242,0.0,0.0,6.272242,1.331256,0.0,0.0,1.331256,
10/27/2012,171.0,0.0,0.0,171.0,,4.383491,0.0,0.0,4.383491,0.784332,0.0,0.0,0.784332,
02/02/2013,190.0,0.0,0.0,190.0,,5.989912,0.0,0.0,5.989912,0.98242,0.0,0.0,0.98242,
05/04/2013,45.0,0.0,0.0,45.0,,1.540568,0.0,0.0,1.540568,0.232007,0.0,0.0,0.232007,
08/03/2013,221.0,0.0,0.0,221.0,,7.825779,0.0,0.0,7.825779,1.146384,0.0,0.0,1.146384,
11/02/2013,162.0,4.0,0.0,166.0,,6.961753,0.171895,0.0,7.133648,0.801623,0.019793,0.0,0.821416,
02/01/2014,356.0,8.0,0.0,364.0,,16.307833,0.366468,0.0,16.674301,1.94951,0.043809,0.0,1.993319,
05/03/2014,183.0,2.0,0.0,185.0,,12.5171,0.136799,0.0,12.653899,1.080921,0.011813,0.0,1.092735,
08/02/2014,65.0,4.0,0.0,69.0,,7.072905,0.435256,0.0,7.508161,0.395425,0.024334,0.0,0.419759,
11/01/2014,225.0,0.0,0.0,225.0,,178.571429,0.0,0.0,178.571429,1.483288,0.0,0.0,1.483288,
01/31/2015,111.0,0.0,,111.0,,-11.746032,0.0,0.0,-11.746032,0.841866,0.0,0.0,0.841866,
01/30/2016,52.0,,,52.0,,-2.658487,0.0,0.0,-2.658487,0.458675,0.0,0.0,0.458675,
04/30/2016,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,
