Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,3030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-255.0,,,-255.0,-255.0,,487.880005,-0.52,-0.52,,487.880005,-0.52,-0.52,-0.52,
03/31/1990,3116.0,,-2554.0,,,562.0,,-255.0,,,,307.0,-154.0,,170.0,,,,-16.0,153.0,-132.0,21.0,-238.0,,,259.0,0.0,259.0,0.0,,259.0,259.0,,487.832001,0.53,0.04,,487.832001,0.53,0.04,0.04,
06/30/1990,2859.0,,-2344.0,,,515.0,,-239.0,,,,276.0,-43.0,,164.0,,,,-121.0,233.0,-128.0,105.0,0.0,,,105.0,0.0,105.0,0.0,,105.0,105.0,,490.272003,0.215,0.215,,490.272003,0.215,0.215,0.215,
09/30/1990,3306.0,,-2686.0,,,620.0,,-288.0,,,,332.0,-16.0,,136.0,,,,-120.0,316.0,-138.0,178.0,0.0,,,178.0,0.0,178.0,0.0,,178.0,178.0,,495.670013,0.36,0.36,,495.670013,0.36,0.36,0.36,
12/31/1990,4322.0,,-3515.0,,,807.0,,-287.0,,,,520.0,-35.0,,150.0,,-30.0,,-85.0,485.0,-248.0,237.0,0.0,,,237.0,0.0,237.0,0.0,,237.0,237.0,,518.395996,0.46,0.46,0.46,518.395996,0.46,0.46,0.46,
03/31/1991,3285.0,,-2699.0,,,586.0,,-271.0,,,,315.0,116.0,,123.0,,,,-239.0,431.0,-245.0,186.0,79.0,,,107.0,0.0,107.0,0.0,,107.0,107.0,,517.643982,0.205,-0.345,,517.643982,0.205,-0.345,-0.345,
06/30/1991,3150.0,,-2717.0,,,433.0,,-279.0,,,,154.0,1.0,,103.0,,,,-104.0,155.0,-122.0,33.0,17.0,,,16.0,0.0,16.0,0.0,,16.0,16.0,,519.08197,0.03,0.065,,519.08197,0.03,0.065,0.065,
09/30/1991,2970.0,,-2619.0,,,351.0,,-276.0,,,,75.0,31.0,,108.0,,,,-139.0,106.0,-50.0,56.0,0.0,,,56.0,0.0,56.0,0.0,,56.0,56.0,,519.314026,0.105,0.105,,519.314026,0.105,0.105,0.105,
12/31/1991,3199.0,,-3191.0,,,8.0,,-299.0,,,,-291.0,50.0,,123.0,,32.0,,-205.0,-241.0,64.0,-177.0,-256.0,,,79.0,0.0,79.0,0.0,,79.0,79.0,,519.598022,0.15,-0.34,-0.34,519.598022,0.15,-0.34,-0.34,
03/31/1992,2712.0,,-2315.0,,,397.0,,-371.0,,,,26.0,-59.0,,106.0,,-12.0,,-35.0,-33.0,-46.0,-79.0,70.0,,,-149.0,0.0,-149.0,0.0,,-149.0,-149.0,,519.533997,-0.285,-0.15,,519.533997,-0.285,-0.15,-0.15,
