Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1995,2.686,,,-0.399,,,2.287,,-2.299,,,,,,-0.012,0.009,,,,0.0,,-0.009,-0.003,0.0,-0.003,0.0,,,-0.003,0.0,-0.003,-12.178,,-12.181,-12.181,,,,,,,,,,
06/30/1995,2.454,,,-0.335,,,2.119,,-2.652,,,,,,-0.533,0.017,,,,0.0,,-0.017,-0.516,0.0,-0.515,0.0,,,-0.516,0.0,-0.515,0.0,,-0.515,-0.515,,,,,,,,,,
09/30/1995,4.278,,,-0.523,,,3.755,,-2.778,,,,,,0.977,0.007,,,,0.0,,-0.007,0.984,0.0,0.984,0.0,,,0.984,0.0,0.984,0.0,,0.984,0.984,,,,,,,,,,
12/31/1995,5.15,,,-0.699,,,4.451,,-3.068,,,,,,1.383,0.17,,0.006,,0.0,,-0.176,1.553,-0.093,1.429,0.0,,,1.46,0.0,1.429,-12.178,,-10.749,-10.749,,128.04,0.010833,0.010833,,128.04,0.010833,0.010833,0.010833,
03/31/1996,7.772,,,-0.98,,,6.792,,-4.251,,,,,,2.541,0.561,,,,0.0,,-0.561,3.102,-0.248,2.854,0.0,,,2.854,0.0,2.854,0.0,,2.854,2.854,,155.724003,0.018333,0.018333,0.018333,155.724003,0.018333,0.018333,0.018333,
06/30/1996,9.501,,,-1.234,,,8.267,,-4.556,,,,,,3.711,0.912,,,,0.0,,-0.912,4.623,-1.006,3.617,0.0,,,3.617,0.0,3.617,0.0,,3.617,3.617,,157.542,0.023333,0.023333,0.023333,157.542,0.023333,0.023333,0.023333,
09/30/1996,11.686,,,-1.241,,,10.445,,-5.697,,,,,,4.748,1.556,,,,0.0,,-1.556,6.304,-0.99,5.314,0.0,,,5.314,0.0,5.314,0.0,,5.314,5.314,,170.021999,0.031667,0.031667,0.031667,170.021999,0.031667,0.031667,0.031667,
12/31/1996,15.568001,,,-1.644,,,13.924001,,-7.205999,,,,,,6.718,1.516,,,,0.0,,-1.516,8.234,-1.318,6.916,0.0,,,6.916,0.0,6.916,0.0,,6.916,6.916,,171.816,0.04,0.04,0.04,171.816,0.04,0.04,0.04,
03/31/1997,21.521,,,-2.194,,,19.327,,-9.194,,,,,,10.133,1.575,,,,0.0,,-1.575,11.708,-4.215,7.493,0.0,,,7.493,0.0,7.493,0.0,,7.493,7.493,,170.454002,0.043333,0.043333,0.043333,170.454002,0.043333,0.043333,0.043333,
06/30/1997,24.517,,,-2.291,,,22.226,,-11.528,,,,,,10.698,2.269,,,,0.0,,-2.269,12.967,-4.668,8.299,0.0,,,8.299,0.0,8.299,0.0,,8.299,8.299,,174.474003,0.048333,0.048333,0.048333,174.474003,0.048333,0.048333,0.048333,
