Date,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Related Income,Investment Income,Other Operating Income,Revenue,Property Operating Expenses,General & Administrative Expense,Other Operating Expenses,Depreciation Expense,Provision for Loan Loss,Other Non-Rental Income,Operating Income,Interest Expense,Unconsolidated Equity Interest Income,Loss on Sale of Property,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Pre-Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1997,168.425003,,0.0,0.0,0.0,6.161,174.585999,-65.378998,-7.673,0.0,-34.605,0.0,,66.928999,-28.497,1.58,0.0,0.0,40.011999,0.0,40.012001,0.0,-3.46,36.551998,0.0,,36.551998,,36.551999,0.25,0.25,0.25,147.908005,0.25,0.25,0.25,147.908005,
06/30/1997,169.945999,,1.24,0.0,0.0,4.229,175.414993,-64.249001,-8.253,0.0,-36.091999,0.0,,66.821001,-28.975,1.554,0.0,0.0,39.400001,0.0,39.400002,0.0,-3.162,36.237999,0.0,,36.237999,,36.238001,0.24,0.24,0.24,151.677994,0.24,0.24,0.24,151.677994,
09/30/1997,161.229004,,1.331,0.0,0.0,2.008,164.567993,-62.884998,-5.855,0.0,-22.787001,0.0,,73.041,-27.167,1.426,0.0,0.0,47.300001,0.0,47.299999,-12.93,-2.866,31.504,0.0,,31.504,,44.434001,0.21,0.21,0.21,151.690994,0.21,0.21,0.21,164.147003,
12/31/1997,242.160004,,1.109,0.0,0.0,5.131,248.399994,-92.793999,-11.835,0.0,-43.381001,0.0,,100.389999,-53.686001,1.747,0.126,0.0,48.576999,0.0,48.577,-3.436,-4.933,40.208,-0.649,,39.559,,42.994998,0.23,0.23,0.23,174.149994,0.23,0.23,0.23,191.572006,
03/31/1998,363.415985,,1.157,0.0,0.0,9.247,373.820007,-137.865005,-13.948,0.0,-65.647003,0.0,,156.360001,-72.028999,3.634,0.0,0.0,87.965001,0.0,87.964996,-6.959,-8.264,72.741997,-6.271,,66.470997,,73.430001,0.27,0.27,0.27,249.766006,0.27,0.27,0.27,280.328003,
06/30/1998,387.834991,,1.507,0.0,0.0,10.602,399.944,-139.042007,-14.492,0.0,-70.529999,0.0,,175.879997,-78.000999,1.392,0.0,0.0,99.270998,0.0,99.271004,-0.547,-9.798,88.926003,-8.432,,80.494002,,81.040997,0.32,0.32,0.32,251.179001,0.32,0.32,0.32,281.200989,
09/30/1998,425.557007,,5.102,0.0,0.0,6.274,436.933014,-154.990005,-16.697001,0.0,-76.757004,0.0,,188.489006,-92.313004,3.129,0.0,0.0,99.305002,0.0,99.305,0.0,-9.882,89.422997,-8.427,,80.995996,,80.996002,0.32,0.32,0.32,252.242004,0.32,0.32,0.32,281.929993,
12/31/1998,455.867004,,1.805,0.0,0.0,11.33,469.002014,-168.470001,-18.427,0.0,-86.643997,0.0,,195.460999,-102.671997,3.112,12.433,0.0,108.334001,0.0,108.334,0.0,-10.396,97.938004,-9.072,,88.866004,,88.866002,0.34,0.34,0.34,259.38501,0.34,0.34,0.34,291.437012,
03/31/1999,464.756989,0.0,1.862,0.0,0.0,8.515,475.134003,-165.561005,-18.25,0.0,-85.813004,0.0,0.0,205.509995,-105.225998,1.835,0.0,0.0,102.118997,0.0,102.119003,-3.183,-9.215,89.721001,-10.881,,78.840001,,82.022997,0.3,0.3,0.3,259.966003,0.3,0.3,0.3,291.43399,
06/30/1999,470.302002,,2.045,0.0,0.0,8.932,481.278992,-164.940002,-20.714001,0.0,-86.739998,0.0,,208.882004,-104.346001,3.215,8.085,0.0,115.836003,0.0,115.835999,-7.135,-10.484,98.217003,-10.907,,87.310003,,94.445003,0.34,0.34,0.34,258.524994,0.33,0.33,0.33,290.946991,
