Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,(Income) Loss from Affiliates,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1999,232.3,-1.0,0.0,0.0,0.0,-1.0,233.3,0.0,,,,228.0,5.3,0.0,232.3,-136.100006,0.0,136.100006,96.199997,16.1,,-16.1,112.299997,-40.099998,,72.199997,0.0,,,72.199999,-11.2,61.0,0.0,0.0,61.0,61.0,,223.0,0.27,0.27,0.27,223.0,0.27,0.27,0.27,
06/30/1999,281.499988,-0.7,0.0,0.0,0.0,-0.7,282.199988,0.0,,,,275.799988,6.4,0.0,281.499988,-166.699997,0.0,166.699997,114.800003,15.6,,-15.6,130.400003,-46.799999,,83.599998,0.0,,,83.600004,-12.7,70.900002,0.0,0.0,70.900002,70.900002,,223.0,0.32,0.32,0.32,223.0,0.31,0.31,0.31,
09/30/1999,310.5,-0.7,0.0,0.0,0.0,-0.7,311.2,0.0,,,,303.0,8.2,0.0,310.5,-178.399994,0.0,178.399994,132.100006,20.9,,-20.9,153.000006,-55.599998,,97.400002,0.0,,,97.400007,-14.7,82.699997,0.0,0.0,82.699997,82.699997,,223.0,0.37,0.37,0.37,223.0,0.36,0.36,0.36,
12/31/1999,382.099994,-3.5,0.0,0.0,0.0,-3.5,385.599994,0.0,,,,377.399994,8.2,0.0,382.099994,-212.800003,0.0,212.800003,169.300003,21.5,,-21.5,190.800003,-73.599998,,117.199997,0.0,,,117.200005,-18.700001,98.5,0.0,0.0,98.5,98.5,,223.0,0.44,0.44,0.44,223.0,0.43,0.43,0.43,
03/31/2000,542.5,-2.6,0.0,0.0,0.0,-2.6,545.1,0.0,,,,533.5,11.6,0.0,542.5,-300.200012,0.0,300.200012,242.300003,88.0,,-88.0,330.300003,-114.300003,,216.0,0.0,,,216.0,-27.299999,188.699997,0.0,0.0,188.699997,188.699997,,223.0,0.85,0.85,0.64,223.0,0.84,0.84,0.63,
06/30/2000,561.7,-1.3,0.0,0.0,0.0,-1.3,563.0,0.0,,,,548.5,14.5,0.0,561.7,-307.2,0.0,307.2,254.5,43.1,-15.8,-27.3,281.8,-102.3,,179.5,0.0,,,179.5,-27.8,151.7,0.0,0.0,151.7,151.7,,223.0,0.68,0.68,0.68,223.0,0.67,0.67,0.67,
09/30/2000,607.6,-1.9,0.0,0.0,0.0,-1.9,609.5,0.0,,,,592.5,17.0,0.0,607.6,-317.100006,0.0,317.100006,290.5,25.0,,-25.0,315.5,-114.199997,,201.300003,0.0,,,201.300003,-31.200001,170.100006,0.0,0.0,170.100006,170.100006,,223.406998,0.76,0.76,0.76,229.296997,0.73,0.73,0.73,
12/31/2000,528.600025,-1.9,0.0,0.0,0.0,-1.9,530.500025,0.0,,,,514.400024,16.1,0.0,528.600025,-287.299988,0.0,287.299988,241.300003,33.5,,-33.5,274.800003,-96.199997,,178.600006,0.0,,,178.600006,-25.4,153.199997,0.0,0.0,153.199997,153.199997,,220.667999,0.69,0.69,0.67,226.688995,0.66,0.66,0.64,
03/31/2001,443.499994,-5.0,0.0,0.0,0.0,-5.0,448.499994,0.0,,,,431.899994,16.6,0.0,443.499994,-265.700012,0.0,265.700012,177.800003,24.6,,-24.6,202.400003,-72.199997,,130.199997,0.0,,,130.200006,-18.799999,111.400002,0.0,0.0,111.400002,111.400002,,219.042007,0.51,0.51,0.51,224.666,0.48,0.48,0.48,
06/30/2001,401.7,-9.8,0.0,0.0,0.0,-9.8,411.5,0.0,,,,396.0,15.5,0.0,401.7,-243.399994,0.0,243.399994,158.300003,-8.7,,8.7,149.600003,-51.299999,,98.300003,0.0,,,98.300004,-7.9,90.400002,0.0,0.0,90.400002,90.400002,,219.386993,0.41,0.41,0.48,224.615005,0.39,0.39,0.46,
