Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2003,871.458008,334.718002,148.994995,185.723007,154.690002,,,0.0,0.0,0.0,0.0,0.0,70.825996,,,,,,560.234009,188.255005,261.837006,-73.582001,0.0,,122.969002,105.556,87.442001,18.113999,,17.413002,311.224007,,46.174999,46.174999,,,,4.621,4.621,0.0,0.0,,,184.655997,,,184.655997,235.451996,1.988,,,,,31.377001,,,,,,31.377001,33.365001,268.816997,58.216999,725.380005,,,,191.352005,-372.307999,602.64101,0.0,602.64101,871.458007,
03/31/2004,1079.453979,454.888001,251.354004,203.533997,179.505005,179.505005,,0.0,,,,,68.992996,,,,,,703.385986,253.005997,,,0.0,,123.061996,106.196999,87.442001,18.754998,,16.864997,376.067993,,37.780998,37.780998,,,,4.388,0.0,4.388,4.388,,,257.462014,,,257.462014,299.631012,1.017,0.0,1.017,1.017,,37.154999,,,,,,37.154999,38.171999,337.803011,58.216999,801.875977,,,0.0,255.324997,-373.766998,741.650975,0.0,741.650975,1079.453986,
06/30/2004,1328.022,548.687,254.698,293.989,191.187,191.187,,,,,,,142.015,,,,,,881.889,320.718,,,,,125.415,103.755,87.442,16.313,,21.66,446.133,,61.83,61.83,,,,3.751,0.0,3.751,3.751,,,186.676,,,186.676,252.257,0.456,0.0,0.456,0.456,,58.31,,,,,,58.31,58.766,311.023,79.86,957.047,,,,334.388,-354.296,1016.999,,1016.999,1328.022,
09/30/2004,2888.518,1858.356,344.469,1513.887,233.057,233.057,,,,,,,268.798,,,,,,2360.211,362.609,,,,,165.698,145.475,101.815,43.66,,20.223,528.307,,49.557,49.557,,,,3.026,0.0,3.026,3.026,,,221.887,,,221.887,274.47,0.063,0.0,0.063,0.063,,24.962,,,,,,24.962,25.025,299.495,,2497.572,,,,386.371,-294.92,2589.023,,2589.023,2888.518,
12/31/2004,3313.351074,2132.296936,426.872986,1705.42395,311.835999,311.835999,,0.0,0.0,0.0,0.0,0.0,249.332001,,,,,,2693.465088,378.915985,583.067993,-204.151993,0.0,,240.970001,193.886993,122.818001,71.068992,,47.083008,619.885986,,32.672001,32.672001,,,,1.902,0.0,1.902,1.902,,,305.79401,,,305.79401,340.368011,0.0,0.0,0.0,0.0,,43.926998,,,,,,43.926998,43.926998,384.295009,0.0,2582.618896,,,0.0,590.471008,-244.033996,2929.055908,0.0,2929.055908,3313.350917,
03/31/2005,3865.199,2507.298,482.572,2024.726,371.905,371.905,,0.0,0.0,0.0,0.0,0.0,279.271,,,,,,3158.474,474.829,,,0.0,,231.896,186.251,124.485,61.766,,45.645,706.725,,75.444,75.444,,,,1.31,0.0,1.31,1.31,,,316.574,,,316.574,393.328,0.0,0.0,0.0,0.0,,45.009,,,,,,45.009,45.009,438.337,0.0,2673.402,,,0.0,959.664,-206.204,3426.862,0.0,3426.862,3865.199,
06/30/2005,4497.718,2947.967,753.472,2194.495,419.238,419.238,,0.0,0.0,0.0,0.0,0.0,282.005,,,,,,3649.21,576.597,,,0.0,,271.911,216.604,154.67,61.934,,55.307,848.508,,105.572,105.572,,,,0.291,0.0,0.291,0.291,,,342.507,,,342.507,448.37,0.0,0.0,0.0,0.0,,95.491,,,,,,95.491,95.491,543.861,0.0,2837.668,,,0.0,1302.478,-186.289,3953.857,0.0,3953.857,4497.718,
09/30/2005,9451.001,7630.147,5518.569,2111.578,541.815,541.815,,0.0,0.0,0.0,0.0,0.0,210.723,,,,,,8382.685,803.078,1173.116,-370.038,0.0,,265.238,228.603,171.397,57.206,,36.635,1068.316,,87.346,87.346,,,,0.01,0.0,0.01,0.01,,,472.492,,,472.492,559.848,,,,,,98.085,,,,,,98.085,98.085,657.933,0.0,7234.777,,,0.0,1683.66,-125.369,8793.068,0.0,8793.068,9451.001,
12/31/2005,10271.813,8034.247,3877.174,4157.073,687.976,687.976,,0.0,0.0,0.0,0.0,0.0,278.848,,,,,,9001.071,961.749,1417.425,-455.676,0.0,,308.993,360.466,194.9,165.566,,-51.473,1270.742,,115.575,115.575,,,,0.0,0.0,0.0,0.0,,,629.809,,,629.809,745.384,0.0,0.0,0.0,0.0,,107.472,,,,,,107.472,107.472,852.856,0.0,7478.085,,,0.0,2055.868,-114.996,9418.957,0.0,9418.957,10271.813,
03/31/2006,11294.87,8429.028,2935.179,5493.849,844.378,844.378,,0.0,0.0,0.0,0.0,0.0,282.551,,,,,,9555.957,1209.681,1749.568,-539.887,0.0,,529.232,479.379,318.806,160.573,,49.853,1738.913,,145.911,145.911,,,,0.0,0.0,0.0,0.0,,,834.113,,,834.113,980.024,0.0,0.0,0.0,0.0,,71.578,,,,,,71.578,71.578,1051.602,0.0,7605.472,,,0.0,2648.159,-10.363,10243.268,0.0,10243.268,11294.87,
