Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Free Cash Flow,Price/Share,Market Cap,Market Cap / Deposits,Enterprise Value,EV/Total Revenues,EV/EBITDA,Source: Bloomberg
09/30/1980,,,,,,,,,2.0,,,,,,
12/31/1980,,,,,,,,,2.320312,,,,,,
03/31/1981,,,,,,,,,2.289062,,,,,,
06/30/1981,,,,,,,,,2.398438,,,,,,
09/30/1981,,,,,,,,,2.007812,,,,,,
12/31/1981,,,,,,,,,2.070312,,,,,,
03/31/1982,,,,,,,,,1.65625,,,,,,
06/30/1982,,,,,,,,,1.609375,,,,,,
09/30/1982,,,,,,,,,2.179688,,,,,,
12/31/1982,,,,,,,,,3.75,,,,,,
03/31/1983,,,,,,,,,5.171875,,,,,,
06/30/1983,,,,,,,,,6.609375,,,,,,
09/30/1983,,,,,,,,,4.125,,,,,,
12/31/1983,,,,,,,,,4.0,,,,,,
03/31/1984,,,,,,,,,3.203125,,,,,,
06/30/1984,,,,,,,,,3.359375,,,,,,
09/30/1984,,,,,,,,,3.703125,,,,,,
12/31/1984,,,,,,,,,3.375,,,,,,
03/31/1985,,,,,,,,,3.828125,,,,,,
06/30/1985,,,,,,,,,4.046875,,,,,,
09/30/1985,,,,,,,,,3.40625,,,,,,
12/31/1985,,,,,,,,,4.296875,,,,,,
03/31/1986,,,,,,,,,5.171875,,,,,,
06/30/1986,,,,,,,,,4.328125,,,,,,
09/30/1986,,,,,,,,,4.484375,,,,,,
12/31/1986,,,,,,,,,4.5625,,,,,,
03/31/1987,,,,,,,,,5.34375,,,,,,
06/30/1987,,,,,,,,,4.359375,,,,,,
09/30/1987,,,,,,,,,4.765625,,,,,,
12/31/1987,,,,,,,,,2.796875,,,,,,
03/31/1988,,,,,,,,,2.953125,,,,,,
06/30/1988,,,,,,,,,3.359375,,,,,,
09/30/1988,,,,,,,,,3.328125,,,,,,
12/31/1988,,,,,,,,,3.0,,,,,,
03/31/1989,,,,,,,,,3.46875,,,,,,
06/30/1989,,,,,,,,,3.5625,,,,,,
09/30/1989,,,,,,,,,3.734375,,,,,,
12/30/1989,,,,,,,,,3.28125,,,,,,
03/30/1990,,,,,0.713793,,,,2.71875,2261.934786,0.302368,43976.026775,,,
06/29/1990,,,,,0.721737,,,,2.8125,2342.43639,0.339288,45339.378233,,,
09/28/1990,,,,,0.579966,,,,2.328125,1886.723925,0.208448,47563.097103,,,
12/28/1990,7.076271,,,,0.646127,,0.196399,,2.609375,2084.034742,0.219787,45304.063072,4.040185,8.520939,
03/29/1991,8.244681,,,,1.051577,,0.315922,,4.359375,3569.524312,0.36733,55682.507231,4.761189,9.921927,
06/28/1991,7.42263,,,,1.101294,,0.347389,,4.796875,3952.000797,0.41133,56105.636518,4.718558,9.627793,
09/27/1991,8.015422,,,,1.356045,,0.448998,,6.171875,5100.311456,0.458831,60581.385073,5.023712,10.082872,
12/27/1991,9.452736,,,,1.533529,,0.519084,,7.125,5855.1427,0.545402,64223.845651,5.194908,10.035153,
03/27/1992,8.265832,,,,1.413749,,0.509026,,7.015625,5923.913848,0.532205,75002.209115,5.937963,11.321519,
06/26/1992,6.849791,,,,1.188932,,0.436745,,6.15625,5107.324799,0.464956,80193.367197,6.20527,11.941582,
09/25/1992,6.48855,,,,1.170311,,0.437759,,6.375,5269.066681,0.376291,85282.278665,6.423732,12.448038,
12/25/1992,7.204654,,,,1.506883,,0.508686,,7.546875,6593.070931,1.183728,76588.27987,5.710145,11.366815,
03/31/1993,7.899113,12.748094,14.977403,12.399846,1.528364,,0.573732,,8.90625,7485.543852,0.543338,95746.214576,6.859902,13.659697,
06/25/1993,7.775298,13.802136,15.0067,13.591289,1.563103,,0.603269,,9.796875,8288.468382,0.634455,105472.584053,7.239193,14.251328,
09/24/1993,8.765653,14.394315,15.160892,14.24778,1.848311,,0.721349,,12.25,10366.537827,0.635805,120398.664728,7.855636,15.187837,
12/31/1993,6.85155,14.867025,15.208267,13.965815,1.618934,,0.573121,,10.5,8567.58021,0.631298,126602.305262,7.632081,14.446951,
03/31/1994,5.912698,13.993232,15.961258,13.91557,1.383416,,0.482282,,9.3125,7483.26445,0.555865,153492.807373,8.837677,16.347232,
07/01/1994,5.91443,15.936339,15.9916,14.243796,1.271183,,0.436633,,8.8125,6908.365311,0.524706,144395.431427,8.075946,14.572435,
09/30/1994,6.306922,14.249715,14.299994,13.514943,1.211427,,0.410999,,8.65625,6676.115377,0.634562,143469.986181,7.855788,13.812323,
12/30/1994,7.574153,13.657871,21.125154,13.501229,1.069317,1.763595,0.414223,,8.9375,13450.9375,0.329939,235010.9375,12.889254,22.039241,
