Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
03/31/1990,42.076,,42.285,,3.914343,1.03843,0.747239,0.53,0.53,,,,,0,0.650112,6.825221,7.367406,
06/30/1990,42.256001,,43.755001,,4.004982,1.0506,0.749651,0.54,0.54,,,,,0,1.909062,7.573102,7.908486,
09/29/1990,42.492001,,42.986,,3.66082,0.587401,0.241125,0.2,0.2,,,,,0,0.234588,7.027958,8.221524,
01/02/1991,42.217999,42.355,42.355,,4.583213,-0.307378,-0.619809,-0.73,-0.73,-0.73,-0.73,-0.73,-0.73,0,1.253902,5.812355,7.329551,
03/30/1991,42.664001,,42.827,,4.072408,0.670255,0.280501,0.15,0.15,,,,,0,-0.29841,4.75525,7.493624,
06/29/1991,43.296001,,44.428001,,4.195665,0.752453,0.349307,0.21,0.21,,,,,0,0.604619,5.018523,7.798642,
09/28/1991,43.779999,,45.217999,,4.839798,1.135212,0.729201,0.48,0.48,,,,,0,0.801628,5.240498,8.385839,
12/31/1991,42.224998,43.002499,43.002499,,5.795826,1.271275,0.860531,0.14,0.14,0.14,0.14,0.14,0.14,0,1.119563,5.324097,7.889,
03/28/1992,43.118,,44.199001,,5.137288,1.211815,0.755153,0.47,0.47,,,,,0,0.972918,5.809314,8.594276,
06/27/1992,42.978001,,44.449001,,4.956669,0.984252,0.508943,0.34,0.34,,,,,0,1.197102,5.774094,8.957466,
09/26/1992,41.544998,,41.775002,,4.948941,0.768354,0.270592,0.72,0.72,,,,,0,0.239641,6.405392,9.388254,
12/31/1992,41.881001,41.713001,41.713001,,5.898041,1.048426,0.515882,0.34,0.34,0.34,0.34,0.34,0.34,0,0.530266,6.998257,9.776223,
04/03/1993,42.097,,42.598,,5.328983,0.994272,0.486478,0.29,0.29,,,,,0,0.652589,7.591206,9.875834,
07/03/1993,43.118,,42.550999,,5.541233,1.104063,0.595403,-0.11,-0.11,,,,,0,1.426782,7.691869,10.041676,
10/02/1993,43.981998,,45.143002,,5.318743,1.111955,0.622356,0.41,0.41,,,,,0,1.285426,8.571643,10.669115,
12/31/1993,44.928001,46.431999,46.431999,,5.993862,1.434377,0.969267,0.65,0.65,0.65,0.65,0.65,0.65,0,0.337289,9.274684,11.760839,
04/02/1994,45.736,,47.707001,,5.17727,1.120276,0.671432,0.45,0.45,,,,,0,1.141007,10.426994,12.438145,
07/02/1994,47.580002,,49.257,,4.54776,0.705037,0.272692,0.2,0.2,,,,,0,0.351645,9.500798,12.487557,
10/01/1994,47.729,,47.637001,,4.938304,0.634087,0.180742,-1.39,-1.39,,,,,0,0.420681,8.149448,11.149532,
12/31/1994,47.848999,,48.912998,,5.40707,0.875555,0.403553,0.3,0.3,,,,,0,0.114489,7.86261,11.580806,
04/01/1995,48.333,,48.077,,4.214385,-0.138985,-0.61986,-0.36,-0.36,,,,,0,0.840007,8.299609,11.391471,
