Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/29/1991,41.632,0.125,0.125,0.0,16.836,,,,5.916,,,,,0.535,,,,23.412001,16.664,31.67,-15.006,0.0,,,1.556,,,,,1.556,18.22,,7.919,7.919,,,,4.677,,,,,,12.915999,,,,12.915999,25.511999,11.903,,,,,1.664,,,,,1.664,13.567,39.078999,0.001,51.023998,,,0.0,,-48.472,2.552998,0.0,2.552998,41.631997,
12/29/1991,107.783997,64.242996,64.242996,0.0,16.75,,,,7.134,,,,,1.182,,,,89.308998,17.059999,,,0.0,,,1.415,,,,,1.415,18.474999,,9.471,9.471,,,,3.629,,,,,,13.862,,,,13.862,26.962,10.646,,,,,1.664,,,,,1.664,12.31,39.272,0.0,118.649002,,,0.0,,-50.137001,68.512001,0.0,68.512001,107.784001,
03/29/1992,99.977997,49.255,45.202,4.053,24.412001,,,,5.725,,,,,0.966,,,,80.358002,18.257999,,,0.0,,,1.362,,,,,1.362,19.619999,,7.391,7.391,,,,2.946,,,,,,12.913999,,,,12.913999,23.250999,7.21,,,,,2.074,,,,,2.074,9.284,32.534999,0.0,118.821999,,,0.0,,-51.379002,67.442997,0.0,67.442997,99.977996,
06/28/1992,102.510002,49.529001,39.429001,10.1,24.799,,,,6.596,,,,,0.888,,,,81.811996,18.541,,,0.0,,,2.157,,,,,2.157,20.698,,7.775,7.775,,,,3.017,,,,,,15.729999,,,,15.729999,26.521999,7.098,,,,,1.659,,,,,1.659,8.757,35.278999,0.0,119.217003,,,0.0,,-51.986,67.231003,0.0,67.231003,102.510002,
09/27/1992,108.317001,54.367,40.236,14.131,21.888,,,,6.509,,,,,3.943,,,,86.707001,20.311001,41.277,-20.966,0.0,,,1.299,,,,,1.299,21.610001,,7.661,7.661,,,,4.634,,,,,,17.834,,,,17.834,30.129,5.525,,,,,3.856,,,,,3.856,9.381,39.51,0.0,121.403,,,0.0,,-52.596001,68.806999,0.0,68.806999,108.316999,
12/27/1992,110.561996,49.762998,24.823999,24.938999,26.489,,,,7.633,,,,,3.158,,,,87.042999,22.393999,,,0.0,,,1.125,,,,,1.125,23.518999,,18.028999,18.028999,,,,4.587,,,,,,10.129,,,,10.129,32.744999,5.607,,,,,4.169,,,,,4.169,9.776,42.520999,0.0,122.253998,,,0.0,,-54.213001,68.040997,0.0,68.040997,110.561996,
03/28/1993,136.901001,49.029999,30.938,18.091999,21.136,,,,8.849,,,,,7.121,,,,86.136002,47.278999,,,0.0,,,3.486,,,,,3.486,50.764999,,21.708,21.708,,,,6.067,,,,,,11.385,,,,11.385,39.16,23.572001,,,,,4.311,,,,,4.311,27.883001,67.043001,0.0,123.682999,,,0.0,,-53.825001,69.857998,0.0,69.857998,136.900999,
06/27/1993,145.115997,47.303002,29.367001,17.936001,28.903,,,,12.745,,,,,1.799,,,,90.75,51.441002,,,0.0,,,2.925,,,,,2.925,54.366002,,25.583,25.583,,,,5.935,,,,,,8.878,,,,8.878,40.396,23.532,,,,,4.874,,,,,4.874,28.406,68.802,0.0,124.081001,,,0.0,,-47.766998,76.314003,0.0,76.314003,145.116003,
09/26/1993,306.588989,192.075005,97.453003,94.622002,34.136002,,,,14.077,,,,,1.251,,,,241.539001,62.348999,89.226997,-26.878,0.0,,,2.701,,,,,2.701,65.049999,,29.382,29.382,,,,5.64,,,,,,5.851001,,,,5.851001,40.873001,24.905001,,,,,4.115,,,,,4.115,29.020001,69.893002,0.0,277.231995,,,0.0,,-40.535999,236.695996,0.0,236.695996,306.588998,
12/26/1993,310.713013,170.879002,47.854,123.025002,37.006001,,,,17.816999,,,,,1.235,,,,226.936996,72.815002,,,0.0,,,10.961,,,,,10.961,83.776002,,29.778,29.778,,,,4.601,,,,,,5.905,,,,5.905,40.284,23.962999,,,,,3.46,,,,,3.46,27.422999,67.706999,0.0,278.52301,,,0.0,,-35.516998,243.006012,0.0,243.006012,310.713011,
03/27/1994,327.54599,169.035,61.658001,107.376999,46.938999,,,,19.287001,,,,,3.95,,,,239.210999,78.529999,,,0.0,,,9.805,,,,,9.805,88.334999,,38.907001,38.907001,,,,4.278,,,,,,6.449997,,,,6.449997,49.634998,23.475,,,,,3.41,,,,,3.41,26.885,76.519998,0.0,281.057007,,,0.0,,-30.031,251.026007,0.0,251.026007,327.546005,
06/26/1994,338.177002,146.569999,33.789001,112.780998,47.256001,,,,19.492001,,,,,5.97,,,,219.287994,106.572998,,,0.0,,,12.316,,,,,12.316,118.888998,,41.563,41.563,,,,3.991,,,,,,4.943002,,,,4.943002,50.497002,23.163,,,,,3.695,,,,,3.695,26.858,77.355002,0.0,284.449005,,,0.0,,-23.627001,260.822004,0.0,260.822004,338.177006,
09/25/1994,357.924988,137.495999,45.049,92.446999,62.926998,,,,15.631,,,,,4.56,,,,220.613998,113.681,155.251999,-41.570999,0.0,,,23.629999,,,,,23.629999,137.310999,,58.979,58.979,,,,3.748,,,,,,6.439,,,,6.439,69.166,23.738001,,,,,2.851,,,,,2.851,26.589001,95.755001,0.0,287.513,,,0.0,,-25.343,262.17,0.0,262.17,357.925001,
12/25/1994,350.401001,98.368002,27.872999,70.495003,63.412998,,,,22.061001,,,,,5.528,,,,189.369995,121.141998,,,12.018,,,27.871,,,,,27.871,161.030998,,41.125,41.125,,,,3.498,,,,,,8.027002,,,,8.027002,52.650002,25.025999,,,,,3.594,,,,,3.594,28.619999,81.270001,0.0,288.527008,,,0.0,,-19.396,269.131008,0.0,269.131008,350.401009,
03/26/1995,367.61499,91.244998,27.02,64.224998,73.208,,,,19.742001,,,,,6.844,,,,191.039001,137.334,,,12.034,,,27.208,,,,,27.208,176.576,,47.889999,47.889999,,,,2.124,,,,,,8.641999,,,,8.641999,58.655998,27.118,,,,,3.324,,,,,3.324,30.442,89.097998,0.0,291.865997,,,0.0,,-13.349,278.516997,0.0,278.516997,367.614995,
06/25/1995,399.167999,86.254002,65.248001,21.006001,69.403,,,,31.733,,,,,9.83,,,,197.220001,153.276001,,,12.033,,,36.639,,,,,36.639,201.948001,,68.098999,68.098999,,,,1.52,,,,,,7.980999,,,,7.980999,77.599998,29.030001,,,,,3.396,,,,,3.396,32.426001,110.025999,0.0,295.227997,,,0.0,,-6.086,289.141997,0.0,289.141997,399.167996,
