Date,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
08/19/1989,294.084015,-153.608002,140.476013,,-138.591995,1.884,-4.659,,-0.88,-3.655,1.791,-1.864,0.0,0.0,-1.864,0.0,,-1.864,,,-1.864,,-0.02,-0.02,86.883001,-0.02,-0.02,-0.02,86.883001,
11/11/1989,330.10199,-171.610992,158.490997,,-152.162994,6.328,-5.483,,3.393,4.238,-3.775,0.463,0.0,0.0,0.463,0.0,,0.463,,,0.463,,0.003333,0.003333,86.813999,0.003333,0.003333,0.003333,86.813999,
03/03/1990,421.781006,-219.561005,202.220001,,-206.677994,-4.458,-7.83,,0.202,-12.086,-13.408,-25.493999,0.0,0.0,-25.493999,0.0,,-25.493999,,,-25.494,,-0.293333,-0.293333,87.212997,-0.293333,-0.293333,-0.293333,87.212997,
05/26/1990,362.286011,-186.283997,176.002014,,-146.945999,29.056,-5.966,,-81.928001,-58.838001,-6.862,-65.699997,0.0,0.0,-65.699997,0.0,,-65.699997,,,-65.700001,-0.753333,-0.753333,-0.753333,87.258,-0.753333,-0.753333,-0.753333,87.258,
08/18/1990,302.450012,-158.414993,144.035019,,-123.397003,20.638,-4.618,,0.752,16.772,-7.38,9.392,0.0,0.0,9.392,0.0,,9.392,,,9.392,,0.106667,0.106667,87.170998,0.106667,0.106667,0.106667,87.170998,
11/10/1990,309.356995,-154.695007,154.661987,,-133.556,21.106001,-3.803,,1.066,18.369001,-6.676,11.693,0.0,0.0,11.693,0.0,,11.693,,,11.693001,,0.136667,0.136667,87.272999,0.136667,0.136667,0.136667,87.272999,
03/02/1991,397.799988,-197.880005,199.919983,,-176.117004,23.802999,-4.178,,2.382,22.006999,-8.803,13.204,0.0,0.0,13.204,0.0,,13.204,,,13.203999,,0.15,0.15,87.482998,0.15,0.15,0.15,87.482998,
05/25/1991,321.328003,-148.389008,172.938995,,-147.923996,25.014999,-3.864,,-0.322,20.828999,-6.773,14.056,0.0,0.0,14.056,0.0,,14.056,,,14.055999,0.16,0.16,0.16,87.628497,0.16,0.16,0.16,87.628497,
08/24/1991,288.563995,-139.320999,149.242996,,-129.720993,19.521999,-3.444,0.0,-1.038,15.039999,-5.415,9.625,0.0,0.0,9.625,0.0,,9.625,,,9.624999,,0.11,0.11,87.891003,0.11,0.11,0.11,87.891003,
11/16/1991,303.203003,-153.389999,149.813004,,-132.729004,17.084,-3.491,0.0,-1.0,12.593,-4.533,8.06,0.0,0.0,8.06,0.0,,8.06,,,8.06,,0.09,0.09,88.446001,0.09,0.09,0.09,88.446001,
03/07/1992,394.812988,-201.104996,193.707993,,-173.548996,20.159,-3.822,0.0,-19.305,-2.968,0.082,-2.886,0.0,0.0,-2.886,0.0,,-2.886,,,-2.886,,-0.033333,-0.033333,88.712997,-0.033333,-0.033333,-0.033333,88.712997,
05/30/1992,310.662994,-158.270996,152.391998,,-141.145004,11.247,-0.534,0.0,-4.479,6.234,-0.082,6.152,0.0,0.0,6.152,0.0,,6.152,,,6.152,0.07,0.07,0.07,88.796991,0.07,0.07,0.07,88.796991,
08/29/1992,304.623993,-160.117996,144.505997,,-129.738007,14.768,-2.851,,-2.588,9.329,-3.172,6.157,3.325,0.0,9.482,0.0,,9.482,,,6.157,,0.07,0.106667,89.094,0.07,0.07,0.106667,89.094,
11/28/1992,333.484985,-169.645004,163.839981,,-144.613998,19.226,-2.276,,-4.173,12.777,-4.344,8.433,0.0,0.0,8.433,0.0,,8.433,,,8.433,,0.093333,0.093333,89.745003,0.093333,0.093333,0.093333,89.745003,
03/01/1993,311.233002,-160.070999,151.162003,,-132.729004,18.433001,-2.336,,-2.257,13.840001,-4.706,9.134,0.0,0.0,9.134,0.0,,9.134,,,9.134001,,0.1,0.1,90.251999,0.1,0.1,0.1,90.251999,
05/29/1993,353.036011,-186.475998,166.560013,,-145.684998,20.875,-2.848,,-153.031998,-135.004998,52.870998,-82.134003,0.0,0.0,-82.134003,0.0,,-82.134003,,,-82.134,-0.91,-0.91,-0.91,91.215003,-0.91,-0.91,-0.91,91.215003,
08/28/1993,291.580994,-154.804001,136.776993,,-122.056,14.721,,,-3.475,11.246,-1.564,9.682,0.0,0.0,9.682,0.0,,9.682,,,9.682,,0.103333,0.103333,91.553999,0.103333,0.103333,0.103333,91.553999,
11/27/1993,318.872009,-172.619995,146.252014,,-127.108002,19.143999,,,-1.797,17.346999,-5.902,11.445,0.0,0.0,11.445,0.0,,11.445,,,11.444999,,0.126667,0.126667,91.823999,0.126667,0.126667,0.126667,91.823999,
02/26/1994,334.738007,-181.858002,152.880005,,-129.837997,23.042,,,0.57,23.612,-7.956,15.656,0.0,0.0,15.656,0.0,,15.656,,,15.656,,0.17,0.17,90.806997,0.17,0.17,0.17,90.806997,
05/28/1994,379.790009,-205.675003,174.115006,,-143.869995,30.245001,,,3.643,33.888001,-9.782,24.106001,0.0,0.0,24.106001,0.0,,24.106001,,,24.106001,0.26,0.26,0.26,90.554997,0.26,0.26,0.26,90.554997,
08/27/1994,324.85199,-167.656998,157.194992,,-132.244995,24.950001,,,-1.953,22.997001,-5.632,17.365,0.0,0.0,17.365,0.0,,17.365,,,17.365001,0.18,0.18,0.18,96.285004,0.18,0.18,0.18,96.285004,
11/30/1994,358.654999,-194.841995,163.813004,,-137.565994,26.247,,,-1.179,25.068,-6.451,18.617001,0.0,0.0,18.617001,0.0,,18.617001,,,18.617,0.19,0.19,0.19,97.395,0.19,0.19,0.19,97.395,
02/25/1995,371.687988,-206.052994,165.634995,,-135.792999,29.841999,,,-0.916,28.925999,-7.568,21.358,0.0,0.0,21.358,0.0,,21.358,,,21.357999,0.216667,0.216667,0.216667,98.213997,0.216667,0.216667,0.216667,98.213997,
05/27/1995,442.766998,-251.319,191.447998,,-161.134003,30.313999,,,2.857,33.170999,-8.927,24.243999,0.0,0.0,24.243999,0.0,,24.243999,,,24.243999,0.246667,0.246667,0.246667,98.399997,0.246667,0.246667,0.246667,98.399997,
