Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
08/31/1989,56.25,19.382001,0.467,18.915001,12.576,,,,0.0,,,,,1.03,,,,,32.987999,23.025,41.703999,-18.679001,0.0,,0.237,,,,,0.237,23.262,,1.367,1.367,,,,0.646,,,,,6.803,,,,6.803,8.816,2.03,,,,,2.795,,,,,2.795,4.825,13.641,0,9.241,,,-0.028,,33.396,42.609,0.0,42.609,56.25,
11/30/1989,58.369999,17.607001,0.15,17.457001,13.434,,,,0.0,,,,,1.316,,,,,32.356998,25.707001,45.993999,-20.287001,0.0,,0.306,,,,,0.306,26.013001,,1.73,1.73,,,,0.66,,,,,5.984,,,,5.984,8.374,1.92,,,,,3.131,,,,,3.131,5.051,13.425,0,9.367,,,-0.02,,35.597999,44.944999,0.0,44.944999,58.369998,
02/28/1990,60.027,17.852,0.536,17.316,12.628,,,,0.0,,,,,1.434,,,,,31.914,27.908001,49.963001,-22.055,0.0,,0.205,,,,,0.205,28.113001,,2.368,2.368,,,,0.57,,,,,6.321,,,,6.321,9.259,1.91,,,,,3.011,,,,,3.011,4.921,14.18,0,9.446,,,-0.019,,36.420001,45.847001,0.0,45.847001,60.027001,
05/31/1990,62.109001,15.785,0.504,15.281,14.239,,,,0.0,,,,,1.399,,,,,31.423,30.135,53.882,-23.747,0.0,,0.551,,,,,0.551,30.686,,2.948,2.948,,,,0.484,,,,,6.734,,,,6.734,10.166,1.653,,,,,3.13,,,,,3.13,4.783,14.949,0,9.473,,,-0.012,,37.699,47.16,0.0,47.16,62.109,
08/30/1990,64.643997,15.01,0.212,14.798,14.891,,,,0.0,,,,,1.197,,,,,31.098,33.004002,58.585999,-25.582001,0.0,,0.542,,,,,0.542,33.546002,,2.043,2.043,,,,0.413,,,,,8.008,,,,8.008,10.464,1.653,,,,,3.008,,,,,3.008,4.661,15.125,0,9.482,,,-0.011,,40.047999,49.518999,0.0,49.518999,64.643999,
11/30/1990,66.218002,13.982,0.48,13.502,13.924,,,,0.0,,,,,1.978,,,,,29.884001,35.667999,63.201,-27.533001,0.0,,0.666,,,,,0.666,36.333999,,2.259,2.259,,,,1.539,,,,,6.219,,,,6.219,10.017,1.653,,,,,2.786,,,,,2.786,4.439,14.456,0,9.525,,,-0.007,,42.244,51.761999,0.0,51.761999,66.217999,
02/28/1991,68.917999,13.511,0.5,13.011,14.153,,,,0.0,,,,,2.261,,,,,29.924999,38.229,66.029999,-27.801001,0.0,,0.764,,,,,0.764,38.993,,1.847,1.847,,,,1.459,,,,,8.124,,,,8.124,11.43,2.303,,,,,2.096,,,,,2.096,4.399,15.829,0,9.641,,,0.0,,43.448002,53.089002,0.0,53.089002,68.918002,
05/31/1991,70.413002,11.037,0.451,10.586,15.644,,,,0.0,,,,,3.021,,,,,29.702,40.037998,69.708,-29.67,0.0,,0.673,,,,,0.673,40.710998,,3.04,3.04,,,,0.384,,,,,7.057,,,,7.057,10.481,2.024,,,,,3.417,,,,,3.417,5.441,15.922,0,9.649,,,0.0,,44.841999,54.490999,0.0,54.490999,70.412999,
08/31/1991,73.394997,14.652,4.843,9.809,15.136,,,,0.0,,,,,2.467,,,,,32.255001,40.229,72.081001,-31.851999,0.0,,0.911,,,,,0.911,41.14,,1.648,1.648,,,,0.387,,,,,8.695,,,,8.695,10.73,1.986,,,,,3.243,,,,,3.243,5.229,15.959,0,9.856,,,0.0,,47.580002,57.436002,0.0,57.436002,73.395001,
11/30/1991,79.177002,14.36,4.565,9.795,16.51,,,,0.0,,,,,3.312,,,,,34.181999,44.124001,77.460999,-33.337002,0.0,,0.871,,,,,0.871,44.995001,,4.274,4.274,,,,0.39,,,,,8.093,,,,8.093,12.757,1.948,,,,,3.282,,,,,3.282,5.23,17.987,0,10.601,,,0.0,,50.589001,61.190001,0.0,61.190001,79.177001,
02/29/1992,81.499001,16.8,6.299,10.501,16.179001,,,,0.0,,,,,3.894,,,,,36.873001,43.854,79.379997,-35.526001,0.0,,0.772,,,,,0.772,44.626,,1.998,1.998,,,,0.392,,,,,9.559,,,,9.559,11.949,1.909,,,,,3.117,,,,,3.117,5.026,16.975001,0,11.692,,,0.0,,52.832001,64.524001,0.0,64.524001,81.499002,
05/31/1992,86.241997,20.025001,5.215,14.81,17.489,,,,0.0,,,,,4.107,,,,,41.620998,43.875,81.955002,-38.080002,0.0,,0.746,,,,,0.746,44.621,,3.519,3.519,,,,0.39,,,,,9.828,,,,9.828,13.737,1.634,,,,,3.466,,,,,3.466,5.1,18.837,0,11.954,,,0.0,,55.451,67.405001,0.0,67.405001,86.242001,
08/31/1992,90.558998,25.446,7.636,17.809999,18.253,,,,0.0,,,,,3.583,,,,,47.282001,42.435001,81.718002,-39.283001,0.0,,0.842,,,,,0.842,43.277001,,2.345,2.345,,,,0.451,,,,,11.192,,,,11.192,13.988,1.535,,,,,3.1,,,,,3.1,4.635,18.623,0,12.177,,,0.0,,59.758999,71.935999,0.0,71.935999,90.558999,
11/30/1992,94.736,27.960001,6.11,21.85,19.066999,,,,0.0,,,,,3.908,,,,,50.935001,42.755001,84.651001,-41.896,0.0,,1.046,,,,,1.046,43.801001,,3.736,3.736,,,,0.396,,,,,9.477,,,,9.477,13.609,1.552,,,,,3.133,,,,,3.133,4.685,18.294,0,12.713,,,0.0,,63.729,76.442,0.0,76.442,94.736001,
