Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,4173.0,,,-2603.0,,,1570.0,,-1262.0,,,,,308.0,-79.0,,147.0,,,,-68.0,229.0,-79.0,150,375.0,,,-225.0,-29.0,-254,-22.0,,-276.0,-276.0,,141.301495,-1.953333,0.7,,141.301495,-1.953333,0.7,0.7,
06/30/1990,4422.0,,,-2721.0,,,1701.0,,-1336.0,,,,,365.0,-123.0,,146.0,,,,-23.0,242.0,-72.0,170,0.0,,,170.0,-40.0,130,-22.0,,108.0,108.0,,141.316498,0.773333,0.773333,,141.316498,0.773333,0.773333,0.773333,
09/30/1990,4408.0,,,-2766.0,,,1642.0,,-1366.0,,,,,276.0,-42.0,,151.0,,,,-109.0,234.0,-67.0,167,0.0,,,167.0,-35.0,132,-22.0,,110.0,110.0,,141.317997,0.773333,0.773333,,141.317997,0.773333,0.773333,0.773333,
12/31/1990,4714.0,,,-2984.0,,,1730.0,,-1404.0,,,,,326.0,72.0,,144.0,,,,-216.0,398.0,-93.0,305,40.0,,,265.0,-83.0,182,-20.0,,162.0,162.0,,138.340496,1.173333,2.06,2.06,138.340496,1.173333,2.06,2.06,
03/31/1991,4150.0,,,-2485.0,,,1665.0,,-1357.0,,,,,308.0,-86.0,,133.0,,,,-47.0,222.0,-72.0,150,0.0,,,150.0,-34.0,116,-22.0,,94.0,94.0,,141.440998,0.673333,0.673333,,141.440998,0.673333,0.673333,0.673333,
06/30/1991,4369.0,,,-2635.0,,,1734.0,,-1421.0,,,,,313.0,-60.0,,140.0,,,,-80.0,253.0,-80.0,173,0.0,,,173.0,-47.0,126,-22.0,,104.0,104.0,,141.957001,0.74,0.74,,141.957001,0.74,0.74,0.74,
09/30/1991,4253.0,,,-2536.0,,,1717.0,,-1386.0,,,,,331.0,-88.0,,137.0,,,,-49.0,243.0,-77.0,166,0.0,,,166.0,-45.0,121,-22.0,,99.0,99.0,,141.9585,0.706667,0.706667,,141.9585,0.706667,0.706667,0.706667,
12/31/1991,4796.0,,,-2787.0,,,2009.0,,-1500.0,,,,,509.0,-264.0,,126.0,,,,138.0,245.0,-117.0,128,0.0,,,128.0,-37.0,91,-20.0,,71.0,71.0,,138.991504,0.486667,0.486667,,138.991504,0.486667,0.486667,0.486667,
03/31/1992,4033.0,,,,,,,,-3846.0,,,,,187.0,15.0,,,,,,-15.0,202.0,-73.0,129,630.0,,,-501.0,-28.0,-529,0.0,,-529.0,-529.0,,144.930004,-3.786667,0.56,0.593333,144.930004,-3.786667,0.56,0.593333,
06/30/1992,4286.0,,,,,,,,-4101.0,,,,,185.0,57.0,,,,,,-57.0,242.0,-89.0,153,-12.0,,,165.0,-41.0,124,0.0,,124.0,124.0,,145.252499,0.746667,0.664,0.666667,145.252499,0.746667,0.664,0.666667,
09/30/1992,4327.0,,,,,,,,-4539.0,,,,,-212.0,444.0,,,,,,-444.0,232.0,-94.0,138,-15.0,,,153.0,-32.0,121,0.0,,121.0,121.0,,145.486495,0.713333,0.61,0.613333,145.486495,0.713333,0.61,0.613333,
12/31/1992,4913.0,,,,,,,,-5397.0,,,,,-484.0,0.0,,,,,,0.0,-484.0,-4.0,-488,200.0,,,-688.0,-48.0,-736,-85.0,,-821.0,-821.0,,142.470004,-5.76,-4.02,-4.02,142.470004,-5.76,-4.02,-4.02,
03/31/1993,3903.0,,,-2424.0,,,1479.0,,-1284.0,,,,,195.0,8.0,,,,,,-8.0,203.0,-67.0,136,-77.0,,,213.0,-24.0,189,0.0,,189.0,189.0,,146.934002,1.18,0.66,0.66,146.934002,1.18,0.66,0.66,
