Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/30/1989,1145.657959,41.660999,41.660999,0.0,133.862,,,443.408997,,,,,9.962,,,,628.893982,487.928009,659.333008,-171.404999,0.0,,28.836,,,,28.836,516.764009,,203.774002,203.774002,,,,62.172001,,,,,,87.224987,,,87.224987,353.17099,170.817001,,,,,24.497,,,,,,24.497,195.314001,548.484991,0.0,196.710999,,,-50.0,,450.462006,597.173004,0.0,597.173004,1145.657995,
07/31/1989,1136.629028,39.519001,39.519001,0.0,142.009003,,,412.118988,,,,,13.393,,,,607.039978,501.851013,684.106995,-182.255997,0.0,,27.738001,,,,27.738001,529.589014,,188.304001,188.304001,,,,42.405998,,,,,,85.872002,,,85.872002,316.582001,171.399002,,,,,25.847,,,,,,25.847,197.246002,513.828003,0.0,196.871002,,,-50.0,,475.929993,622.800995,0.0,622.800995,1136.628998,
10/31/1989,1144.862061,0.581,0.581,0.0,148.175003,,,439.032013,,,,,13.552,,,,601.340027,513.724976,705.411987,-191.686996,0.0,,29.797001,,,,29.797001,543.521976,,184.582001,184.582001,,,,28.569,,,,,,93.333984,,,93.333984,306.484985,171.270996,,,,,27.191999,,,,,,27.191999,198.462996,504.947981,0.0,198.244995,,,-50.070999,,491.740005,639.914001,0.0,639.914001,1144.861982,
01/31/1990,1147.394043,55.566002,55.566002,0.0,121.897003,,,407.677002,,,,,10.806,,,,595.945984,507.811005,706.177979,-198.367004,0.0,,43.637001,,,,43.637001,551.448006,,210.197006,210.197006,,,,12.652,,,,,,85.041009,,,85.041009,307.890015,167.895996,,,,,26.049999,,,,,,26.049999,193.945995,501.83601,0.0,198.610992,,,-50.070999,,497.01799,645.557983,0.0,645.557983,1147.393993,
04/30/1990,1261.041992,37.018002,37.018002,0.0,137.845001,,,516.281006,,,,,9.139,,,,700.28302,516.919006,726.135986,-209.216995,0.0,,43.84,,,,43.84,560.759007,,243.634003,243.634003,,,,53.460999,,,,,,107.346008,,,107.346008,404.44101,165.641998,,,,,27.395,,,,,,27.395,193.036999,597.478008,0.0,199.483002,,,-50.070999,,514.151993,663.563995,0.0,663.563995,1261.042004,
07/31/1990,1288.359985,54.948002,54.948002,0.0,143.406006,,,504.141998,,,,,10.644,,,,713.140015,528.979004,747.927002,-218.947998,0.0,,46.241001,,,,46.241001,575.220005,,208.449005,208.449005,,,,92.442001,,,,,,102.499985,,,102.499985,403.390991,163.822998,,,,,27.393999,,,,,,27.393999,191.216997,594.607988,0.0,204.598007,,,-50.081001,,539.234993,693.751999,0.0,693.751999,1288.359987,
10/31/1990,1282.895996,52.625,52.625,0.0,136.570007,,,498.071014,,,,,12.461,,,,699.72699,535.228027,762.963989,-227.735992,0.0,,47.941002,,,,47.941002,583.169029,,186.173004,186.173004,,,,120.167,,,,,,99.829002,,,99.829002,406.169006,161.897995,,,,,27.393999,,,,,,27.393999,189.291994,595.461,0.0,187.862,,,0.0,,499.572998,687.434998,0.0,687.434998,1282.895998,
01/31/1991,1203.052002,50.144001,15.034,35.110001,96.353996,,,460.803986,,,,,9.159,,,,616.460999,541.463989,776.53302,-235.069,0.0,,45.126999,,,,45.126999,586.590988,,186.860001,186.860001,,,,64.151001,,,,,,86.664993,,,86.664993,337.675995,159.203995,,,,,23.5,,,,,,23.5,182.703995,520.37999,0.0,187.406998,,,0.0,,495.265015,682.672013,0.0,682.672013,1203.052003,
04/30/1991,1292.612061,55.880001,18.341,37.539001,118.038002,,,517.109985,,,,,10.415,,,,701.442993,546.619995,792.132996,-245.513,0.0,,44.549,,,,44.549,591.168995,,238.164001,238.164001,,,,76.472,,,,,,107.537003,,,107.537003,422.173004,157.354996,,,,,23.5,,,,,,23.5,180.854996,603.028,0.0,187.546997,,,0.0,,502.036987,689.583984,0.0,689.583984,1292.611984,
07/31/1991,1285.594971,36.755,24.747,12.008,133.360992,,,494.237,,,,,12.178,,,,676.531006,564.419006,821.317017,-256.89801,0.0,,44.645,,,,44.645,609.064007,,221.761993,221.761993,,,,64.984001,,,,,,110.200996,,,110.200996,396.946991,155.031998,,,,,23.5,,,,,,23.5,178.531998,575.478989,0.0,187.901001,,,0.0,,522.215027,710.116028,0.0,710.116028,1285.595016,
