Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,47.918999,-33.886002,43.271,6.101,,,6.101,32.432999,,,32.432999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,84.457001,-3.593,42.796001,-1.277,,,-1.277,46.530998,,,46.530998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,65.028999,11.375,42.657001,-15.515,,,-15.515,26.511999,,,26.511999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,-2.584,-1.877,42.033001,12.203,,,12.203,-54.943001,,,-54.943001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.584,,,
03/31/1991,56.352001,-11.093,41.144001,-10.483,,,-10.483,36.784,,,36.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,65.055,-7.036,40.073002,-7.775,,,-7.775,39.792999,,,39.792999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,24.402,-15.558,46.037998,-6.779,,,-6.779,0.701,,,0.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,46.547001,-6.734,41.271999,14.663,,,14.663,-2.654,,,-2.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.547001,,,
03/31/1992,33.023998,-70.809998,39.354,60.724998,,,60.724998,3.755,,,3.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,79.328003,2.37,37.880001,5.152,,,5.152,33.925999,,,33.925999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,11.109,1.563,37.719002,-6.288,,,-6.288,-21.885,,,-21.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.109,,,
12/31/1992,8.318,-14.198,51.964001,-4.143,,,-4.143,-25.305,,,-25.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.318,,,
03/31/1993,43.332001,8.268,36.799999,-0.756,,,-0.756,-0.98,,,-0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,33.694,8.392,35.639,-12.362,,,-12.362,2.025,,,2.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,57.606998,17.079,36.710999,-1.661,,,-1.661,5.478,,,5.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,38.174999,16.834999,37.146999,-6.126,,,-6.126,-9.681,,,-9.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.174999,,,
03/31/1994,19.332001,15.256,36.749001,-5.341,,,-5.341,-27.332001,,,-27.332001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,75.678001,5.207,36.473999,0.769,,,0.769,33.228001,,,33.228001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,49.777,14.759,36.09,5.343,,,5.343,-6.415,,,-6.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,20.395,19.551001,36.452,9.315,,,9.315,-44.923,,,-44.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.395,,,
03/31/1995,8.671,24.166,35.310001,1.927,,,1.927,-52.731998,,,-52.731998,,,-56.541,,,,-56.541,,,,,,,,,,56.541,,,,,,,,,,,,,,,
06/30/1995,62.408001,22.226999,35.729,-26.115999,,,-26.115999,30.568001,,,30.568001,,,-105.933998,,,,-105.933998,,,,,,,,,,105.933998,,,,,,,,,,,,,,,
09/30/1995,-11.412,15.515,37.924,0.742,,,0.742,-65.593002,,,-65.593002,,,-56.865002,,,,-56.865002,,,,,,,,,,56.865002,,,,,,,,,,,,,,,
12/31/1995,31.455999,-4.543,,32.639002,,,32.639002,3.36,,,3.36,,,-167.253006,,,,-167.253006,,,,,,,,,,167.253006,,,,,,,,,,,,,,,
03/31/1996,64.339996,0.28,21.327,10.268,,,10.268,32.465,,,32.465,,-48.498001,-48.498,1.043,,,-49.541,,,0.0,0.0,0.0,,,,,0.0,31.078,-7.48,37.734,,,,0.824,0.824,0.0,0.0,,46.919998,,,
06/30/1996,49.285999,13.656,22.857,23.006001,,,23.006001,-10.233,,,-10.233,,-49.665001,-49.664999,1.17,,,-50.834999,,,0.0,0.0,0.0,,,,,-2e-06,24.548,-7.486,31.91,,,,0.124,0.124,0.0,0.0,,24.169001,,,
09/30/1996,21.941999,19.854,25.004,-37.68,,,-37.68,14.764,,,14.764,,-38.872002,-38.872001,2.897,,,-41.769001,,,0.0,0.0,0.0,,,,,0.0,20.518,-7.462,27.98,,,,0.0,0.0,0.0,0.0,,3.588,,,
12/31/1996,70.259003,-6.242,26.558001,28.753,,,28.753,21.190001,,,21.190001,,-56.111,-56.110999,2.579,,,-58.689999,,,0.0,0.0,0.0,,,,,0.0,-1.585,-7.464,4.94,,,,0.939,0.939,0.0,0.0,,12.563,,,
