Date,Revenue,Revenue From Electric,Regulated Electric Revenue,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,691.935974,691.935974,,0.0,0.0,0.0,-202.371994,202.371998,150.242996,52.129002,0.0,,489.56398,-255.354996,48.584999,58.883999,46.945999,100.940002,234.209,-63.602999,,,1.032,,65.195999,61.279999,-1.858,5.774,-0.561,170.606,-62.98,107.625999,0.0,,,107.626001,0.0,107.625999,-11.689,,95.936999,95.936999,,301.691986,0.3175,0.3175,0.3175,301.691986,0.3175,0.3175,0.3175,
06/30/1990,626.174011,626.174011,,0.0,0.0,0.0,-197.699005,197.698994,142.082993,55.616001,0.0,,428.475006,-262.201996,61.195,58.898998,40.869999,101.237999,166.272995,-62.820998,,,0.899,,65.420998,60.794998,-1.713,6.339,-1.701,103.451997,-36.632,66.82,0.0,,,66.819997,0.0,66.82,-11.629,,55.191,55.191,,301.691986,0.1825,0.1825,0.1825,301.691986,0.1825,0.1825,0.1825,
09/30/1990,665.546021,665.546021,,0.0,0.0,0.0,-215.179993,215.180004,160.897003,54.283001,0.0,,450.366028,-258.483002,53.801998,58.742001,41.922001,104.016998,191.882996,-61.930997,,,0.877,,64.462997,60.521999,-2.457,6.398,-1.655,129.951998,-47.094002,82.858002,0.0,,,82.857996,0.0,82.858002,-11.461,,71.397001,71.397001,,301.772003,0.2375,0.2375,0.2375,301.772003,0.2375,0.2375,0.2375,
12/31/1990,653.606995,653.606995,,0.0,0.0,0.0,-192.356995,192.357002,126.049004,66.307999,0.0,,461.25,-266.947998,59.945999,57.727001,40.495998,108.778999,194.302002,-60.279002,,,0.704,,62.969002,56.653,-2.732,9.048,-1.986,134.023,-47.421001,86.601997,0.0,,,86.601999,0.0,86.601997,-11.346,,75.255998,75.255998,,302.235992,0.25,0.25,0.25,302.235992,0.25,0.25,0.25,
03/31/1991,721.359009,721.359009,,0.0,0.0,0.0,-218.503998,218.503994,154.901993,63.602001,0.0,,502.855011,-265.21701,48.076,62.240002,47.096001,107.805,237.638,-59.98,,,0.0,,61.194,56.598,-2.389,6.985,-1.214,177.658,-67.276001,110.382004,0.0,,,110.381999,0.0,110.382004,-11.346,,99.036004,99.036004,,302.623993,0.3275,0.3275,0.3275,302.623993,0.3275,0.3275,0.3275,
06/30/1991,654.91803,654.91803,,0.0,0.0,0.0,-214.067993,214.068008,151.404007,62.664001,0.0,,440.850037,-267.811005,52.745998,61.551998,41.712002,111.801003,173.039001,-59.005,,,0.263,,60.778,56.511002,-2.227,6.494,-1.51,114.034002,-41.558998,72.474998,0.0,,,72.475003,0.0,72.474998,-11.286,,61.188998,61.188998,,302.691986,0.2025,0.2025,0.2025,302.691986,0.2025,0.2025,0.2025,
09/30/1991,670.971008,670.971008,,0.0,0.0,0.0,-204.317001,204.317005,140.546005,63.771,0.0,,466.654007,-277.19101,54.159,61.612,49.105,112.315002,189.462997,-58.978998,,,0.767,,61.537998,59.119999,-2.34,4.758,-1.792,130.483999,-49.632999,80.850998,0.0,,,80.851,0.0,80.850998,-11.118,,69.732998,69.732998,,302.76001,0.23,0.23,0.23,302.76001,0.23,0.23,0.23,
12/31/1991,692.679016,692.679016,,0.0,0.0,0.0,-205.755997,205.756004,139.473007,66.282997,0.0,,486.923019,-287.365997,51.880001,60.807999,52.513,122.165001,199.557007,-56.856001,,,1.931,,61.887001,59.862999,-1.993,4.017,-3.1,142.701006,-57.994999,84.706001,0.0,,,84.706007,0.0,84.706001,-10.937,,73.769001,73.769001,,302.980011,0.2425,0.2425,0.2425,302.980011,0.2425,0.2425,0.2425,
03/31/1992,756.833984,756.833984,,0.0,0.0,0.0,-223.167999,223.167999,155.703003,67.464996,0.0,,533.665985,-280.627014,42.007999,65.526001,61.103001,111.989998,253.039001,-57.908001,,,1.682,,61.005001,59.577999,-2.073,3.5,-1.415,195.131,-82.106003,113.025002,0.0,,,113.024998,0.0,113.025002,-10.422,,102.603002,102.603002,,303.31601,0.3375,0.3375,0.3375,303.31601,0.3375,0.3375,0.3375,
06/30/1992,645.093018,645.093018,,0.0,0.0,0.0,-196.492996,196.492996,133.020996,63.472,0.0,,448.600021,-274.936005,48.702999,65.542,47.033001,113.657997,173.664001,-58.029002,,,1.176,,63.157001,61.799999,-2.147,3.504,-3.952,115.635,-45.845001,69.790001,0.0,,,69.789999,0.0,69.790001,-10.104,,59.686001,59.686001,,303.317993,0.195,0.195,0.195,303.317993,0.195,0.195,0.195,
