Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
09/30/2005,298.828,-91.388,152.862,245.732,1.857,133.207,110.668,-8.378,-14.221,18.124,-12.281,,57.017,-53.773,0.0,,,-53.773,,,0.0,0.0,0.0,,,,,110.79,-289.041,0.0,-254.75,,,,0.0,715.358,-715.358,-34.291,,66.804,
12/31/2005,-85.2,-12.8,21.1,1.8,,,1.8,-95.3,,,-95.3,,82.3,-15.6,0.0,,,-15.6,,,0.0,0.0,0.0,,,,,97.9,-0.1,-1.1,0.0,,,,0.0,0.0,0.0,1.0,,3.0,
03/31/2006,18.5,-24.6,22.5,-5.8,,-14.0,8.2,26.4,-16.8,-80.3,123.5,,-0.9,-11.5,,,,-11.5,,,,,,,,,,10.6,-16.3,-1.1,,,,,,,,-15.2,,1.3,
06/30/2006,44.4,42.6,24.9,24.4,,18.6,5.8,-47.5,-12.1,131.0,-166.4,,-57.4,-11.7,0.0,,,-11.7,,,0.0,0.0,0.0,,,,,-45.7,-1.0,-1.1,0.0,,,,0.0,0.0,0.0,0.1,,-14.0,
09/30/2006,100.4,7.3,22.9,20.9,,0.7,20.2,49.3,-1.9,-37.9,89.1,,-98.6,-17.9,0.3,,,-18.2,,,0.0,0.0,0.0,,,,,-80.7,-5.1,-1.1,0.0,,,,0.0,0.0,0.0,-4.0,,-3.3,
12/31/2006,40.3,8.0,24.3,32.3,,4.1,28.2,-24.3,-30.5,38.8,-32.6,,-34.4,-17.9,,,,-17.9,,,0.0,0.0,0.0,,,,,-16.5,-1.9,-1.1,0.0,,,,0.1,0.1,0.0,-0.9,,4.0,
03/31/2007,191.1,57.2,20.1,20.3,0.9,8.0,11.4,93.5,-3.4,-127.3,224.2,,-192.1,-20.9,0.0,,,-20.9,,,0.0,0.0,0.0,,,,,-171.2,3.4,-1.1,0.0,,,,4.3,4.3,0.0,0.2,,2.4,
06/30/2007,111.1,93.6,20.4,58.5,,4.3,54.2,-61.4,-33.5,124.4,-152.3,,-61.4,-18.5,0.0,,,-18.5,,,0.0,0.0,0.0,,,,,-42.9,-17.9,-1.1,0.0,,,,7.1,7.1,0.0,-23.9,,31.8,
09/30/2007,201.4,86.5,20.6,8.5,,6.1,2.4,85.8,14.3,-55.9,127.4,,-205.8,-34.4,4.0,,,-38.4,,,0.0,0.0,0.0,,,,,-171.4,-2.2,-1.1,0.0,,,,4.3,4.3,0.0,-5.4,,-6.6,
12/31/2007,186.5,135.4,23.4,8.8,,29.6,-20.8,18.9,-5.9,5.2,19.6,,116.2,-27.2,0.1,,,-27.3,,,-39.6,0.0,-39.6,,,,,183.0,10.8,-1.2,0.0,,,,14.2,14.2,0.0,-2.2,,313.5,
03/31/2008,297.2,158.8,25.8,28.8,-2.4,14.4,16.8,83.8,-7.3,-213.3,304.4,,187.1,-33.9,0.1,,,-34.0,,,0.0,0.0,0.0,,,,,221.0,1.2,-5.6,0.0,,,,6.8,6.8,0.0,0.0,,485.5,
06/30/2008,219.3,288.6,25.6,-48.9,,25.3,-74.2,-46.0,-20.9,75.9,-101.0,,-238.5,-36.4,2.4,,,-38.8,,,0.0,0.0,0.0,,,,,-202.1,-27.0,-5.7,0.0,,,,7.4,7.4,0.0,-28.7,,-46.2,
09/30/2008,97.4,47.1,24.3,292.7,,14.5,278.2,-266.7,18.3,-249.2,-35.8,,-88.7,-33.6,4.9,,,-38.5,,,0.0,0.0,0.0,,,,,-55.1,13.9,-5.6,0.0,,,,19.5,19.5,0.0,0.0,,22.6,
12/31/2008,24.7,190.1,25.1,77.0,1.2,-27.8,103.6,-267.5,-34.1,-30.1,-203.3,,299.6,-27.5,3.0,,,-30.5,,,0.0,0.0,0.0,,,,,327.1,-527.7,-5.1,0.0,,,,-499.5,0.7,-500.2,-23.1,,-203.4,
03/31/2009,292.3,62.7,21.9,-20.5,1.4,5.3,-27.2,228.2,-13.8,134.0,108.0,0.0,-108.6,-69.1,2.8,2.8,0.0,-71.9,-71.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.5,-4.5,-4.8,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,-0.4,178.8,
06/30/2009,194.9,213.0,24.4,3.3,0.7,40.3,-37.7,-45.8,54.2,273.1,-373.1,0.0,-73.1,-52.5,2.5,2.5,0.0,-55.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.6,-115.4,-4.8,0.0,,0.0,0.0,1.7,1.7,0.0,-112.3,5.9,12.3,
09/30/2009,83.3,38.5,27.0,-12.4,-1.8,4.0,-14.6,30.2,2.6,20.2,7.4,0.0,-399.6,-50.9,3.6,3.6,0.0,-54.5,-54.5,0.0,-247.2,0.0,-247.2,0.0,0.0,0.0,0.0,-101.5,0.4,-4.9,0.0,,0.0,0.0,5.3,5.3,0.0,0.0,-2.7,-318.6,
12/31/2009,111.3,51.4,27.7,12.2,1.7,-3.9,14.4,20.0,-21.7,13.0,28.7,0.0,93.6,-53.9,0.4,0.4,0.0,-54.3,-54.3,0.0,120.4,120.4,0.0,0.0,0.0,0.0,0.0,27.1,-4.4,-4.9,0.0,,0.0,0.0,0.5,0.5,0.0,0.0,-0.9,199.6,
03/31/2010,47.5,-4.4,28.3,5.9,1.4,0.1,4.4,17.7,-26.4,-78.8,122.9,0.0,302.2,-23.0,6.0,6.0,0.0,-29.0,-29.0,0.0,167.1,167.1,0.0,0.0,0.0,0.0,0.0,158.1,-36.2,-4.8,0.0,0.0,0.0,0.0,0.7,0.7,0.0,-32.1,-0.1,313.4,
06/30/2010,-1.5,105.1,149.8,16.7,1.8,-6.4,21.3,-273.1,-18.5,179.5,-434.1,0.0,-3187.9,-71.7,3.6,3.6,0.0,-75.3,-75.3,0.0,0.0,0.0,0.0,-3177.8,0.0,-3177.8,0.0,61.6,2780.2,-27.2,1838.5,0.0,5197.2,-3358.7,1150.4,1150.4,0.0,-181.5,0.1,-409.1,
09/30/2010,588.0,48.2,110.4,68.1,1.4,47.8,18.9,361.3,122.5,-24.4,263.2,0.0,-79.5,-81.1,3.1,3.1,0.0,-84.2,-84.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,-461.8,-7.1,-350.0,0.0,0.0,-350.0,1.3,1.3,0.0,-106.0,0.3,47.0,
12/31/2010,560.4,200.3,106.3,23.5,-2.1,47.1,-21.5,230.3,-7.0,3.5,233.8,0.0,-105.0,-65.8,3.8,3.8,0.0,-69.6,-69.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.2,-305.2,-7.1,-300.0,0.0,0.0,-300.0,8.4,8.4,0.0,-6.5,-0.9,149.3,
03/31/2011,671.2,282.0,118.5,8.6,-3.6,16.6,-4.4,262.1,-18.3,-123.4,403.8,0.0,16.1,-15.7,39.2,39.2,0.0,-54.9,-54.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,-350.5,-7.1,-346.0,0.0,0.0,-346.0,8.9,8.9,0.0,-6.3,-0.4,336.4,
06/30/2011,250.9,487.4,94.8,40.2,-9.9,9.2,40.9,-371.5,-160.4,119.5,-330.6,0.0,-18.2,-42.3,8.3,8.3,0.0,-50.6,-50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,-11.2,-7.2,0.0,0.0,0.0,0.0,18.3,18.3,0.0,-22.3,0.0,221.5,
09/30/2011,1033.0,330.9,101.6,85.0,-4.2,-9.4,98.6,515.5,145.0,-71.2,441.7,0.0,-47.8,-60.1,3.6,3.6,0.0,-63.7,-63.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,-917.5,-28.3,0.0,0.0,0.0,0.0,-788.9,13.0,-801.9,-100.3,2.8,70.5,
