Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/1990,91.199997,62.200001,35.200001,19.700001,,,19.700001,-25.9,,,-25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,172.399994,65.699997,35.0,74.900002,,,74.900002,-3.2,,,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/29/1990,761.299988,56.5,35.799999,676.099976,,,676.099976,-7.1,,,-7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,-718.127014,48.073002,38.514,-807.195007,,,-807.195007,2.481,,,2.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,-718.127014,
03/30/1991,307.600006,42.099998,40.700001,223.0,,,223.0,1.8,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/29/1991,-106.599998,40.599998,41.599998,-146.100006,,,-146.100006,-42.700001,,,-42.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/28/1991,185.199997,32.0,42.5,103.599998,,,103.599998,7.1,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/1991,-163.003998,23.718,36.784,-202.884995,,,-202.884995,-20.621,,,-20.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,-163.003998,
03/28/1992,72.199997,34.799999,41.900002,110.300003,,,110.300003,-114.800003,,,-114.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/27/1992,187.800003,47.700001,42.200001,31.200001,,,31.200001,66.699997,,,66.699997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
