Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Derivative & Hedging Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Operating Leases,Other LT Liabilities,Pension Liabilities,Deferred Tax Liabilities,Derivatives & Hedging,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2020,22001,768,768,0,2674,2674,0,651,1556,335,147,1074,0,319,319,5968,2503,4577,-2074,1664,1664,11866,10662,9648,1014,454,0,473,277,16033,,3748,1776,1972,218,0,218,485,0,0,4451,11737,11029,708,708,2787,456,1161,0,1170,14524,18975,,0,,2697,2697,329,3026,22001,
06/30/2020,24176,2704,2704,0,2665,2665,0,761,1639,242,157,1240,0,284,284,8053,2494,4628,-2134,1697,1697,11932,10759,9735,1024,419,0,521,233,16123,,4011,1765,2246,301,0,301,477,0,0,4789,12416,11728,688,688,2605,462,445,0,1698,15021,19810,5307.0,0,191.0,-1470,4028,338,4366,24176,
