Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,4256.931152,217.049995,89.878998,127.170998,555.95697,,,,484.506989,,,,,,,,,,1257.514038,0.0,0.0,0.0,2917.586914,81.830002,,,,,,,81.830002,2999.416916,,138.710999,138.710999,,,,1847.379028,,,,,,-6.1e-05,,,-6.1e-05,1986.089966,1833.779053,,,,,120.026001,,,,,120.026001,1953.805054,3939.89502,0.0,,,,,,317.036011,317.036011,0.0,317.036011,4256.93103,
06/30/1990,4203.138184,228.725002,58.658001,170.067001,584.416016,,,,498.897003,,,,,,,,,,1312.037964,0.0,0.0,0.0,2804.697998,86.402,,,,,,,86.402,2891.099998,,151.822998,151.822998,,,,1874.831055,,,,,,0.0,,,0.0,2026.654053,1747.838013,,,,,119.855003,,,,,119.855003,1867.693016,3894.347069,0.0,,,,,,308.790985,308.790985,0.0,308.790985,4203.138054,
09/30/1990,4180.167969,366.592003,50.790001,315.802002,448.450012,,,,498.703003,,,,,,,,,,1313.744995,0.0,0.0,0.0,2778.990967,87.431999,,,,,,,87.431999,2866.422966,,163.585007,163.585007,,,,1866.368042,,,,,,-4.6e-05,,,-4.6e-05,2029.953003,1718.220947,,,,,119.099998,,,,,119.099998,1837.320946,3867.273949,0.0,,,,,,312.894012,312.894012,0.0,312.894012,4180.167961,
12/31/1990,3992.900879,379.411007,55.827999,323.583008,388.02301,,,,431.498993,,,,,33.659,,,,,1232.592041,0.0,0.0,0.0,2750.699951,9.609,,,,,,,9.609,2760.308951,,39.625999,39.625999,,,,1753.884033,,,,,,76.037941,,,76.037941,1869.547974,1681.86499,,,,,125.405998,,,,,125.405998,1807.270988,3676.818962,0.0,11.658,,,0.0,,304.424011,316.082011,0.0,316.082011,3992.900973,
03/31/1991,3851.436035,467.151989,54.898998,412.252991,331.888,,,,401.192993,,,,,,,,,,1200.233032,0.0,0.0,0.0,2542.537109,108.666,,,,,,,108.666,2651.20311,,96.771004,96.771004,,,,1670.327026,,,,,,-8e-06,,,-8e-06,1767.098022,1642.876953,,,,,125.744003,,,,,125.744003,1768.620956,3535.718979,0.0,,,,0.0,,315.71701,315.71701,0.0,315.71701,3851.435989,
06/30/1991,3749.362061,465.808998,73.545998,392.263,354.270996,,,,394.078003,,,,,,,,,,1214.157959,0.0,0.0,0.0,2410.544922,124.658997,,,,,,,124.658997,2535.203918,,115.870003,115.870003,,,,1576.125977,,,,,,-8e-06,,,-8e-06,1691.995972,1608.994995,,,,,125.18,,,,,125.18,1734.174995,3426.170967,0.0,,,,0.0,,323.19101,323.19101,0.0,323.19101,3749.361977,
09/30/1991,3752.871094,656.799026,70.419998,586.379028,341.018005,,,,415.811005,,,,,,,,,,1413.628052,0.0,0.0,0.0,2221.854004,117.389,,,,,,,117.389,2339.243004,,121.859001,121.859001,,,,1620.696045,,,,,,8e-06,,,8e-06,1742.555054,1545.807007,,,,,130.440002,,,,,130.440002,1676.247009,3418.802063,0.0,,,,0.0,,334.069,334.069,0.0,334.069,3752.871063,
12/31/1991,3634.842041,548.878998,66.328003,482.550995,336.641998,,,,375.712006,,,,,44.874001,,,,,1306.107056,0.0,0.0,0.0,2313.694092,15.041,,,,,,,15.041,2328.735092,,48.907001,48.907001,,,,1573.474976,,,,,,63.58897,,,63.58897,1685.970947,1465.052979,,,,,126.969002,,,,,126.969002,1592.02198,3277.992928,0.0,14.631,,,0.0,,342.217987,356.848987,0.0,356.848987,3634.841914,
03/31/1992,3898.925049,1030.471973,16.187,1014.284973,349.213989,,,,405.876007,,,,,0.0,,,,,1785.562012,0.0,0.0,0.0,1987.073975,126.289001,,,,,,,126.289001,2113.362976,,106.251999,106.251999,,,,1871.948975,,,,,,7.6e-05,,,7.6e-05,1978.20105,1367.515991,,,,,129.141998,,,,,129.141998,1496.65799,3474.859039,0.0,,,,0.0,,424.06601,424.06601,0.0,424.06601,3898.925049,
06/30/1992,3811.272949,1188.579018,24.236,1164.343018,267.579987,,,,432.645996,,,,,0.0,,,,,1888.805054,0.0,0.0,0.0,1795.81897,126.649002,,,,,,,126.649002,1922.467972,,113.728996,113.728996,,,,1894.534058,,,,,,-0.000114,,,-0.000114,2008.262939,1235.121948,,,,,129.414993,,,,,129.414993,1364.536942,3372.799881,0.0,,,,0.0,,438.472992,438.472992,0.0,438.472992,3811.272873,
