Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/29/1989,443.140991,60.280998,60.280998,,31.907,,,157.694,,,,,28.990999,,,,,278.872986,140.300995,198.067993,-57.766998,10.214,,13.753,,,,13.753,164.267995,,119.019997,119.019997,,,,0.332,,,,,33.109002,,,33.109002,152.460999,32.150002,,,,23.513,,,,,,23.513,55.663002,208.124001,,32.073002,,,,,202.944,235.017002,,235.017002,443.141003,
07/29/1989,461.147003,63.421001,63.421001,,32.139999,,,169.013,,,,,30.218,,,,,294.791992,142.740997,205.214005,-62.473,9.868,,13.746,,,,13.746,166.354998,,120.095001,120.095001,,,,0.332,,,,,38.002991,,,38.002991,158.429993,32.144001,,,,24.513,,,,,,24.513,56.657001,215.086994,,32.285999,,,,,213.774002,246.060001,,246.060001,461.146996,
10/28/1989,454.259003,46.873001,46.873001,,31.172001,,,169.468002,,,,,33.998001,,,,,281.510986,146.917999,214.255997,-67.337997,9.722,,16.108,,,,16.108,172.747999,,103.426003,103.426003,,,,0.032,,,,,41.286001,,,41.286001,144.744003,32.137001,,,,25.013,,,,,,25.013,57.150002,201.894005,,33.051998,,,,,219.313004,252.365002,,252.365002,454.259007,
02/03/1990,466.378998,73.584999,73.584999,,30.476,,,138.880005,,,,,37.223999,,,,,280.165009,154.955994,226.328995,-71.373001,8.904,,22.354,,,,22.354,186.213994,,97.693001,97.693001,,,,0.048,,,,,48.419003,,,48.419003,146.160004,32.112,,,,25.652,,,,,,25.652,57.764,203.924004,,30.518,,,0.0,,231.936996,262.454996,,262.454996,466.379,
05/05/1990,468.410004,63.283001,63.283001,,27.933001,,,148.298996,,,,,34.348,,,,,273.863007,161.214996,237.740997,-76.526001,7.915,,25.417,,,,25.417,194.546996,,99.372002,99.372002,,,,0.027,,,,,42.427002,,,42.427002,141.826004,31.754,,,,26.166,,,,,,26.166,57.92,199.746004,,31.716999,,,,,236.947006,268.664005,,268.664005,468.410009,
08/04/1990,500.428986,62.306,62.306,,27.867001,,,166.910995,,,,,34.632999,,,,,291.71701,168.393005,250.912994,-82.519997,7.822,,32.497002,,,,32.497002,208.712007,,120.207001,120.207001,,,,0.532,,,,,43.246992,,,43.246992,163.985992,31.781,,,,26.566,,,,,,26.566,58.347,222.332993,,31.726999,,,,,246.369003,278.096003,,278.096003,500.428995,
11/03/1990,523.710022,45.007999,45.007999,,28.535999,,,185.354996,,,,,39.409,,,,,298.308014,186.130997,274.708008,-88.577003,8.379,,30.892,,,,30.892,225.401997,,127.305,127.305,,,,0.465,,,,,46.976002,,,46.976002,174.746002,36.026001,,,,27.066,,,,,,27.066,63.092001,237.838003,,32.013,,,,,253.858994,285.871994,,285.871994,523.709997,
02/02/1991,525.333984,74.247002,74.247002,,28.153,,,155.059998,,,,,40.410999,,,,,297.871002,181.440002,273.432007,-91.991997,8.863,,37.16,,,,37.16,227.463002,,109.732002,109.732002,,,,0.518,,,,,50.563002,,,50.563002,160.813004,35.875999,,,,29.445999,,,,,,29.445999,65.321998,226.135002,,31.492001,,,0.0,,267.707001,299.199002,,299.199002,525.334004,
05/04/1991,551.401978,72.033997,72.033997,,35.768002,,,169.916,,,,,43.862999,,,,,321.580994,184.649994,283.446991,-98.796997,9.31,,35.861,,,,35.861,229.820994,,121.656998,121.656998,,,,0.522,,,,,54.709003,,,54.709003,176.888,35.735001,,,,30.018999,,,,,,30.018999,65.754,242.642,,34.363998,,,,,274.395996,308.759995,,308.759995,551.401995,
08/03/1991,622.52301,94.601997,94.601997,,35.158001,,,208.843994,,,,,44.071999,,,,,382.675995,189.794006,295.503998,-105.709999,11.412,,38.640999,,,,38.640999,239.847005,,173.287003,173.287003,,,,0.525,,,,,57.439005,,,57.439005,231.251007,35.602001,,,,30.518999,,,,,,30.518999,66.121,297.372007,,35.110001,,,,,290.040985,325.150986,,325.150986,622.522993,
