Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,381.418976,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.128998,,,51.128998,51.128998,,12.599999,4.06,4.06,,12.599999,4.06,4.06,4.06,
04/01/1990,340.966003,,,-187.595001,,153.371002,,-94.785004,,,,,58.585999,6.384,,4.112,,,,-10.496,64.969999,-25.950001,39.02,0.0,,,39.019998,0.0,39.02,0.0,,39.02,39.02,,12.344,3.16,3.16,,12.344,3.16,3.16,3.16,
07/01/1990,379.550995,,,-191.059998,,188.490997,,-97.029999,,,,,91.460999,1.786,,4.469,,,,-6.255,93.246999,-37.299999,55.946999,0.0,,,55.947,0.0,55.946999,0.0,,55.946999,55.946999,,12.147,4.6,4.6,,12.147,4.6,4.6,4.6,
09/30/1990,348.723999,,,-192.563004,,156.160995,,-93.528999,,,,,62.632,-0.01,,4.634,,,,-4.624,62.622,-25.1,37.521999,0.0,,,37.522,0.0,37.521999,0.0,,37.521999,37.521999,,11.96,3.14,3.14,,11.96,3.14,3.14,3.14,
12/30/1990,369.398987,,,-207.356003,,162.042984,,-92.954002,,,,,69.088997,1.498,,3.438,,,,-4.936,70.586997,-28.5,42.087002,0.0,,,42.086997,0.0,42.087002,0.0,,42.087002,42.087002,,11.855493,3.55,3.55,3.55,11.855493,3.55,3.55,3.55,
03/31/1991,317.131989,,,-195.929001,,121.202988,,-101.287003,,,,,19.916,1.18,,3.583,,,,-4.763,21.096,-8.552,12.544,47.896999,,,-35.352999,0.0,-35.353001,0.0,,-35.353001,-35.353001,,11.878,-2.98,1.05,,11.878,-2.98,1.05,1.05,
06/30/1991,356.617004,,,-192.837006,,163.779999,,-106.628998,,,,,57.151001,0.962,,3.548,,,,-4.51,58.113001,-24.086,34.027,0.0,,,34.027001,0.0,34.027,0.0,,34.027,34.027,,11.879,2.86,2.86,,11.879,2.86,2.86,2.86,
09/29/1991,339.959015,,,-187.320007,,152.639008,,-103.971001,,,,,48.667999,-0.88,,3.374,,,,-2.494,47.787999,-22.607,25.181,0.0,,,25.180999,0.0,25.181,0.0,,25.181,25.181,,11.877,2.12,2.12,,11.877,2.12,2.12,2.12,
12/29/1991,366.553009,,,-199.850006,,166.703003,,-99.571999,,,,,67.130997,-3.907,,7.254,,,,-3.347,63.223997,-16.254999,46.969002,0.0,,,46.968998,0.0,46.969002,0.0,,46.969002,46.969002,,11.877,3.96,3.96,3.96,11.877,3.96,3.96,3.96,
03/29/1992,329.071014,,,-187.115005,,141.956009,,-104.162003,,,,,37.793999,-3.264,,1.535,,,,1.729,34.529999,-14.85,19.68,0.0,,,19.679998,0.0,19.68,0.0,,19.68,19.68,,11.835,1.66,1.66,,11.835,1.66,1.66,1.66,
