Date,Level 1 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,7.0,7.0,,79.0,,79,0.746269,0.746269,0.069867,0.069867,
06/30/2008,5.0,5.0,,34.0,,34,0.516529,0.516529,0.050005,0.050005,
09/30/2008,5.0,5.0,,42.0,,42,0.622665,0.622665,0.051372,0.051372,
12/31/2008,,,3218.0,857.0,,4075,,,,,
03/31/2009,,,,125.0,,125,,,,,
06/30/2009,,,,90.0,,90,,,,,
09/30/2009,,,,5962.0,,5962,,,,,
12/31/2009,,,4964.0,1486.0,,6450,,,,,
03/31/2010,,,5028.0,1548.0,0.0,6576,,,,,
06/30/2010,,,4556.0,1420.0,0.0,5976,,,,,
09/30/2010,,,4863.0,1370.0,,6233,,,,,
12/31/2010,,,5118.0,1405.0,,6523,,,,,
03/31/2011,,,6183.0,1291.0,,7474,,,,,
06/30/2011,,,6680.0,1626.0,,8306,,,,,
09/30/2011,,,6556.0,1234.0,,7790,,,,,
12/31/2011,,,7587.0,1160.0,,8747,,,,,
03/31/2012,,,8054.0,1270.0,,9324,,,,,
06/30/2012,,,7926.0,1034.0,,8960,,,,,
09/30/2012,,,8508.0,933.0,,9441,,,,,
12/31/2012,,,8629.0,902.0,,9531,,,,,
03/31/2013,,,8637.0,682.0,,9319,,,,,
06/30/2013,,,8395.0,665.0,,9060,,,,,
09/30/2013,,,8520.0,695.0,,9215,,,,,
12/31/2013,,,8306.0,733.0,,9039,,,,,
03/31/2014,,,8328.0,806.0,,9134,,,,,
06/30/2014,,,8316.0,874.0,,9190,,,,,
09/30/2014,,,8094.0,896.0,,8990,,,,,
12/31/2014,,,11074.0,1075.0,,12149,,,,,
03/31/2015,,,11655.0,206.0,,11861,,,,,
06/30/2015,,,10906.0,209.0,,11115,,,,,
09/30/2015,,,10747.0,204.0,,10951,,,,,
12/31/2015,,,10868.0,199.0,,11067,,,,,
03/31/2016,,,11727.0,199.0,,11926,,,,,
06/30/2016,,,10846.0,187.0,,11033,,,,,
09/30/2016,,,11075.0,187.0,,11262,,,,,
03/31/2017,,,10983.0,183.0,,11166,,,,,
06/30/2017,,,11058.0,181.0,,11239,,,,,
09/30/2017,,,10676.0,179.0,,10855,,,,,
03/31/2018,,,,10435.0,,10435,,,,,
06/30/2018,,,,10413.0,,10413,,,,,
09/30/2018,,,,10538.0,,10538,,,,,
03/31/2019,,,10503.0,,,10503,,,,,
06/30/2019,,,10583.0,,,10583,,,,,
09/30/2019,,,11225.0,,,11225,,,,,
03/31/2020,,,,10192.0,,10192,,,,,
06/30/2020,,,11271.0,,,11271,,,,,
