Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,445.899994,-375.200012,70.699982,-42.5,28.200001,-25.0,2.8,16.200001,22.200001,-9.3,12.9,0.0,,12.9,-2.0,10.9,,,10.900001,,0.12,0.12,88.5,0.12,0.12,0.12,88.5,
06/30/1990,457.200012,-382.100006,75.100006,-37.900002,37.200001,-16.9,-18.0,-53.099998,-50.799997,-4.3,-55.099998,-30.0,,-85.099998,-2.0,-87.099998,,,-57.099998,,-0.64,-0.98,88.5,-0.64,-0.64,-0.98,88.5,
09/30/1990,418.100006,-378.299988,39.800018,-36.400002,3.4,-16.200001,-6.8,11.1,-8.5,4.0,-4.5,-4.3,,-8.8,-2.0,-10.8,,,-6.5,,-0.07,-0.12,88.5,-0.07,-0.07,-0.12,88.5,
12/31/1990,414.0,-365.0,49.0,-40.900002,8.1,-1.3,-3.6,-18.799999,-15.599999,7.1,-8.5,0.0,,-8.5,-2.1,-10.6,,,-10.599999,-0.12,-0.12,-0.12,88.4785,-0.12,-0.12,-0.12,88.4785,
03/31/1991,410.5,-371.799988,38.700012,-37.799999,0.9,-13.4,-4.9,-21.299999,-38.699999,-0.9,-39.599998,0.0,0.0,-39.599998,-2.0,-41.599998,,,-41.599999,,-0.47,-0.47,88.5,-0.47,-0.47,-0.47,88.5,
06/30/1991,388.700012,-348.799988,39.900024,-38.5,1.4,-15.9,-17.0,0.7,-30.8,2.3,-28.5,0.0,0.0,-28.5,-2.0,-30.5,,,-30.5,,-0.35,-0.35,88.5,-0.35,-0.35,-0.35,88.5,
09/30/1991,387.600006,-336.899994,50.700012,-35.099998,15.6,-13.2,-0.1,-28.6,-26.3,-0.6,-26.9,0.0,0.0,-26.9,-2.0,-28.9,,,-28.9,,-0.33,-0.33,88.5,-0.33,-0.33,-0.33,88.5,
12/31/1991,408.5,-354.899994,53.600006,-31.1,22.5,-13.0,11.2,-261.299988,-240.599988,-0.9,-241.5,0.0,0.0,-241.5,-2.1,-243.6,,,-243.599988,-2.74,-2.74,-2.74,88.487503,-2.74,-2.74,-2.74,88.487503,
03/31/1992,269.0,-236.399994,32.600006,-32.5,0.1,-12.5,,-17.9,-30.3,-0.2,-30.5,0.0,0.0,-30.5,-2.0,-32.5,,,-32.5,,-0.37,-0.37,88.5,-0.37,-0.37,-0.37,88.5,
06/30/1992,443.200012,-394.299988,48.900024,-42.0,6.9,-11.7,,-7.4,-12.2,14.7,2.5,0.0,0.0,2.5,-2.0,0.5,,,0.5,,0.01,0.01,99.900002,0.01,0.01,0.01,99.900002,
09/30/1992,497.0,-454.299988,42.700012,-33.700001,9.0,-11.7,,-28.200001,-30.900001,1.9,-29.0,3.8,0.0,-25.200001,-2.0,-27.200001,,,-31.000001,,-0.3,-0.26,103.400002,-0.3,-0.3,-0.26,103.400002,
12/31/1992,464.0,-424.799988,39.200012,-27.4,11.8,-8.7,,-418.0,-414.9,46.599998,-368.299988,-8.4,0.0,-376.700012,-4.3,-381.000012,,,-372.600002,-3.6,-3.6,-3.68,103.499992,-3.6,-3.6,-3.68,103.499992,
03/31/1993,426.600006,-387.200012,39.399994,-31.5,7.9,-10.8,,-25.1,-28.0,6.9,-21.1,-308.399994,0.0,-329.5,-4.5,-334.0,,,-25.6,,-0.24,-3.22,103.599998,-0.24,-0.24,-3.22,103.599998,
06/30/1993,454.100006,-405.600006,48.5,-31.5,17.0,-10.6,,-10.0,-3.6,2.2,-1.4,10.1,0.0,8.7,-4.4,4.3,,,-5.8,,-0.06,0.04,104.199997,-0.06,-0.06,0.04,104.199997,
09/30/1993,419.799988,-385.0,34.799988,-30.0,4.8,-11.0,,-180.199997,-186.399997,-1.6,-188.0,-35.0,0.0,-223.0,-4.5,-227.5,,,-192.499997,,-1.85,-2.19,103.900002,-1.85,-1.85,-2.19,103.900002,
12/31/1993,363.5,-341.700012,21.799988,-32.0,-10.2,-10.3,,-25.0,-45.5,-0.2,-45.700001,-52.299999,0.0,-98.0,-4.4,-102.4,,,-50.1,-0.49,-0.49,-0.99,103.900002,-0.49,-0.49,-0.99,103.900002,
03/31/1994,379.600006,-346.700012,32.899994,-23.799999,9.1,-8.9,0.0,-27.4,-27.199999,-0.2,-27.4,0.2,0.0,-27.200001,-4.5,-31.700001,,,-31.899999,,-0.3,-0.3,104.099998,-0.3,-0.3,-0.3,104.099998,
06/30/1994,354.899994,-316.299988,38.600006,-24.6,14.0,-8.4,0.0,29.5,35.1,29.799999,64.900002,5.0,0.0,69.900002,-4.4,65.500001,,,60.5,,0.58,0.63,104.599998,0.58,0.58,0.63,104.599998,
09/30/1994,368.0,-316.5,51.5,-22.799999,28.700001,-8.2,0.0,2.7,23.200001,-0.4,22.799999,2.6,0.0,25.4,-4.5,20.9,,,18.300001,,0.18,0.2,104.900002,0.18,0.18,0.2,104.900002,
12/31/1994,335.100006,-287.5,47.600006,-25.200001,22.4,-8.3,0.0,-8.1,5.999999,-0.5,5.5,4.1,0.0,9.6,-4.4,5.2,,,1.099999,,0.01,0.05,105.099998,0.01,0.01,0.05,105.099998,
03/31/1995,368.399994,-327.700012,40.699982,-24.200001,16.5,-7.5,0.0,-7.9,1.1,-0.2,0.9,1.5,0.0,2.4,-4.5,-2.1,,,-3.6,,-0.03,-0.02,105.599998,-0.03,-0.03,-0.02,105.599998,
06/30/1995,390.600006,-342.0,48.600006,-22.799999,25.799999,-8.5,0.0,16.4,33.699999,-0.6,33.099998,2.8,0.0,35.900002,-4.4,31.500001,,,28.699999,,0.27,0.3,106.199997,0.27,0.27,0.28,106.199997,
09/30/1995,404.100006,-364.100006,40.0,-23.200001,16.799999,-8.7,0.0,-9.3,-1.200001,-0.9,-2.1,2.0,0.0,-0.1,-4.5,-4.6,,,-6.600001,,-0.06,-0.04,106.099998,-0.06,-0.06,-0.04,106.099998,
12/31/1995,396.799988,-358.899994,37.899994,-28.0,9.9,-8.2,0.0,-9.8,-8.1,-0.3,-8.4,0.0,0.0,-8.4,-4.5,-12.9,,,-12.9,-0.12,-0.12,-0.12,106.099998,-0.12,-0.12,-0.12,106.099998,
03/31/1996,430.399994,-392.899994,37.5,-22.4,15.1,-9.2,0.0,1.4,7.300001,-0.4,6.9,0.0,0.0,6.9,-4.5,2.4,,,2.400001,-0.08,0.02,0.02,106.400002,-0.08,0.02,0.02,106.400002,
06/30/1996,450.799988,-415.600006,35.199982,-23.0,12.2,-9.3,0.0,-6.7,-3.8,-0.2,-4.0,0.0,0.0,-4.0,-4.4,-8.4,,,-8.4,-0.08,-0.08,-0.08,106.699997,-0.08,-0.08,-0.08,106.699997,
09/30/1996,429.200012,-381.200012,48.0,-23.799999,24.200001,-9.0,0.0,-5.0,10.200001,-0.3,9.9,6.5,0.0,16.4,-4.5,11.9,,,5.400001,0.06,0.06,0.11,106.599998,0.06,0.06,0.11,106.599998,
12/31/1996,413.600006,-360.0,53.600006,-21.6,32.0,-8.8,0.0,-9.5,13.7,-0.5,13.2,0.0,0.0,13.2,-4.5,8.7,,,8.7,0.08,0.08,0.08,106.599998,0.08,0.08,0.08,106.599998,
03/31/1997,441.299988,-397.5,43.799988,-24.6,19.200001,-8.7,0.0,-0.9,9.600001,-0.2,9.4,0.0,0.0,9.4,-4.5,4.9,,,4.900001,0.05,0.05,0.05,106.699997,0.05,0.05,0.05,106.699997,
06/30/1997,490.299988,-436.100006,54.199982,-26.200001,28.0,-8.5,0.0,1.8,21.3,-1.1,20.200001,1.3,0.0,21.5,-4.4,17.1,,,15.8,0.15,0.15,0.16,107.099998,0.15,0.15,0.16,125.400002,
09/30/1997,461.299988,-402.899994,58.399994,-24.4,34.0,-9.5,0.0,5.7,30.2,-0.5,29.700001,-3.0,0.0,26.700001,-4.5,22.200001,-4.0,,21.2,0.2,0.24,0.21,107.0,0.19,0.22,0.2,125.400002,
12/31/1997,436.399994,-387.399994,49.0,-24.799999,24.200001,-8.8,0.0,2.9,18.300001,-0.5,17.799999,1.4,0.0,19.200001,-4.5,14.700001,,,13.300001,0.13,0.13,0.14,107.099998,0.13,0.13,0.14,107.099998,
03/31/1998,447.700012,-404.399994,43.300018,-22.0,21.299999,-7.6,0.0,8.4,22.099999,-1.8,20.299999,237.5,0.0,257.799988,-4.5,253.299988,,,15.799999,0.15,0.15,2.36,107.400002,0.15,0.15,2.04,125.699997,
06/30/1998,450.100006,-396.100006,54.0,-22.200001,31.799999,-7.1,0.0,8.5,33.199999,-2.1,31.1,0.0,0.0,31.1,-4.4,26.7,,,26.699999,0.25,0.25,0.25,107.900002,0.23,0.23,0.23,126.400002,
09/30/1998,415.399994,-360.600006,54.799988,-24.5,30.299999,-7.0,0.0,8.9,32.199999,-1.5,30.700001,0.0,0.0,30.700001,-4.5,26.200001,-8.2,,17.999999,0.18,0.24,0.24,107.900002,0.17,0.23,0.23,126.300003,
12/31/1998,393.299988,-342.0,51.299988,-27.1,24.200001,-7.2,0.0,10.9,27.900001,-0.4,27.5,0.0,0.0,27.5,-4.5,23.0,,,23.000001,0.17,0.21,0.21,107.900002,0.16,0.2,0.2,126.300003,
03/31/1999,407.899994,-353.700012,54.199982,-25.9,28.299999,-5.8,0.0,7.1,29.599999,-4.4,25.200001,-2.8,0.0,22.4,-4.5,17.9,-2.5,0.0,18.199999,0.17,0.19,0.17,108.400002,0.16,0.18,0.16,126.800003,
06/30/1999,468.200012,-403.299988,64.900024,-28.0,36.900002,-5.5,0.0,8.0,39.400002,-5.6,33.799805,7.5,0.0,41.299999,-4.4,36.899999,,,29.400002,0.27,0.27,0.34,108.599998,0.25,0.25,0.31,127.199997,
