Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,239.399979,,,,,,,,,,,,,,,,,,,,,,,,,,,20.399998,,,20.399998,20.399998,,66.099998,0.31,0.31,,66.099998,0.31,0.31,0.31,
03/31/1990,227.705994,,-120.505997,,107.199997,,-57.762001,,,49.438,-7.449999,,19.205999,,-1.114,,-10.642,41.988001,-17.023001,,,24.965,0.0,,,24.965,-0.252,24.712999,-0.108,,24.604999,24.604999,,66.079002,0.37,0.37,,66.079002,0.37,0.37,0.37,
06/30/1990,230.602005,,-125.060997,,105.541008,,-43.757,,,61.784,0.535999,,24.583,,-1.482,,-23.636999,62.319999,-21.187,,,41.132999,0.0,,,41.132999,-0.345,40.787998,-0.108,,40.679998,40.679998,,66.100998,0.62,0.62,,66.100998,0.62,0.62,0.62,
09/30/1990,221.029007,,-130.365997,,90.66301,,-49.900002,,,40.763,-8.880001,,26.988001,,-1.222,,-16.886,31.882999,-14.066,,,17.816999,1.142,,,16.674999,-0.274,16.400999,-0.107,,16.293999,16.293999,,66.101997,0.25,0.27,,66.101997,0.25,0.27,0.27,
12/31/1990,227.251999,,-136.699997,,90.552002,,-55.064999,,,35.487,-16.830999,,30.462999,,-1.151,,-12.481,18.656001,-7.802,,,10.854,-0.059,,,10.913001,-0.392,10.521,-0.392,,10.129,10.129,,64.199501,0.16,0.16,0.16,64.199501,0.16,0.16,0.16,
03/31/1991,225.046997,,-143.953995,,81.093002,,-50.993999,,,30.099001,-64.731002,,30.632,,-3.141,,37.240002,-34.632001,-4.52,,,-39.152,-5.833,,,-33.319,-0.215,-33.534,0.0,,-33.534,-33.534,,64.134003,-0.52,-0.61,,64.134003,-0.52,-0.61,-0.61,
06/30/1991,217.246994,,-141.306,,75.940994,,-47.919998,,,28.021,-3.694,,18.264999,,0.563,,-15.134,24.327,-6.499,,,17.827999,-0.878,,,18.706,-0.225,18.481001,0.0,,18.481001,18.481001,,63.957001,0.29,0.28,,63.957001,0.29,0.28,0.28,
09/30/1991,202.365005,,-142.417999,,59.947006,,-40.643002,,,19.304001,-12.913,,25.0,,-0.614,,-11.473,6.391,-1.47,,,4.921,-0.16,,,5.081,-0.311,4.77,0.0,,4.77,4.77,,61.098,0.08,0.08,,61.098,0.08,0.08,0.08,
12/31/1991,195.636002,,-138.929993,,56.706009,,-53.924,,,2.782,-17.829999,,26.514999,,1.598,,-10.283,-15.047999,8.579,,,-6.469,-0.652,,,-5.816999,-0.362,-6.179,0.0,,-6.179,-6.179,,51.505001,-0.12,-0.13,-0.13,51.505001,-0.12,-0.13,-0.13,
03/31/1992,226.091003,,-159.080002,,67.011002,,-48.882,,,18.129,-24.661999,,26.209999,,-1.246,,-0.302,-6.532999,-0.765,,,-7.298,31.804001,,,-39.102,-0.212,-39.313999,0.0,,-39.313999,-39.313999,,50.959,-0.77,-0.15,,50.959,-0.77,-0.15,-0.15,
