Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Home Equity Loans,1-4 Family Residential Loans,Student Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,Trading Account Liabilities,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,Payables Broker Dealers,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Discontinued Operations,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1997,153944,1776,,,,,,,,763.0,,0.0,,,,,,,,,,,27253,,27253,0.0,,,,,,,,152168,,0,45776,,,,,,,,,10882,,,,,,,,,,,82386,139044,817,7440,,,-2614,7977.0,1280,14900,0.0,14900,153944,
03/31/1998,738821,12033,,,,,,,,0.0,,9622.0,,,,,,,,,,,244551,-6159.0,238392,,,,,,,,0.0,717166,,214719,276781,,,,,,,,,48697,,,,,,,,,,,151900,692097,3050,12988,,,-7359,,34170,42849,3875.0,46724,738821,
06/30/1998,750758,14358,,,,,,,,0.0,,9487.0,,,,,,,,,,,230307,-6529.0,223778,,,,,,,,0.0,726913,,215982,284149,,,,,,,,,49533,,,,,,,,,,,153083,702747,2725,13114,,,-7695,,35767,43911,4100.0,48011,750758,
09/30/1998,701314,14844,,,,,,,,0.0,,9537.0,,,,,,,,,,,239110,-6604.0,232506,,,,,,,,0.0,676933,,222435,219141,,,,,,,,,49419,,,,,,,,,,,163129,654124,2313,13285,,,-8254,,35746,43090,4100.0,47190,701314,
12/31/1998,668641,13837,,,,,,,,0.0,,9492.0,,,,,,,,,,,243371,-6617.0,236754,,,,,,,,0.0,645312,,241802,178785,,,,,,,,,42193,,,,,,,,,,,158693,621473,2313,8929,,,-4789,,36255,42708,4460.0,47168,668641,
03/31/1999,690649,11699,,,,,,,,0.0,,9607.0,,,,,,,,,,,248447,-6662.0,241785,,,3880.0,3880.0,,,,,665463,,238978,198988,,,,,,,,,49130,,,,,,,,,,,154534,641630,2113,9104,,,-5388,37886.0,244,43959,5060.0,49019,690649,
06/30/1999,689600,14688,,,,,,,,0.0,,9605.0,,,,,,,,,,,255485,-6743.0,248742,,,4061.0,4061.0,,,,,661246,,244390,193608,,,,,,,,,49030,,,,,,,,,,,152277,639305,2113,9273,,,-6081,39822.0,108,45235,5060.0,50295,689600,
09/30/1999,687450,11699,,,,,,,,0.0,,9635.0,,,,,,,,,,,258407,-6706.0,251701,,,4272.0,4272.0,,,,,661844,,247714,203055,,,,,,,,,48542,,,,,,,,,,,136402,635713,2050,9419,,,-6686,41745.0,149,46677,5060.0,51737,687450,
12/31/1999,795584,15978,,,,0.0,,,,0.0,,9705.0,,,,,,,,,,,337120,-8853.0,328267,,,8170.0,8170.0,,,,0.0,761731,,261573,223541,,,,,,,,,80474,,,,,,,,,,,166786,732374,1895,15361,,,-7627,47997.0,664,58290,4920.0,63210,795584,
03/31/2000,738205,12363,112119.0,,,210143.0,,,,0.0,,9724.0,,,,,,,,,,,278361,-6657.0,271704,,,4531.0,4531.0,,,,0.0,501444,,268339,239637,,,,,,,,,52192,,,,,,,,,,,166794,726962,1775,10528,,,-8264,46881.0,-594,50326,4920.0,55246,782208,
06/30/2000,791333,12229,,,,,,,,0.0,,9812.0,,,,,,,,,,,305512,-6736.0,298776,,,7388.0,7388.0,,,,,761904,,285961,237569,,,,,,,,,51296,,,,,,,,,,,160011,734837,1775,10666,,,-8889,49318.0,-1294,51576,4920.0,56496,791333,
09/30/2000,804286,11740,,,,,,,,0.0,,10565.0,,,,,,,,,,,318165,-6679.0,311486,,,7524.0,7524.0,,,,,774457,,293251,230573,,,,,,,,,58801,,,,,,,,,,,163100,745725,1775,10902,,,-9582,51744.0,-1198,53641,4920.0,58561,804286,
12/31/2000,902210,14621,,,,,,,,0.0,,10541.0,,,,,,,,,,,392718,-8961.0,383757,,,15544.0,11972.0,,,,0.0,861504,,300586,269182,,,,,,,,,87494,,,,,,,,,,,173822,831084,1745,16558,,,-10213,58862.0,-746,66206,4920.0,71126,902210,
03/31/2001,944327,14373,,,,,,,,0.0,,10507.0,,,,,,,,,,,390869,-8957.0,381912,,,15589.0,11949.0,,,,0.0,903858,,313285,263826,,,,,,,,,118080,,,,,,,,,,,175557,870748,1747,17104,,,-10299,61660.0,-1553,68659,4920.0,73579,944327,
06/30/2001,953427,15081,,,,,,,,0.0,,10636.0,,,,,,,,,,,391864,-8917.0,382947,,,15531.0,11975.0,,,,0.0,912179,,314598,271291,,,,,,,,,121705,,,,,,,,,,,170730,878324,1763,16935,,,-10763,64460.0,-1867,70528,4575.0,75103,953427,
09/30/2001,1068249,21877,,,,,,,,0.0,,12064.0,,,,,,,,,,,449419,-9918.0,439501,,,28272.0,23327.0,,,,,1006036,,357170,305731,,,,,,,,,128276,,,,,,,,,,,191548,982725,1774,23205,,,-11170,66781.0,-2191,78399,7125.0,85524,1068249,
12/31/2001,1051450,18515,,,,,,,,0.0,,12373.0,,,,,,,,,,,427088,-10088.0,417000,,,28805.0,23861.0,,,,,991757,,374525,308684,,,,,,,,,90429,,,,,,,,,,,189440,963078,1525,23251,,,-11099,69803.0,-2233,81247,7125.0,88372,1051450,
03/31/2002,1057657,15984,,,,,,,,0.0,,12531.0,,,,,,,,,,,415809,-10520.0,405289,,,33077.0,25506.0,,,,,996065,,382389,289633,,,,,,,,,124463,,,,,,,,,,,177534,974019,1400,23915,,,-11194,73798.0,-4281,83638,0.0,83638,1057657,
06/30/2002,1083306,17686,,,,,,,,0.0,,12481.0,,,,,,,,,,,424265,-10437.0,413828,,,34448.0,25604.0,,,,,1018691,,394878,279441,,,,,,,,,121348,,,,,,,,,,,201924,997591,1400,23870,,,-12624,76924.0,-3855,85715,0.0,85715,1083306,
09/30/2002,1031568,15886,,,,,,,,0.0,,4328.0,,,,,,,,,,,425093,-10720.0,414373,,,30335.0,22559.0,,,,,981019,,390827,232654,,,,,,,,,115760,,,,,,,,,,,211561,950802,1400,16850,,,-14363,79911.0,-3032,80766,0.0,80766,1031568,
12/31/2002,1097190,17326,,,,,,,,0.0,,4356.0,,,,,,,,,,,473163,-11501.0,461662,,,35470.0,26961.0,,,,,1040038,,430895,321354,,,,,,,,,98850,,,,,,,,,,,159373,1010472,1400,17436,,,-11637,81403.0,-1884,86718,0.0,86718,1097190,
03/31/2003,1136973,19731,,,,,,,,0.0,,4361.0,,,,,,,,,,,463638,-11449.0,452189,,,34838.0,26605.0,,,,,1078043,,444106,308069,,,,,,,,,139783,,,,,,,,,,,157674,1049632,1126,17505,,,-11390,84453.0,-4353,87341,0.0,87341,1136973,
06/30/2003,1187035,21816,,,,,,,,0.0,,4431.0,,,,,,,,,,,482526,-11567.0,470959,,,34752.0,26960.0,,,,,1126036,,447984,335442,,,,,,,,,138068,,,,,,,,,,,172240,1093734,1125,17467,,,-11384,87698.0,-1605,93301,0.0,93301,1187035,
09/30/2003,1208923,24688,,,,,,,,0.0,,4511.0,,,,,,,,,,,476948,-11243.0,465705,,,35431.0,26757.0,,,,,1144293,,454242,330485,,,,,,,,,152878,,,,,,,,,,,176059,1113664,1125,17579,,,-11241,90555.0,-2759,95259,0.0,95259,1208923,
12/31/2003,1264032,21149,,,,,,,,0.0,,4577.0,,,,,,,,,,,504482,-12643.0,491839,,,41462.0,27581.0,,,,,1196844,,474015,369394,,,,,,,,,139725,,,,,,,,,,,182884,1166018,1125,17586,,,-11524,93483.0,-2656,98014,0.0,98014,1264032,
03/31/2004,1317591,23104,,,,,,,,0.0,,4598.0,,,,,,,,,,,519275,-12506.0,506769,,,42502.0,28549.0,,,,,1247387,,499189,410954,,,,,,,,,178588,,,,,,,,,,,126976,1215707,1125,18462,,,-11442,96659.0,-2920,101884,0.0,101884,1317591,
06/30/2004,1396568,26462,,,,,,,,0.0,,4683.0,,,,,,,,,,,552911,-12715.0,540196,,,44740.0,30215.0,,,,,1320683,,524400,445087,,,,,,,,,189071,,,,,,,,,,,139699,1298257,1125,18574,,,-11135,95707.0,-5960,98311,0.0,98311,1396568,
09/30/2004,1436554,25483,208159.0,,,447332.0,,,,0.0,,4722.0,,,,,,,,,,,558672,-12034.0,546638,0.0,,47001.0,30809.0,,,,,912016,,534451,459424,,,,,,,,,198713,,,,,,,,,,,140600,1333188,1125,18740,,,-10814,98930.0,-4615,103366,0.0,103366,1436554,
12/31/2004,1484101,23556,,,,,,,,0.0,,0.0,,,,,,,,,,,588102,-11269.0,576833,0.0,,43114.0,31992.0,,,,,1417431,,562081,488649,,,,,,,,,171278,,,,,,,,,,,152802,1374810,1125,18906,,,-10644,102154.0,-2250,109291,0.0,109291,1484101,
03/31/2005,1489891,25620,,,,,,,,0.0,,818.0,,,,,,,,,,,588406,-10894.0,577512,0.0,,47648.0,32076.0,,,,,1415805,,568874,452902,,,,,,,,,207935,,,,,,,,,,,201801,1431512,1125,19939,,,-10475,105269.0,-5322,110536,0.0,110536,1542048,
06/30/2005,1547789,28942,,,,,,,,0.0,,808.0,,,,,,,,,,,599914,-10418.0,589496,0.0,,46129.0,32235.0,,,,,1471910,,572574,503165,,,,,,,,,211346,,,,,,,,,,,205585,1492670,1125,20232,,,-12299,108026.0,-4047,113037,0.0,113037,1605707,
09/30/2005,1472793,28438,,,,,,,,0.0,,829.0,,,,,,,,,,,608427,-10015.0,598412,0.0,,46616.0,32240.0,,,,,1396910,,581113,500096,,,,,,,,,213894,,,,,,,,,,,130231,1425334,1125,20234,,,-17290,112868.0,-5100,111837,0.0,111837,1537171,
12/31/2005,1494037,23632,,,,,,,,0.0,,0.0,125203.0,,,454266.0,,,,,,,626326,-9782.0,616544,0.0,,43540.0,33130.0,,,,,1426865,,591828,540599,,,,,,,,,178324,,,,,,,,,,,70749,1381500,1125,17538,,,-21149,117555.0,-2532,112537,0.0,112537,1494037,
03/31/2006,1586201,26355,,,,,,,,0.0,,0.0,,,,,,,,,,,647876,-9505.0,638371,0.0,,43070.0,32933.0,,,,,1516776,,628157,552772,,,,,,,,,227165,,,,,,,,,,,131988,1540082,1000,17174,,,-21753,120703.0,-2706,114418,0.0,114418,1654500,
06/30/2006,1626551,24311,,,,,,,,0.0,,0.0,,,,,,,,,,,683247,-9144.0,674103,0.0,,43195.0,32910.0,,,,,1559045,,645805,555028,,,,,,,,,239557,,,,,,,,,,,137495,1577885,1000,17481,,,-23199,123497.0,-3351,115428,0.0,115428,1693313,
09/30/2006,1746248,22543,,,,,,,,0.0,,0.0,,,,,,,,,,,696352,-8979.0,687373,0.0,,43438.0,33169.0,,,,,1680267,,669278,626701,,,,,,,,,260089,,,,,,,,,,,139221,1695289,1000,17880,,,-24737,126544.0,-2822,117865,0.0,117865,1813154,
12/31/2006,1885019,26514,282817.0,,,660497.0,,,,0.0,,0.0,166620.0,,,512572.0,,,,,,44445.0,723637,-8940.0,714697,0.0,,59778.0,33415.0,,,,,1138230,,712041,644789,,,,,,,,,249975,,,,,,,,,,,157730,1764535,1000,18308,,,-25092,129267.0,-3700,119783,0.0,119783,1884318,
03/31/2007,2020966,24421,,,,,,,,0.0,,0.0,,,,21000.0,,,,,,,745320,-9510.0,735810,0.0,,44878.0,34380.0,,,,,1951667,,738521,767473,,,,,,,,,310768,,,,,,,,,,,156312,1973074,1000,17396,,,-23833,131395.0,-3875,122083,0.0,122083,2095157,
06/30/2007,2220866,30635,,,,1215222.0,,,,,,,,,,21000.0,,,,,,,804068,-10381.0,793687,0.0,,52134.0,39231.0,,,,,922875,,771761,875802,,,,,,,,,340077,,,,,,,,,,,105472,2093112,600,17780,,,-22588,134932.0,-2970,127754,0.0,127754,2220866,
09/30/2007,2358266,38226,,,,1263978.0,,,,0.0,,0.0,,,,21100.0,,,,,,,843031,-12728.0,830303,0.0,,53643.0,39949.0,,,,,1002419,,812850,945126,,,,,,,,,364526,,,,,,,,,,,222566,2345068,200,18352,,,-22329,134445.0,-3555,127113,0.0,127113,2472181,
12/31/2007,2211008,38206,274066.0,,,746477.0,,,,0.0,,0.0,186222.0,,,614071.0,,,,,,57359.0,857652,-16117.0,841535,0.0,,55360.0,41053.0,,,,,1370965,,826230,818433,,,,,,,,,326443,,,,,,,,,,,102927,2074033,0,18062,,,-21724,121769.0,-4660,113447,0.0,113447,2187480,
03/31/2008,2199848,30837,239006.0,,,731429.0,,,,,,,,,,,,,,,,,855496,-18257.0,837239,,,59851.0,43622.0,,,,,1377731,,831208,712943,,,,,,,,,424959,,,,,,,,,,,102519,2071629,19384,11186,,,-10020,115050.0,-7381,128219,,128219,2199848,
06/30/2008,2100385,44824,220169.0,,,701826.0,,,,,,,,,,,,,,,,,809282,-20777.0,788505,0.0,,57994.0,42386.0,,,,,1295741,,803642,646452,,,,,,,,,417928,,,,,,,,,,,95958,1963980,27424,16651,,,-9911,110290.0,-8049,136405,,136405,2100385,
09/30/2008,2050131,63026,225409.0,,,822395.0,,,,,,,,,,25700.0,,,,,,,716955,-24005.0,692950,0.0,,54780.0,39662.0,,,,,1109930,,780343,642093,,,,,,,,,393097,,,,,,,,,,,108536,1924069,27424,16941,,,-9642,105340.0,-14001,126062,0.0,126062,2050131,
12/31/2008,1938470,29253,184133.0,,,688697.0,,,,,,,175877.0,,,540613.0,,,,,,,716490,-29616.0,686874,0.0,,41291.0,27132.0,,,,,1179229,,774185,658850,,,,,,,,,271121,,,,,,,,,,,92684,1796840,70664,19222,,,-9582,86521.0,-25195,141630,,141630,1938470,
03/31/2009,1822578,31063,339106.0,179603.0,159503.0,478168.0,239362.0,163311.0,60760.0,,14735.0,,,,,,,,,,,,700621,-31703.0,668918,,,40022.0,26410.0,13612.0,,112388.0,0.0,152913,,762696,409830,,49688.0,,,,,301192.0,58950.0,337252,,,,337252.0,,,,,89817.0,,77056,1676651,74246,16582,57.0,16525.0,-5996,86115.0,-27013,143934,1993.0,145927,1822578,
