Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,8456,41,41,,1389,,1524,,,,,523,,,,,3477,2010,3237.0,-1227.0,285.0,2684,,,,,2684,4979,,,,,,,337,,,,,,1621,,,,1621,1958,2106,,,,,536,,,536,2642,4600,880.0,1513,,,-9,,1472,3856,,3856,8456,
06/30/1990,8465,117,117,,1394,,1510,,,,,525,,,,,3546,2006,3278.0,-1272.0,274.0,2639,,,,,2639,4919,,,,,,,304,,,,,,1541,,,,1541,1845,2238,,,,,518,,,518,2756,4601,879.0,1533,,,-77,,1529,3864,,3864,8465,
09/30/1990,8654,195,195,,1429,,1546,,,,,535,,,,,3705,2044,3367.0,-1323.0,279.0,2626,,,,,2626,4949,,,,,,,301,,,,,,1657,,,,1657,1958,2210,,,,,536,,,536,2746,4704,835.0,1578,,,-126,,1663,3950,,3950,8654,
12/31/1990,8517,40,36,4.0,1518,,1532,,,,,353,,,,,3443,2169,3526.0,-1357.0,287.0,2618,,,,,2618,5074,,541.0,541.0,,,,432,,,,,,1351,,,,1351,2324,1729,,,,,372,,,372,2101,4425,339.0,2084,,,-130,,1799,4092,,4092,8517,
03/31/1991,8702,124,124,,1553,,1561,,,,,376,,,,,3614,2178,3596.0,-1418.0,302.0,2608,,,,,2608,5088,,,,,,,480,,,,,,1847,,,,1847,2327,1870,,,,,349,,,349,2219,4546,339.0,2109,,,-133,,1841,4156,,4156,8702,
06/30/1991,8859,247,247,,1515,,1578,,,,,425,,,,,3765,2178,3615.0,-1437.0,307.0,2609,,,,,2609,5094,,,,,,,442,,,,,,1843,,,,1843,2285,2040,,,,,359,,,359,2399,4684,339.0,2131,,,-135,,1840,4175,,4175,8859,
09/30/1991,8974,245,245,,1532,,1616,,,,,426,,,,,3819,2255,3729.0,-1474.0,301.0,2599,,,,,2599,5155,,,,,,,438,,,,,,1905,,,,1905,2343,2008,,,,,337,,,337,2345,4688,339.0,2156,,,-141,,1932,4286,,4286,8974,
12/31/1991,9171,299,297,2.0,1557,,1529,,,,,276,,,,,3661,2387,3838.0,-1451.0,130.0,2993,,,,,2993,5510,,1411.0,1411.0,,,,389,,,,,,391,,,,391,2191,2246,,,,,361,,,361,2607,4798,339.0,2147,,,-281,,2168,4373,0.0,4373,9171,
03/31/1992,9386,401,401,,1649,,1652,,,,,352,,,,,4054,2467,4001.0,-1534.0,217.0,2648,,,,,2648,5332,,,,,,,774,,,,,,1847,,,,1847,2621,2350,,,,,352,,,352,2702,5323,0.0,2150,,,-243,,2156,4063,,4063,9386,
06/30/1992,9139,90,90,,1456,,1583,,,,,353,,,,,3482,2475,4001.0,-1526.0,207.0,2975,,,,,2975,5657,,,,,,,344,,,,,,1811,,,,1811,2155,2519,,,,,325,,,325,2844,4999,0.0,2169,,,-278,,2249,4140,,4140,9139,
09/30/1992,9549,150,150,,1542,,1661,,,,,359,,,,,3712,2581,4146.0,-1565.0,221.0,3035,,,,,3035,5837,,,,,,,661,,,,,,1904,,,,1904,2565,2302,,,,,337,,,337,2639,5204,0.0,2176,,,-285,,2454,4345,,4345,9549,
12/31/1992,9155,32,30,2.0,1667,,1632,,,,,258,,,,,3589,2647,4209.0,-1562.0,158.0,2761,,,,,2761,5566,,1479.0,1479.0,,,,500,,,,,,389,,,,389,2368,2433,,,,,559,,,559,2992,5360,0.0,2177,,,-29,,1647,3795,0.0,3795,9155,
03/31/1993,9644,324,324,0.0,1590,,1733,,,,,410,,,,,4057,2644,4268.0,-1624.0,151.0,2792,,,,,2792,5587,,1857.0,1857.0,,,,684,,,,,,0,,,,0,2541,2645,,,,,684,,,684,3329,5870,0.0,2182,,,-351,,1943,3774,0.0,3774,9644,
06/30/1993,9773,429,429,0.0,1586,,1743,,,,,398,,,,,4156,2635,4295.0,-1660.0,151.0,2831,,,,,2831,5617,,1706.0,1706.0,,,,881,,,,,,0,,,,0,2587,2628,,,,,710,,,710,3338,5925,0.0,2181,,,-353,,2020,3848,0.0,3848,9773,
09/30/1993,9896,478,478,,1580,,1793,,,,,410,,,,,4261,2654,4373.0,-1719.0,158.0,2823,,,,,2823,5635,,1749.0,1749.0,,,,770,,,,,,0,,,,0,2519,2800,,,,,709,,,709,3509,6028,0.0,2180,,,-365,,2053,3868,0.0,3868,9896,
12/31/1993,10545,479,479,0.0,1594,,1772,,,,,577,,,,,4422,2655,4491.0,-1836.0,180.0,3288,,,,,3288,6123,,1783.0,1783.0,,,,822,,,,,,328,,,,328,2933,2800,,,,,1627,,,1627,4427,7360,0.0,2171,,,-350,,1364,3185,0.0,3185,10545,
