Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,-737.835999,10.781,7.4,-17.51,-738.507019,,,,,,
06/30/1990,1214.823975,14.648,8.115,21.669001,1170.391968,,,,,,
09/30/1990,-362.242004,9.566,8.435,6.949,-387.191986,,,,,,
12/31/1990,1779.165039,-92.346001,9.17,73.497002,1788.843994,,,,1779.165039,,
03/31/1991,-274.859985,31.606001,9.92,26.889,-343.274994,,,,,,
06/30/1991,-1396.839966,33.778,9.56,-2.786,-1437.391968,,,,,,
09/30/1991,1118.905029,38.360001,11.082,5.831,1063.631958,,,,,,
12/31/1991,-767.236023,46.972,2.752,86.531998,-903.492004,,,,,,
03/31/1992,-1276.623047,74.324997,7.682,27.702999,-1386.333008,,,,,,
06/30/1992,-344.890991,45.756001,7.223,16.014,-413.884003,,,,,,
09/30/1992,-1294.607056,51.672001,7.963,8.442,-1362.68396,,,,,,
12/31/1992,2518.240967,41.422001,6.288,68.528,2402.00293,,,,2518.240967,,
03/31/1993,-1024.82605,70.884003,7.565,36.882,-1140.156982,,,,,,
06/30/1993,-1771.744019,59.300999,7.083,17.142,-1855.27002,,,,,,
09/30/1993,-2281.427002,59.123001,8.157,30.226999,-2378.934082,,,,,,
12/31/1993,1112.58606,56.875,8.229,-181.121994,1228.604004,,,,1112.58606,,
03/31/1994,-779.773987,55.647999,9.593,41.702999,-886.718018,,,,,,
06/30/1994,2900.333984,-25.055,10.119,-168.584,3083.854004,,,,,,
09/30/1994,1536.313965,20.337,10.266,217.682007,1288.029053,,,,,,
12/31/1994,-311.638,-19.299,10.641,-299.772003,-3.208,,,,-311.638,,
03/31/1995,386.263,34.310001,13.054,-93.727997,432.627014,,-21.757,,,,
06/30/1995,-1121.188965,-90.547997,13.911,-249.673996,-794.877991,,-34.633999,,,,
09/30/1995,-1168.787964,78.190002,14.696,97.273003,-1358.947021,,-12.842,,,,
12/31/1995,3499.230957,58.798,12.439,-277.299988,3705.293945,-12.647,-12.647,,3486.583957,,
03/31/1996,-507.247986,100.500999,15.058,21.593,-644.400024,,-11.727,,,,
06/30/1996,124.594002,92.211998,14.833,-41.888,59.437,,-13.085,,,,
09/30/1996,361.694,80.154999,15.452,-14.048,280.13501,,-12.001,,,,
12/31/1996,-508.368988,91.482002,18.773001,603.254028,-1221.878052,-14.77,-14.77,,-523.138988,,
03/31/1997,-855.815002,100.834999,17.35,-106.878998,-867.120972,,-16.290001,,,,
06/30/1997,39.692001,93.124001,17.924,71.997002,-143.352997,,-20.392,,,,
09/30/1997,19.195,112.781998,16.830999,-310.575012,200.156998,,-22.332001,,,,
12/31/1997,18.104,108.708,16.594999,319.438995,-426.638,,-31.933001,,,,
03/31/1998,-484.929993,120.735001,17.104,-127.008003,-495.760986,,-45.658001,,,,
06/30/1998,-157.188995,129.501007,18.351999,-178.514008,-126.528,,-45.174999,,,,
09/30/1998,-213.953995,82.891998,18.773001,259.891998,-575.510986,,-36.104,,,,
12/31/1998,531.202026,100.427002,20.066999,85.811996,324.895996,,-54.48,,,,
03/31/1999,-243.080994,160.598999,21.434999,-332.449005,-92.666,,-45.492001,,,,
06/30/1999,78.708,163.503998,27.771,216.173004,-328.73999,,-64.796997,,,,
09/30/1999,-241.173004,138.201996,23.829,16.719,-419.923004,,-69.442001,,,,
12/31/1999,-304.813995,166.294006,26.688,24.152002,-521.947998,,-72.455002,,,,
03/31/2000,405.553009,176.348999,30.118,-236.270996,435.356995,,-80.210999,,,,
06/30/2000,446.47699,127.505997,33.696999,-317.769989,603.044006,,-116.528999,,,,
09/30/2000,578.690002,135.768997,41.555,122.386002,278.980011,,-109.476997,,,,
