Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/27/1995,13.367,2.045,2.045,0.0,4.083,,,4.291,,,,,0.282,,,,,10.701,2.598,3.507,-0.909,0.0,,0.068,,,,0.068,2.666,,2.9,2.9,,,,0.442,,,,,,1.669,,,1.669,5.011,0.726,,,,,0.241,,,,,,0.241,0.967,5.978,12.694,0.993,,,0.0,,-6.298,7.389,0.0,7.389,13.367001,
01/26/1996,41.585999,28.641001,28.641001,0.0,4.249,,,4.827,,,,,0.483,,,,,38.200001,3.232,,,0.0,,0.154,,,,0.154,3.386,,2.79,2.79,,,,0.026,,,,,,2.673,,,2.673,5.489,0.283,,,,,0.0,,,,,,0.0,0.283,5.772,0.0,40.063,,,0.0,,-4.249,35.814,0.0,35.814,41.585999,
04/30/1996,45.449001,27.618999,24.636999,2.982,5.33,,,4.825,,,,,2.628,,,,,40.402,4.849,6.582,-1.733,0.0,,0.198,,,,0.198,5.047,,2.099,2.099,,,,0.019,,,,,,4.003,,,4.003,6.121,0.031,,,,,0.268,,,,,,0.268,0.299,6.42,0.0,40.285999,,,0.0,,-1.257,39.028999,0.0,39.028999,45.448999,
07/26/1996,50.803001,28.107999,21.757999,6.35,6.751,,,6.993,,,,,3.039,,,,,44.890999,5.704,,,0.0,,0.208,,,,0.208,5.912,,3.479,3.479,,,,0.019,,,,,,7.977,,,7.977,11.475,0.277,,,,,0.0,,,,,,0.0,0.277,11.752,0.0,40.416,,,0.0,,-1.365,39.051,0.0,39.051,50.803001,
10/25/1996,52.345001,24.094001,15.244,8.85,10.866,,,8.318,,,,,3.036,,,,,46.313999,5.841,,,0.0,,0.19,,,,0.19,6.031,,4.402,4.402,,,,0.02,,,,,,5.803,,,5.803,10.225,0.256,,,,,0.0,,,,,,0.0,0.256,10.481,0.0,40.448002,,,0.0,,1.416,41.864002,0.0,41.864002,52.345002,
01/24/1997,59.356998,27.788,20.938,6.85,12.336,,,9.585,,,,,3.298,,,,,53.007,6.148,,,0.0,,0.202,,,,0.202,6.35,,4.991,4.991,,,,0.021,,,,,,7.821,,,7.821,12.833,0.233,,,,,0.0,,,,,,0.0,0.233,13.066,0.0,41.494999,,,0.0,,4.796,46.290999,0.0,46.290999,59.356999,
04/25/1997,68.941002,28.436,21.52,6.916,13.911,,,9.92,,,,,4.353,,,,,56.619999,9.238,13.752,-4.514,0.0,,3.083,,,,3.083,12.321,,4.394,4.394,,,,0.021,,,,,,10.286,,,10.286,14.701,0.012,,,,,0.199,,,,,,0.199,0.211,14.912,0.0,54.707001,,,0.0,,-0.678,54.029001,0.0,54.029001,68.941001,
07/25/1997,76.491997,30.427999,25.577999,4.85,16.851999,,,12.719,,,,,3.856,,,,,63.855,9.618,,,0.0,,3.019,,,,3.019,12.637,,5.44,5.44,,,,0.0,,,,,,11.451001,,,11.451001,16.891001,0.19,,,,,0.0,,,,,,0.0,0.19,17.081001,0.0,55.813999,,,0.0,,3.597,59.410999,0.0,59.410999,76.492,
10/24/1997,86.598,33.77,28.52,5.25,23.113001,,,11.718,,,,,4.76,,,,,73.361,10.231,17.014,-6.783,0.0,,3.006,,,,3.006,13.237,,5.424,5.424,,,,0.0,,,,,,15.055,,,15.055,20.479,0.18,,,,,0.0,,,,,,0.0,0.18,20.659,0.0,57.457001,,,0.0,,8.482,65.939001,0.0,65.939001,86.598001,
01/23/1998,98.907997,44.551998,39.301998,5.25,26.684,,,9.045,,,,,5.113,,,,,85.393997,10.564,18.638,-8.074,0.0,,2.95,,,,2.95,13.514,,6.904,6.904,,,,0.0,,,,,,18.218,,,18.218,25.122,0.0,,,,,0.17,,,,,,0.17,0.17,25.292,0.0,59.578999,,,0.0,,14.037,73.615998,0.0,73.615998,98.907998,
04/24/1998,115.736,48.114999,37.314999,10.8,34.313,,,8.707,,,,,7.804,,,,,98.939003,12.217,21.723,-9.506,0.0,,4.58,,,,4.58,16.797,,10.024,10.024,,,,0.017,,,,,,19.267001,,,19.267001,29.308001,0.163,,,,,0.0,,,,,,0.0,0.163,29.471001,0.0,66.421997,,,0.0,,19.843,86.264997,0.0,86.264997,115.735998,
07/31/1998,126.072998,46.406,31.476,14.93,35.959999,,,9.732,3.707,2.512,3.513,,7.425,,,,,99.523003,12.661,22.292,-9.631,0.0,,13.889,,,,13.889,26.55,,7.538,7.538,,,,0.0,,,,,,18.858999,,,18.858999,26.396999,0.157,0.0,0.157,0.157,,0.0,,,,,,0.0,0.157,26.553999,0.0,72.064003,,,0.0,,27.455,99.519003,0.0,99.519003,126.073002,
10/30/1998,150.548004,57.105,48.355,8.75,44.928001,,,10.722,4.106,2.547,4.069,,8.81,,,,,121.565002,14.06,25.188,-11.128,0.0,,14.923,0.0,,,14.923,28.983001,,12.385,12.385,,,,0.0,,,,,,26.765001,,,26.765001,39.150002,0.134,0.0,0.134,0.134,,0.0,,,,,,0.0,0.134,39.284002,0.0,75.468002,,,0.0,,35.796001,111.264004,0.0,111.264004,150.548005,
01/29/1999,172.647995,68.036001,59.886002,8.15,50.735001,,,11.751,,,,,13.198,,,,,143.720001,17.204,29.938999,-12.735,0.0,,11.724,0.0,,,11.724,28.928,,8.296,8.296,,,,0.0,,,,,,28.496,,,28.496,36.792,0.116,0.0,0.116,0.116,,0.0,,,,,,0.0,0.116,36.908,0.0,90.654999,,,0.0,,45.084999,135.739998,0.0,135.739998,172.647998,
04/30/1999,346.346985,227.083997,221.283997,5.8,57.162998,,,13.581,5.316,1.727,6.538,,17.518,,,,,315.346008,19.271,33.959,-14.688,0.0,,11.73,0.0,,,11.73,31.001,,15.126,15.126,,,,0.0,,,,,,35.403999,,,35.403999,50.529999,0.093,0.0,0.093,0.093,,0.0,,,,,,0.0,0.093,50.622999,0.0,240.807007,,,0.0,,54.917,295.724007,0.0,295.724007,346.347006,
