Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,5819.301758,4061.302017,39.636002,4021.666016,230.636002,,,189.242004,,,,,22.507,,,,,4503.687012,592.882996,1219.234985,-626.35199,0.0,722.731995,,,,,722.731995,1315.61499,,101.290001,101.290001,,,,0.376,,,,,,805.990982,,,805.990982,907.656982,678.273987,,,,,3292.981934,,,,,,3292.981934,3971.25592,4878.912903,0.377,119.777,,,0,,820.234985,940.388986,0.0,940.388986,5819.301889,
06/30/1990,6011.788086,4184.488762,41.583,4142.905762,231.612,,,194.880005,,,,,22.625,,,,,4633.605957,612.461975,1255.636963,-643.174988,0.0,765.719971,,,,,765.719971,1378.181946,,91.124001,91.124001,,,,0.385,,,,,,847.900973,,,847.900973,939.409973,708.155029,,,,,3383.068115,,,,,,3383.068115,4091.223145,5030.633118,0.368,119.814003,,,0,,860.973022,981.155025,0.0,981.155025,6011.788143,
09/30/1990,6344.14209,4377.623135,61.212002,4316.411133,241.992004,,,216.455994,,,,,22.806,,,,,4858.876953,673.338989,1337.105957,-663.767029,0.0,811.926025,,,,,811.926025,1485.265015,,93.150002,93.150002,,,,0.392,,,,,,968.15502,,,968.15502,1061.697021,784.672974,,,,,3480.448975,,,,,,3480.448975,4265.121948,5326.81897,0.214,120.014999,,,0,,897.093994,1017.322994,0.0,1017.322994,6344.141963,
12/31/1990,6689.709961,4716.681084,35.747002,4680.934082,250.268005,,,217.860001,,,,,25.433001,,,,,5210.242188,677.028015,1333.832031,-656.804016,0.0,802.440002,,,,,802.440002,1479.468017,,100.331001,100.331001,,,,2.195,,,,,,1245.713989,,,1245.713989,1348.23999,683.828979,,,,,3609.821045,,,,,,3609.821045,4293.650024,5641.890014,0.214,118.723,,,0,,928.882996,1047.819996,0.0,1047.819996,6689.71001,
03/31/1991,6976.388184,4924.500992,75.813004,4848.687988,240.929993,,,223.962997,,,,,26.992001,,,,,5416.38623,691.65802,1360.875977,-669.218018,0.0,868.343994,,,,,868.343994,1560.002014,,119.870003,119.870003,,,,2.025,,,,,,1307.917985,,,1307.917985,1429.812988,739.671997,,,,,3727.3479,,,,,,3727.3479,4467.019897,5896.832886,0.213,118.765999,,,0,,960.575989,1079.554988,0.0,1079.554988,6976.387873,
06/30/1991,7197.546875,5127.393806,43.344002,5084.049805,212.313995,,,226.550995,,,,,28.546,,,,,5594.805176,705.820007,1388.703979,-682.883972,0.0,896.921997,,,,,896.921997,1602.742004,,96.394997,96.394997,,,,1.506,,,,,,1410.319951,,,1410.319951,1508.220947,736.445984,,,,,3843.188965,,,,,,3843.188965,4579.634949,6087.855896,0.21,118.917999,,,0,,990.562988,1109.690988,0.0,1109.690988,7197.546884,
09/30/1991,7583.400879,5411.850101,62.146,5349.704102,230.546005,,,234.399994,,,,,29.598,,,,,5906.394043,733.914978,1442.264038,-708.348999,0.0,943.09198,,,,,943.09198,1677.006958,,84.084999,84.084999,,,,1.534,,,,,,1571.731953,,,1571.731953,1657.350952,797.888,,,,,3961.051025,,,,,,3961.051025,4758.939026,6416.289978,0.21,119.181999,,,0,,1047.718994,1167.110993,0.0,1167.110993,7583.400971,
01/01/1992,7904.015137,5624.921093,41.299999,5583.621094,255.434006,,,253.270996,,,,,28.408001,,,,,6162.03418,766.666992,1498.11499,-731.447998,0.0,975.314026,,,,,975.314026,1741.981018,,120.017998,120.017998,,,,15.147,,,,,,1642.156047,,,1642.156047,1777.321045,810.848999,,,,,4096.332031,,,,,,4096.332031,4907.18103,6684.502075,0.2,119.181999,,,0,,1100.130981,1219.51298,0.0,1219.51298,7904.015055,
03/31/1992,8081.479004,5806.334858,45.078999,5761.255859,249.447998,,,236.910995,,,,,32.950001,,,,,6325.644043,767.903015,1512.92395,-745.020996,0.0,987.932007,,,,,987.932007,1755.835022,,97.688004,97.688004,,,,13.905,,,,,,1693.580947,,,1693.580947,1805.17395,815.825012,,,,,4204.991211,,,,,,4204.991211,5020.816223,6825.990173,0.2,119.231003,,,0,,1136.057983,1255.488986,0.0,1255.488986,8081.47916,
06/30/1992,8451.817383,5987.984241,45.910999,5942.073242,324.346008,,,259.079987,,,,,29.245001,,,,,6600.654785,821.737,1589.646973,-767.909973,0.0,1029.425049,,,,,1029.425049,1851.162048,,119.435997,119.435997,,,,14.943,,,,,,1762.548005,,,1762.548005,1896.927002,941.153015,,,,,4307.187988,,,,,,4307.187988,5248.341003,7145.268005,0.2,119.427002,,,0,,1186.921997,1306.548999,0.0,1306.548999,8451.817004,
