Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Real Estate Investments,Other Investments,Net Receivables,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1989,446.152008,38.462002,,,,,0.0,,0.0,254.410004,0.0,254.410004,10.209,,,,,,,0.0,397.481007,,219.112,51.442001,,,,,,35.544998,,,,,,,,29.681,335.779999,0.0,71.837997,,,0.0,,38.534,110.371998,0.0,110.371998,446.151997,
09/30/1989,462.708008,33.300999,,,,,0.0,,0.0,238.602005,0.0,238.602005,9.844,,,,,,,0.0,419.563009,,206.029007,70.265999,,,,,,35.445,,,,,,,,37.592999,349.333004,0.0,71.997002,,,0.0,,41.377998,113.375,0.0,113.375,462.708004,
12/31/1989,509.488007,29.413,,,,,0.0,,0.0,249.093994,0.0,249.093994,9.523,,,,,,,0.0,470.552007,,246.464005,71.338997,,,,,,35.244999,,,,,,,,40.645,393.693001,0.0,71.303001,,,0.0,,44.492001,115.795002,0.0,115.795002,509.488003,
03/31/1990,432.556,21.587,,,,,0.0,,0.0,279.877991,0.0,279.877991,9.354,,,,,,,0.0,401.615,,201.919006,48.652,,,,,,35.119999,,,,,,,,30.785,316.476006,0.0,70.502998,,,0.0,,45.577,116.079998,0.0,116.079998,432.556004,
06/30/1990,412.10199,17.861,,,,,0.0,,0.0,255.787003,0.0,255.787003,9.184,,,,,,,0.0,385.05699,,198.841995,24.844999,,,,,,35.119999,,,,,,,,34.397999,293.204992,0.0,70.719002,,,0.0,,48.178001,118.897003,0.0,118.897003,412.101995,
09/30/1990,473.872009,27.061001,,,,,0.0,,0.0,258.247009,0.0,258.247009,8.872,,,,,,,0.0,437.939009,,203.451004,75.585999,,,,,,35.119999,,,,,,,,38.105,352.262001,0.0,70.619003,,,0.0,,50.991001,121.610004,0.0,121.610004,473.872005,
12/31/1990,521.218994,38.367001,,,,,0.0,,0.0,251.522003,0.0,251.522003,9.654,,,,,,,0.0,473.197993,,265.100006,54.549,,,,,,35.119999,,,,,,,,43.159,397.928005,0.0,70.461998,,,0.0,,52.828999,123.290997,0.0,123.290997,521.219002,
03/31/1991,502.678009,31.344999,,,,,0.0,,0.0,181.888,0.0,181.888,10.071,,,,,,,0.0,461.26201,,241.503998,59.567001,,,,,,35.119999,,,,,,,,36.223,372.413998,0.0,71.186996,,,0.0,,59.077,130.263996,0.0,130.263996,502.677994,
06/30/1991,484.618011,28.496,,,,,0.0,,0.0,146.362,0.0,146.362,10.002,,,,,,,0.0,446.120011,,210.162994,72.536003,,,,,,35.02,,,,,,,,34.648998,352.367996,0.0,71.056,,,0.0,,61.194,132.25,0.0,132.25,484.617996,
09/30/1991,537.619019,36.880001,,,,,0.0,,0.0,246.220993,0.0,246.220993,9.908,,,,,,,0.0,490.831017,,231.210999,97.882004,,,,,,35.02,,,,,,,,37.02,401.133003,0.0,71.220001,,,0.0,,65.265999,136.486,0.0,136.486,537.619003,
