Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,709.499023,1.73,1.274,0.456,199.912994,,,221.951004,,,,,10.027,,,,433.621002,192.597,391.696014,-199.098999,,83.280998,,,,83.280998,275.877998,,80.681,80.681,,,,34.541,,,,,,85.149002,,,85.149002,200.371002,154.395996,,,,,67.206001,,,,67.206001,221.601997,421.973,0.0,90.449997,,,,,197.076004,287.526001,,287.526001,709.499001,
06/30/1990,721.966003,7.206,7.206,0.0,205.714996,,,223.320007,,,,,11.01,,,,447.251007,193.472,395.812012,-202.339996,,81.242996,,,,81.242996,274.714996,,80.5,80.5,,,,44.186001,,,,,,85.336002,,,85.336002,210.022003,141.016006,,,,,68.288002,,,,68.288002,209.304008,419.326012,0.0,92.347,,,,,210.292999,302.639999,,302.639999,721.966011,
09/30/1990,714.97998,5.289,5.289,0.0,204.270996,,,219.197998,,,,,11.021,,,,439.778992,193.727997,397.65799,-203.929993,,81.473,,,,81.473,275.200996,,77.397003,77.397003,,,,46.415001,,,,,,81.583,,,81.583,205.395004,133.779007,,,,,69.120003,,,,69.120003,202.89901,408.294014,0.0,81.107002,,,,,225.578995,306.685997,,306.685997,714.980011,
12/31/1990,664.810974,8.363,8.363,0.0,170.953995,,,206.475998,,,,,6.449,,,,392.242004,188.233002,388.946014,-200.712997,,84.335999,,,,84.335999,272.569001,,62.470001,62.470001,,,,38.165001,,,,,,73.822991,,,73.822991,174.457993,104.142998,,,,,69.403999,,,,69.403999,173.546997,348.00499,0.0,79.272003,,,,,237.533997,316.806,,316.806,664.81099,
03/31/1991,643.408997,3.214,3.214,0.0,174.800003,,,192.759003,,,,,6.426,,,,377.199005,182.024994,380.783997,-198.759003,,84.184998,,,,84.184998,266.209991,,67.440002,67.440002,,,,26.642,,,,,,65.06999,,,65.06999,159.151993,99.425003,,,,,91.416,,,,91.416,190.841003,349.992996,0.0,79.219002,,,,,214.197006,293.416008,,293.416008,643.409004,
06/30/1991,648.041016,3.656,3.656,0.0,189.315002,,,182.205994,,,,,9.552,,,,384.729004,180.119003,380.209015,-200.089996,,83.193001,,,,83.193001,263.312004,,73.210999,73.210999,,,,20.000999,,,,,,67.935005,,,67.935005,161.147003,97.844002,,,,,91.147003,,,,91.147003,188.991005,350.138008,0.0,81.329002,,,,,216.574005,297.903008,,297.903008,648.041016,
09/30/1991,663.770996,26.177,26.177,0.0,190.658997,,,180.889008,,,,,10.306,,,,408.031006,177.662994,379.48999,-201.826996,,78.077003,,,,78.077003,255.739998,,73.583,73.583,,,,24.132999,,,,,,68.907001,,,68.907001,166.623001,97.554001,,,,,90.933998,,,,90.933998,188.487999,355.111,0.0,81.309998,,,,,227.350006,308.660004,,308.660004,663.771004,
12/31/1991,630.237,22.580999,22.580999,0.0,166.182999,,,180.972,,,,,7.624,,,,377.359985,176.904007,382.355988,-205.451996,,75.973,,,,75.973,252.877007,,64.723999,64.723999,,,,33.672001,,,,,,71.503994,,,71.503994,169.899994,83.847,,,,,76.012001,,,,76.012001,159.859001,329.758995,0.0,65.523003,,,,,234.955002,300.478005,,300.478005,630.237,
03/31/1992,737.075012,120.504997,120.504997,0.0,172.584,,,185.494003,,,,,7.325,,,,485.90799,174.779999,382.154999,-207.375,,76.387001,,,,76.387001,251.167,,70.211998,70.211998,,,,43.014999,,,,,,69.915001,,,69.915001,183.141998,178.005997,,,,,75.845001,,,,75.845001,253.850998,436.992996,0.0,66.119003,,,,,233.962997,300.082001,,300.082001,737.074997,
06/30/1992,739.093994,112.875999,112.875999,0.0,186.037994,,,186.292007,,,,,7.846,,,,493.052002,168.996994,384.30899,-215.311996,,77.044998,,,,77.044998,246.041992,,74.772003,74.772003,,,,50.588001,,,,,,84.951992,,,84.951992,210.311996,164.190994,,,,,81.219002,,,,81.219002,245.409996,455.721992,0.0,62.097,,,,,221.274994,283.371994,,283.371994,739.093987,
09/30/1992,673.190979,57.403999,57.403999,0.0,181.651993,,,172.279999,,,,,18.892,,,,430.227997,166.559006,382.546997,-215.988007,,76.403999,,,,76.403999,242.963005,,67.612,67.612,,,,52.319,,,,,,79.272995,,,79.272995,199.203995,111.564003,,,,,80.850998,,,,80.850998,192.415001,391.618996,0.0,57.476002,,,,,224.095993,281.571995,,281.571995,673.19099,
12/31/1992,630.210999,49.104,49.104,0.0,157.701996,,,164.033005,,,,,7.814,,,,378.653015,163.184998,377.309998,-214.125,,88.373001,,,,88.373001,251.557999,,59.404999,59.404999,,,,42.254002,,,,,,72.363994,,,72.363994,174.022995,111.047997,,,,,73.788002,,,,73.788002,184.835999,358.858994,0.0,45.209999,,,,,226.141998,271.351997,,271.351997,630.210991,
03/31/1993,665.487,45.652,45.652,0.0,173.587997,,,180.091995,,,,,7.653,,,,406.984985,167.029007,378.811005,-211.781998,,91.473,,,,91.473,258.502007,,78.141998,78.141998,,,,52.506001,,,,,,74.639996,,,74.639996,205.287994,108.294998,,,,,73.879997,,,,73.879997,182.174995,387.46299,0.0,45.5,,,,,232.524002,278.024002,,278.024002,665.486992,
06/30/1993,665.176025,41.841,41.841,0.0,182.695999,,,177.934998,,,,,7.983,,,,410.454987,165.919998,381.231995,-215.311996,,88.801003,,,,88.801003,254.721001,,72.907997,72.907997,,,,49.849998,,,,,,77.661011,,,77.661011,200.419006,106.487,,,,,74.148003,,,,74.148003,180.635002,381.054008,0.0,44.688,,,,,239.434006,284.122005,,284.122005,665.176014,
