Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,77.558998,60.043999,-374.903992,17.493999,-219.807007,,,,,,,,,,,,,,,,,,,
06/30/1990,,86.932999,75.845001,249.184006,20.672001,432.634003,,,,,,,,,,,,,,,,,,,
09/30/1990,,84.339996,74.898003,52.575001,-164.990997,46.821999,,,,,,,,,,,,,,,,,,,
12/31/1990,,55.478001,125.876999,-349.322998,40.639999,-127.328003,,,,,,,,,,,,,,,,,,,
03/31/1991,,80.842003,136.190002,-199.932999,209.011002,226.110001,,,,,,,,,,,,,,,,,,,
06/30/1991,,73.622002,153.906998,-60.609001,-57.620998,109.299004,,,,,,,,,,,,,,,,,,,
09/30/1991,,75.348,187.990005,-212.671997,-506.925995,-456.26001,,,,,,,,,,,,,,,,,,,
12/31/1991,,88.925003,169.417007,-346.945007,316.515015,227.912003,,,,,,,,,,,,,,,,,227.912003,,
03/31/1992,,74.896004,190.516998,-551.348022,-0.749,-286.68399,,,,,,,,,,,,,,,,,,,
06/30/1992,,130.511002,179.046005,2057.790039,-84.906998,2282.439941,,,,,,,,,,,,,,,,,,,
09/30/1992,,162.207993,-103.199997,200.074997,-534.497009,-275.414001,,,,,,,,,,,,,,,,,,,
12/31/1992,,17.436001,400.615997,-1153.680054,175.289993,-560.338013,,,,,,,,,,,,,,,,,-560.338013,,
03/31/1993,,199.992004,149.587006,-652.276001,-1675.124023,-1977.821045,,,,,,,,,,,,,,,,,,,
06/30/1993,,226.770996,165.714996,450.634003,1099.404053,1942.524048,,,,,,,,,,,,,,,,,,,
09/30/1993,,195.414993,152.399002,343.360992,548.349976,1239.525024,,,,,,,,,,,,,,,,,,,
12/31/1993,,195.343002,113.411003,3.819,-767.921997,-455.348999,,,,,,,,,,,,,,,,,-455.348999,,
03/31/1994,,222.459,103.079002,370.954987,218.483994,914.97699,,,,,,,,,,,,,,,,,,,
06/30/1994,,229.619995,100.387001,-22.037001,234.376999,542.346985,,,,,,,,,,,,,,,,,,,
09/30/1994,,241.751999,105.796997,244.477005,-409.652008,182.373993,,,,,,,,,,,,,,,,,,,
12/31/1994,,347.13501,288.885986,716.457001,321.694,1674.171997,,,,,,,,,,,,,,,,,1674.171997,,
03/31/1995,,349.843994,169.764008,423.088013,-65.977997,876.718018,,,-106.431,,,,,,,,,,,,,,,,
06/30/1995,,364.394012,189.451004,-268.299988,-303.751007,-18.205999,,,-133.880005,,,,,,,,,,,,,,,,
09/30/1995,,381.0,202.0,392.0,74.0,1049.0,,,-117.0,,,,,,,,,,,,,,,,
12/31/1995,,335.362,204.121994,-91.157006,-370.434998,77.891998,-597.041992,,-597.041992,,,,,,,,,,,,,,-519.149994,,
03/31/1996,,274.0,214.542999,-218.931,-1547.494995,-1277.883057,,,-252.313995,,,,,,,,,,,,,,,,
06/30/1996,,470.0,229.535995,508.355988,-1388.235962,-180.343994,,,-173.470993,,,,,,,,,,,,,,,,
09/30/1996,,386.0,266.0,-25.219,8.0,634.781006,,,-254.0,,,,,,,,,,,,,,,,
12/31/1996,,494.0,406.92099,974.744019,733.731018,2609.395996,-1047.0,,-1047.0,,,,,,,,,,,,,,1562.395996,,
03/31/1997,,703.0,,,,1076.0,,,-178.0,,,,,,,,,,,,,,,,
06/30/1997,,682.0,,,,-11.0,,,-152.0,,,,,,,,,,,,,,,,
09/30/1997,,748.0,,,,-1413.0,,,-156.0,,,,,,,,,,,,,,,,
12/31/1997,,576.0,,,,3436.0,,,-648.0,,,,,,,,,,,,,,,,
03/31/1998,,790.0,382.0,3459.0,-1915.0,2716.0,-12015.0,52.0,-305.0,-14942.0,4462.0,-1320.0,38.0,12329.0,-342.0,11729.0,1647.0,-1351.0,367.0,-531.0,810.0,0.0,3030.0,,
06/30/1998,,249.0,400.0,154.0,-1799.0,-996.0,-13963.0,93.0,-192.0,-22756.0,10930.0,-2238.0,200.0,14260.0,-693.0,14984.0,2535.0,-2159.0,762.0,-2439.0,1270.0,,-699.0,,
09/30/1998,,995.0,525.0,615.0,-1753.0,382.0,-13557.0,238.0,-286.0,-30420.0,17966.0,-1198.0,143.0,16517.0,-1109.0,17894.0,6986.0,-2820.0,805.0,-2439.0,-2800.0,,3342.0,,
12/31/1998,,857.0,442.0,-2612.0,3623.0,2082.0,-356.0,,-356.0,,,,,,,,,,,,,,1726.0,,
03/31/1999,,706.0,440.0,4182.0,-2019.0,3309.0,-653.0,38.0,-225.0,-8980.0,8711.0,-150.0,-47.0,-11638.0,-450.0,-4061.0,2592.0,-683.0,61.0,-854.0,-8243.0,,-8982.0,,
06/30/1999,,873.0,468.0,-1038.0,-1559.0,-1256.0,-7040.0,84.0,-215.0,-9912.0,9886.0,-6814.0,-69.0,5492.0,-451.0,1885.0,6718.0,-1226.0,41.0,-854.0,-621.0,,-2804.0,,
09/30/1999,,802.0,467.0,-321.0,-232.0,716.0,-5375.0,123.0,-224.0,-3767.0,1215.0,-2698.0,-24.0,4003.0,-452.0,2572.0,4966.0,-3406.0,45.0,-22.0,300.0,,-656.0,,
12/31/1999,,842.0,890.0,-3490.0,-1139.0,-2897.0,-293.0,,-293.0,,,,,,,,,,,,,,-3190.0,,
03/31/2000,,840.0,507.0,-1105.0,-1094.0,-852.0,-3254.0,36.0,-184.0,-3074.0,2496.0,-2447.0,-81.0,-1474.0,-478.0,-718.0,3683.0,-2615.0,32.0,-221.0,-1157.0,,-5580.0,,
06/30/2000,,-2199.0,1350.0,2624.0,-1225.0,550.0,-4641.0,27.0,-237.0,-2351.0,1058.0,-3096.0,-42.0,5989.0,-471.0,1494.0,3556.0,-3459.0,27.0,-132.0,4974.0,,1898.0,,
09/30/2000,,852.0,621.0,2167.0,2106.0,5746.0,7121.0,185.0,-229.0,-1169.0,10754.0,-2397.0,-23.0,-14819.0,-469.0,-11495.0,6827.0,-3714.0,69.0,-43.0,-5994.0,,-1952.0,,
12/31/2000,,599.0,511.0,3527.0,-2184.0,2453.0,2222.0,150.0,-234.0,-1767.0,5493.0,-1394.0,-26.0,2667.0,-470.0,58.0,3425.0,-3874.0,24.0,-294.0,3798.0,,7342.0,,
03/31/2001,,584.0,503.0,-1102.0,1060.0,1045.0,-1089.0,38.0,-160.0,-4870.0,4084.0,-45.0,-136.0,-1647.0,-235.0,271.0,2470.0,-2187.0,9.0,-102.0,-1873.0,,-1691.0,,
06/30/2001,,633.0,499.0,3480.0,-3506.0,1106.0,2286.0,47.0,-62.0,-5681.0,7945.0,211.0,-174.0,-9170.0,-471.0,-4694.0,7511.0,-7260.0,14.0,-169.0,-4101.0,,-5778.0,,
09/30/2001,,-334.0,1455.0,-1327.0,279.0,73.0,7958.0,65.0,-87.0,-11842.0,14825.0,1573.0,3424.0,-12678.0,-708.0,-3251.0,7562.0,-9799.0,67.0,-1284.0,-5265.0,,-4647.0,,
12/31/2001,,736.0,879.0,1452.0,1996.0,5063.0,-214.0,,-214.0,,,,,,,,,,,,,,4849.0,,
03/31/2002,,913.0,751.0,-93.0,-4060.0,-2489.0,1670.0,41.0,-99.0,-9359.0,10897.0,348.0,-158.0,-7344.0,-334.0,2174.0,188.0,-1985.0,33.0,0.0,-7420.0,0.0,-8163.0,,
06/30/2002,,855.0,814.0,185.0,-2328.0,-474.0,2184.0,85.0,-127.0,-21788.0,21984.0,2337.0,-208.0,-9454.0,-668.0,1724.0,717.0,-4519.0,82.0,,-6790.0,,-10233.0,,
09/30/2002,,916.0,856.0,-1207.0,-1019.0,-454.0,-6516.0,,-240.0,-7522.0,505.0,270.0,471.0,10978.0,-27.0,-7137.0,3624.0,,,-24.0,14542.0,0.0,4008.0,,
12/31/2002,,895.0,688.0,667.0,1671.0,3921.0,,,-361.0,,,,,,,,,,,,,,,,
03/31/2003,,1027.0,596.0,-1608.0,-2962.0,-2947.0,,,-1127.0,,,,,,,,,,,,,,,,
06/30/2003,,1032.0,563.0,-1751.0,-2052.0,-2208.0,1404.0,762.0,-873.0,-24435.0,26517.0,-379.0,-188.0,13296.0,-745.0,7950.0,660.0,-3271.0,48.0,-1120.0,9774.0,,12492.0,,
09/30/2003,,1105.0,452.0,4605.0,-69.0,6093.0,-5032.0,0.0,-980.0,-23983.0,13453.0,-2491.0,8114.0,1791.0,-466.0,-278.0,1694.0,-1204.0,127.0,-285.0,2203.0,0.0,-95.0,,
12/31/2003,,1100.0,459.0,-1369.0,-1984.0,-1794.0,-22.0,,-22.0,,,,,,,,,,,,,,-1816.0,,
03/31/2004,,1251.0,397.0,-2253.0,382.0,-223.0,-5104.0,8.0,-189.0,-24218.0,21199.0,-1736.0,-168.0,7105.0,-525.0,-5838.0,2683.0,-61.0,120.0,-387.0,11113.0,0.0,1778.0,,
06/30/2004,,1252.0,412.0,-4621.0,-4485.0,-7442.0,-6956.0,18.0,-167.0,-24058.0,23286.0,-5721.0,-314.0,8838.0,-524.0,908.0,250.0,-2580.0,89.0,-347.0,11042.0,0.0,-5560.0,,
09/30/2004,,1263.0,390.0,5325.0,-8239.0,-1261.0,545.0,450.0,-259.0,-10597.0,12549.0,-1532.0,-66.0,14634.0,-522.0,1229.0,5008.0,-586.0,193.0,-289.0,9601.0,0.0,13918.0,,
12/31/2004,,1448.0,473.0,-228.0,-621.0,1072.0,-4717.0,104.0,-345.0,-30237.0,28193.0,-3247.0,815.0,-6412.000488,-735.0,-8330.0,554.0,-1852.0,314.0,-1334.0,4971.0,0.0,-10057.0,,
03/31/2005,,1621.0,403.0,17.0,-1110.0,931.0,-13320.0,21.0,-237.0,-29800.0,22357.0,-4052.0,-1609.0,12025.0,-727.0,9995.0,2841.0,-1668.0,79.0,-1099.0,2604.0,0.0,-364.0,,
06/30/2005,,1650.0,410.0,-1124.0,-3004.0,-2068.0,-3063.0,14.0,-282.0,-20398.0,20405.0,-2478.0,-324.0,4748.0,-725.0,2325.0,1420.0,-346.0,68.0,-247.0,2253.0,0.0,-383.0,,
09/30/2005,,1665.0,442.0,2045.0,-7207.0,-3055.0,-10027.0,15.0,-346.0,-27660.0,26971.0,-8922.0,-85.0,17789.0,-793.0,2458.0,2338.0,-5498.0,60.0,-1305.0,20529.0,0.0,4707.0,,
12/31/2005,,1707.0,443.0,2824.0,4924.0,9898.0,-4833.0,2105.0,-1897.0,-23143.0,25715.0,-8113.0,500.0,-9991.0,-794.0,-17018.0,3887.0,-771.0,292.0,-42.0,4455.0,0.0,-4926.0,,
03/31/2006,,1728.0,484.0,1344.0,2045.0,5601.0,-10581.0,57.0,-457.0,-17238.0,14712.0,-8334.0,679.0,393.0,-822.0,-6563.0,10812.0,-2538.0,183.0,-2108.0,1429.0,0.0,-4587.0,,
06/30/2006,,1885.0,471.0,150.0,-6761.0,-4255.0,-5313.0,56.0,-401.0,-10279.0,9604.0,-4173.0,-120.0,8758.0,-815.0,7397.0,7162.0,-2753.0,179.0,-1462.0,-950.0,0.0,-810.0,,
09/30/2006,,1877.0,864.0,650.0,-2174.0,1217.0,-5119.0,185.0,-982.0,-22679.0,35148.0,-16068.0,-723.0,2704.0,-1710.0,-10601.0,23452.0,-3386.0,498.0,-2662.0,-2887.0,0.0,-1198.0,,
12/31/2006,,2301.0,665.0,8167.0,-6152.0,4981.0,-11481.0,51.0,-373.0,-7246.0,5691.0,-5271.0,-4333.0,5799.0,-1064.0,-14042.0,11815.0,-7765.0,139.0,-389.0,17105.0,0.0,-701.0,,
03/31/2007,,2302.0,711.0,-784.0,-9939.0,-7710.0,-76.0,107.0,-235.0,-4108.0,6604.0,-1535.0,-909.0,-1624.0,-1071.0,-2013.0,12430.0,-10878.0,192.0,-284.0,,0.0,-9410.0,,
06/30/2007,,2341.0,606.0,6316.0,-8123.0,1140.0,-8735.0,24.0,-263.0,-7760.0,7130.0,-7835.0,-31.0,8391.0,-1066.0,5571.0,11047.0,-9146.0,136.0,-723.0,2572.0,0.0,796.0,,
09/30/2007,,1618.0,1224.0,-2690.0,-4309.0,-4157.0,-27320.0,87.0,-222.0,-34008.0,29135.0,-22118.0,-194.0,33441.0,-1215.0,9999.0,24790.0,-8253.0,38.0,-190.0,8272.0,0.0,1964.0,,
12/31/2007,,51.0,1997.0,-1659.0,3649.0,4038.0,-15630.0,0.0,-415.0,-37538.0,39495.0,-14639.0,-2533.0,16097.0,-1265.0,-14501.0,9327.0,-6904.0,2392.0,0.0,27048.0,0.0,4505.0,,
03/31/2008,,-664.0,3414.0,83.0,-10161.0,-7328.0,-17827.0,19.0,-396.0,-18099.0,12738.0,-12031.0,-58.0,20108.0,-1317.0,7464.0,23719.0,-13238.0,3500.0,-20.0,,0.0,-5047.0,,
06/30/2008,,-8915.0,6018.0,6517.0,6761.0,10381.0,-7693.0,113.0,-358.0,-19913.0,22108.0,-9082.0,-561.0,16068.0,-1001.0,-2409.0,21443.0,-8530.0,7904.0,0.0,-1339.0,0.0,18756.0,,
09/30/2008,,-23698.0,7063.0,18370.0,4431.0,6166.0,-1176.0,202.0,-804.0,-61196.0,62236.0,-1413.0,-201.0,-17909.0,-299.0,12419.0,16010.0,-17061.0,0.0,-28.0,-28950.0,0.0,-12919.0,,
