Date,Cash From Operating Activities,Net Income,Other Non-Cash Adjustments,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,242.925995,30.43,212.496002,,,,,,
06/30/1990,232.822006,24.952999,207.869003,,,,,,
09/30/1990,237.026001,51.008999,186.016998,,,,,,
12/31/1990,415.954987,59.800999,356.153992,,,,,,
03/31/1991,283.593994,56.345001,227.248993,,,,,,
06/30/1991,232.093994,64.535004,167.559006,,,,,,
09/30/1991,232.559998,62.705002,169.854996,,,,,,
12/31/1991,376.324005,66.647003,309.677002,,,,,,
03/31/1992,273.024994,65.670998,207.354004,,,,,,
06/30/1992,329.571991,77.625999,251.945999,,,,,,
09/30/1992,109.692001,88.851997,20.84,,,,,,
12/31/1992,447.618011,90.347,357.270996,,,,447.618011,,
03/31/1993,259.565002,65.835999,193.729004,,,,,,
06/30/1993,226.319,91.529999,134.789001,,,,,,
09/30/1993,409.437988,73.763,335.674988,,,,,,
12/31/1993,189.845001,91.536003,98.308998,,,,189.845001,,
03/31/1994,245.563995,64.008003,,,,,,,
06/30/1994,199.335007,81.702003,,,,,,,
09/30/1994,356.757996,86.108002,,,,,,,
12/31/1994,195.345001,69.083,,,,,195.345001,,
03/31/1995,403.13501,69.686996,,,-6.0,,,,
06/30/1995,302.665985,84.155998,,,-8.0,,,,
09/30/1995,363.265015,88.789001,,,-9.0,,,,
12/31/1995,414.93399,103.809998,,-22.0,-22.0,,392.93399,,
03/31/1996,369.0,103.0,,,-11.0,,,,
06/30/1996,256.0,100.0,,,-18.0,,,,
09/30/1996,401.0,106.0,,,-15.0,,,,
12/31/1996,454.0,126.0,,,-18.0,,,,
03/31/1997,273.0,117.0,,,-12.0,,,,
