Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2011,17.91,11.561,6.349,-15.453,15.453,2.457,0.0,-22.524,12.361,3.652,8.709,10.163,0.0,-20.067,-0.277,0.26,0.26,0.0,0.017,-20.344,0.0,-20.344,0.0,0.0,0.0,-20.344,,-20.344,,0.0,-20.344,-20.344,0.0,,,,,,,,,
06/30/2011,20.773,13.619,7.154,-10.632,10.632,10.141,0.0,-33.078,18.391,5.147,13.244,14.687,0.0,-22.937,-1.625,0.188,0.188,0.0,1.437,-24.562,0.0,-24.562,0.0,0.0,0.0,-24.562,,-24.562,,0.0,-24.562,-24.562,0.0,,,,,,,,,
09/30/2011,26.424,19.942,6.482,-15.719,15.719,10.705,0.0,-69.865,35.144,7.368,27.776,34.721,0.0,-59.16,-0.168,0.204,0.204,0.0,-0.036,-59.328,1.993,-57.335,0.0,0.0,0.0,-57.335,,-57.335,,0.0,-57.335,-57.335,0.0,,,,,,,,,
12/31/2011,41.206,32.588,8.618,-19.999,19.999,21.207,0.0,-46.454,25.849,9.821,16.028,20.605,0.0,-25.247,-0.265,0.153,0.153,0.0,0.112,-25.512,-0.549,-26.061,0.0,0.0,0.0,-26.061,,-26.061,,0.0,-26.061,-26.061,0.0,,,,,,,,,
03/31/2012,54.313,44.5,9.813,-27.629,27.629,26.684,0.0,-46.815,27.839,14.45,13.389,18.976,0.0,-20.131,-0.636,0.377,0.377,0.0,0.259,-20.767,-0.754,-21.521,0.0,0.0,0.0,-21.521,,-21.521,,0.0,-21.521,-21.521,0.0,,,,,,,,,
06/30/2012,68.046,56.802,11.244,-30.528,30.528,37.518,0.0,-64.393,37.024,19.655,17.369,27.369,0.0,-26.875,-0.266,0.513,0.513,0.0,-0.247,-27.141,-0.442,-27.583,0.0,0.0,0.0,-27.583,,-27.583,,0.0,-27.583,-27.583,0.0,,,,,,,,,
09/30/2012,82.327,68.665,13.662,-33.693,33.693,48.634,0.0,-69.935,37.616,23.662,13.954,32.319,0.0,-21.301,0.172,0.766,0.766,0.0,-0.938,-21.129,-0.461,-21.59,0.0,0.0,0.0,-21.59,,-21.59,,0.0,-21.59,-21.59,0.0,,,,,,,,,
12/31/2012,112.247,99.454,12.793,-36.918,36.918,75.329,0.0,-84.105,43.765,28.784,14.981,40.34,0.0,-8.776,-1.357,0.83,0.83,0.0,0.527,-10.133,1.428,-8.705,0.0,0.0,0.0,-8.705,,-8.705,,0.0,-8.705,-8.705,0.0,,,,,,,,,
03/31/2013,114.343,100.46,13.883,-41.255,41.255,73.088,0.0,-96.995,49.421,32.439,16.982,47.574,0.0,-23.907,-2.762,1.233,1.233,0.0,1.529,-26.669,-0.357,-27.026,0.0,0.0,0.0,-27.026,,-27.026,,0.0,-27.026,-27.322,-0.296,127.456,-0.21,-0.21,-0.214364,127.456,-0.21,-0.21,-0.214364,
06/30/2013,139.292,120.972,18.32,-50.573,50.573,88.719,0.0,-127.635,63.372,45.258,18.114,64.263,0.0,-38.916,-2.532,1.513,1.513,0.0,1.019,-41.448,-0.777,-42.225,0.0,0.0,0.0,-42.225,,-42.225,,0.0,-42.225,-42.312,-0.087,132.224,-0.32,-0.32,-0.320002,132.224,-0.32,-0.32,-0.320658,
