Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
12/31/2008,24.633,,24.633,4.413496,,4.413496,2.291644,,2.291644,
12/31/2009,24.633,,24.633,4.153963,,4.153963,2.124857,,2.124857,
03/31/2016,,131.3,131.3,,7.722276,7.722276,,5.219763,5.219763,
06/30/2016,,223.6,223.6,,12.837523,12.837523,,8.406641,8.406641,
09/30/2016,,198.8,198.8,,11.084626,11.084626,,7.405895,7.405895,
03/31/2017,,98.2,98.2,,5.143077,5.143077,,3.5774,3.5774,
06/30/2017,,98.6,98.6,,4.947338,4.947338,,3.471589,3.471589,
09/30/2017,,98.2,98.2,,4.705283,4.705283,,3.321866,3.321866,
03/31/2018,,46.4,46.4,,1.967143,1.967143,,1.475825,1.475825,
06/30/2018,,45.0,45.0,,1.813017,1.813017,,1.35498,1.35498,
09/30/2018,,45.0,45.0,,1.719571,1.719571,,1.289653,1.289653,
03/31/2019,,46.0,46.0,,1.660427,1.660427,,1.241887,1.241887,
06/30/2019,,46.2,46.2,,1.650893,1.650893,,1.229147,1.229147,
09/30/2019,,46.2,46.2,,1.587886,1.587886,,1.186923,1.186923,
12/31/2019,,46.1,46.1,,1.496405,1.496405,,1.153778,1.153778,
03/31/2020,,45.5,45.5,,1.508596,1.508596,,1.156294,1.156294,
06/30/2020,,144.9,144.9,,4.858392,4.858392,,3.551446,3.551446,
