Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,2.289,3.439,1.407,0.45,,,0.45,-3.007,,,-3.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,5.305,2.748,1.556,-2.164,,,-2.164,3.165,,,3.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,3.661,2.243,1.444,1.526,,,1.526,-1.552,,,-1.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,2.348,0.889,1.584,-3.461,,,-3.461,3.336,,,3.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,3.152,1.278,1.6,0.447,,,0.447,-0.173,,,-0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,6.807,0.912,1.597,-0.539,,,-0.539,4.837,,,4.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,3.833,0.948,1.615,-0.873,,,-0.873,2.143,,,2.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,3.912,0.977,1.607,1.075,,,1.075,0.253,,,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,4.288,0.831,1.61,0.416,,,0.416,1.431,,,1.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,3.396,1.128,1.596,0.057,,,0.057,0.615,,,0.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,2.71,1.146,1.594,1.091,,,1.091,-1.121,,,-1.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,1.111,1.277,1.587,-0.642,,,-0.642,-1.111,,,-1.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,2.931,2.387,1.624,-0.479,,,-0.479,-0.601,,,-0.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,5.736,2.9,1.64,0.777,,,0.777,0.419,,,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,1.58,3.091,1.635,0.13,,,0.13,-3.276,,,-3.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,4.67,3.345,1.735,0.76,,,0.76,-1.17,,,-1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,6.566,5.604,1.759,3.03,,,3.03,-3.827,,,-3.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,17.075001,6.273,1.795,-0.617,,,-0.617,3.058,,,3.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,5.008,6.742,1.829,1.404,,,1.404,-4.967,,,-4.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,3.28,7.498,1.874,0.276,,,0.276,-6.372,,,-6.372,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,,,
03/31/1995,13.631,9.005,1.877,1.05,,,1.05,1.699,,,1.699,,,,,,,,,,,,,,,,,,,,,,,,,,13.631,,,
06/30/1995,11.865,9.35,1.96,0.275,,,0.275,0.28,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,11.865,,,
09/30/1995,8.813,10.463,2.148,1.731,,,1.731,-5.529,,,-5.529,,,,,,,,,,,,,,,,,,,,,,,,,,8.813,,,
12/31/1995,7.862,11.48,2.346,-3.307,,,-3.307,-2.657,,,-2.657,,,,,,,,,,,,,,,,,,,,,,,,,,7.862,,,
03/31/1996,12.331,13.239,2.466,0.447,,,0.447,-3.821,,,-3.821,,-2.29,-2.29,,,,-2.29,,,,,,,,,,0.0,,,,,,,,,10.041,,,
06/30/1996,10.792,14.224,2.743,-2.694,,,-2.694,-3.481,,,-3.481,,-4.501,-4.501,,,,-4.501,,,,,,,,,,0.0,,,,,,,,,6.291,,,
09/30/1996,14.766,15.946,3.212,-0.962,,,-0.962,-3.43,,,-3.43,,-6.511,-6.511,,,,-6.511,,,,,,,,,,0.0,,,,,,,,,8.255,,,
12/31/1996,16.535999,17.693001,3.441,6.616,,,6.616,-11.214,,,-11.214,,-4.725,-4.725,,,,-4.725,,,,,,,,,,0.0,,,,,,,,,11.810999,,,
03/31/1997,19.625,19.92,3.785,1.329,,,1.329,-5.409,,,-5.409,,-13.136,-9.869,0.0,,,-9.869,,,0.0,0.0,0.0,,,,,-3.267,0.948,0.0,-1.15,2.098,8.06,-5.962,0.0,,7.437,,,
06/30/1997,22.112,22.209999,4.318,1.328,,,1.328,-5.744,,,-5.744,,-6.818,-6.747,0.0,,,-6.747,,,0.0,0.0,0.0,,,,,-0.071,3.519,0.0,-0.353,3.872,8.676,-4.804,0.0,,18.813,,,
