Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2012,107.3,75.2,65.2,-44.3,5.5,4.5,-54.3,7.5,6.6,-32.8,-9.0,42.7,,-62.2,-63.3,0,0.0,0.0,-63.3,-63.3,0,0,0,0,0.0,0.0,0.0,0,1.1,-45.1,0,-0.6,,,,1.6,1.6,0.0,-46.1,0.0,0.0,
06/28/2012,96.9,33.2,32.2,-2.2,2.8,2.2,-7.2,31.8,25.2,-20.8,1.1,26.3,,-39.4,-39.0,0,0.0,0.0,-39.0,-39.0,0,0,0,0,0.0,0.0,0.0,0,-0.4,-57.5,0,-0.4,,,,0.4,0.4,0.0,-57.5,0.0,0.0,
09/28/2012,51.6,26.2,33.5,55.5,2.4,2.3,50.8,-64.7,-38.6,-9.2,-0.4,-16.5,,-50.6,-41.9,0,0.0,0.0,-41.9,-41.9,0,0,0,0,-13.2,0.0,-13.2,0,4.5,-1.0,0,-0.3,,,,-0.3,,,-0.4,0.0,0.0,
12/28/2012,-59.0,19.2,33.7,-79.4,3.5,1.6,-84.5,-33.1,-2.6,-41.7,0.0,11.2,,-130.2,-42.8,0,0.0,0.0,-42.8,-42.8,0,0,0,0,-88.1,0.0,-88.1,0,0.7,189.2,0,187.3,,,,1.9,1.9,0.0,0.0,0.0,0.0,
03/29/2013,51.2,34.0,33.2,44.9,3.1,1.9,39.9,-61.4,-71.8,18.6,-12.0,3.8,,-34.8,-33.9,0,0.0,0.0,-33.9,-33.9,0,0,0,0,0.0,0.0,0.0,0,-0.9,-16.4,0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,170.5,0.0,0.0,
06/28/2013,14.0,-27.9,35.3,49.1,4.8,4.0,40.3,-42.7,-63.5,35.4,3.1,-17.7,,-33.5,-33.8,0,0.0,0.0,-33.8,-33.8,0,0,0,0,0.0,0.0,0.0,0,0.3,199.9,0,897.8,,,,0.4,0.4,0.0,-698.3,0.0,180.4,
09/27/2013,129.7,33.5,37.4,7.2,4.8,-16.5,18.9,51.6,-43.3,15.4,16.1,63.4,,-36.2,-37.4,0,0.0,0.0,-37.4,-37.4,0,0,0,0,0.0,0.0,0.0,0,1.2,0.3,0,-0.3,,,,0.6,0.6,0.0,0.0,1.3,95.1,
12/27/2013,22.1,45.6,35.1,-51.9,3.3,15.0,-70.2,-7.5,4.9,-33.2,21.3,-0.5,,-12.6,-21.7,0,0.0,0.0,-21.7,-21.7,0,0,0,0,0.0,0.0,0.0,0,9.1,4.2,0,-0.3,,,,0.4,1.3,-0.9,4.1,-1.4,12.3,
03/28/2014,119.1,11.6,41.6,-15.0,6.1,-27.3,6.2,80.8,74.7,-5.8,-55.3,67.2,,-1319.2,-29.0,0,,,-29.0,-29.0,0,0,0,0,-1293.2,0.0,-1293.2,0,3.0,1247.9,0,1266.3,,,,13.7,14.6,-0.9,-32.1,-0.7,47.1,
06/27/2014,26.9,-24.1,82.0,85.2,5.0,-8.2,88.4,-116.0,-105.3,31.5,5.0,-47.2,,-38.7,-29.4,0,0.0,0.0,-29.4,-29.4,0,0,0,0,-10.0,0.0,-10.0,0,0.7,4.5,0,-0.4,,,,4.9,5.0,-0.1,0.0,0.3,-7.0,
