Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,(Income) Loss from Affiliates,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1995,8.428,0.593,0.596,0.596,0.0,-0.003,7.835,0.0,,,,7.329,0.506,0.0,8.428,-6.961,0.0,6.961,1.467,0.0,,0.0,1.467,-0.589,0.878,0.0,,,0.878,0.0,0.878,0.0,,0.878,0.878,,10.7244,0.075,0.075,0.075,10.7244,0.075,0.075,0.075,
03/31/1996,10.449,0.579,0.585,0.585,0.0,-0.006,9.87,0.0,,,,9.16,0.71,0.0,10.449,-10.131,,10.131,0.318,0.0,,0.0,0.318,-0.133,0.185,0.0,,,0.185,0.0,0.185,0.0,,0.185,0.185,,10.9352,0.025,0.025,0.025,10.9352,0.025,0.025,0.025,
06/30/1996,15.546,1.04,1.091,1.091,0.0,-0.051,14.506,0.0,,,,13.719,0.787,0.0,15.546,-19.555,,19.555,-4.009,0.0,,0.0,-4.009,1.612,-2.397,0.0,,,-2.397,0.0,-2.397,0.0,,-2.397,-2.397,,11.7828,-0.2,-0.2,-0.2,11.7828,-0.2,-0.2,-0.2,
09/30/1996,17.172,2.601,4.765,4.765,0.0,-2.164,14.571,0.0,,,,13.97,0.601,0.0,17.172,-16.330999,,16.330999,0.841,0.0,,0.0,0.841,-0.335,0.506,0.0,,,0.506,0.0,0.506,0.0,,0.506,0.506,,12.2596,0.05,0.05,0.05,12.2596,0.05,0.05,0.05,
12/31/1996,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,,-26.653999,0.0,26.653999,3.006,0.0,,0.0,3.006,,3.006,0.0,,,,0.0,3.006,0.0,,3.006,3.006,,12.024,0.25,0.25,0.25,13.360001,0.225,0.225,0.225,
03/31/1997,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,,-31.931,0.0,31.931,3.243,0.0,,0.0,3.243,,3.243,0.0,,,,0.0,3.243,0.0,,3.243,3.243,,12.972,0.25,0.25,0.25,14.4132,0.225,0.225,0.225,
06/30/1997,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,,-36.667,0.0,36.667,2.91,0.0,,0.0,2.91,,2.91,0.0,,,,0.0,2.91,0.0,,2.91,2.91,,12.9332,0.225,0.225,0.225,14.55,0.2,0.2,0.2,
09/30/1997,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,,-46.108002,0.0,46.108002,5.876,0.0,,0.0,5.876,,5.876,0.0,,,,0.0,5.876,0.0,,5.876,5.876,,13.826,0.425,0.425,0.425,15.6692,0.375,0.375,0.375,
12/31/1997,54.007,12.036,12.036,12.036,0.0,0.0,41.971,37.684,,,,0.0,4.287,0.0,54.007,-45.049,0.0,45.049,8.958,0.0,,0.0,8.958,-3.832,5.126,0.0,,,5.126,0.0,5.126,0.0,0.0,5.126,5.126,,32.0328,0.15,0.15,0.15,34.5608,0.15,0.15,0.15,
03/31/1998,56.13,12.617,12.617,12.617,0.0,0.0,43.513,37.778,,,,0.0,5.735,0.0,56.13,-48.661,0.0,48.661,7.469,0.0,,0.0,7.469,-2.961,4.508,0.0,,,4.508,0.0,4.508,0.0,0.0,4.508,4.508,,32.2872,0.15,0.15,0.15,34.3796,0.125,0.125,0.125,
06/30/1998,66.484,14.137,14.137,14.137,0.0,0.0,52.347,43.419,,,,0.0,8.928,0.0,66.484,-57.844,0.0,57.844,8.64,0.0,,0.0,8.64,-3.499,5.141,0.0,,,5.141,0.0,5.141,0.0,0.0,5.141,5.141,,65.8916,0.075,0.075,0.075,69.2928,0.075,0.075,0.075,
09/30/1998,159.135,17.911,17.911,17.911,0.0,0.0,141.224,43.216,,,,0.0,98.008,0.0,159.135,-180.122,0.0,180.122,-20.987,-1.929,,1.929,-22.916,10.068,-12.848,0.0,,,-12.848,0.0,-12.848,0.0,0.0,-12.848,-12.848,,67.7272,-0.2,-0.2,-0.2,71.7424,-0.2,-0.2,-0.2,
12/31/1998,115.92,21.809,21.809,21.809,0.0,,94.111,60.32,60.32,,,,33.791,,115.92,-136.685,0.0,136.685,-20.765,-0.14,0.103,0.037,-20.802,9.215,-11.587,0.0,,,-11.587,,-11.587,-0.06,0.0,-11.647,-11.647,,92.7532,-0.125,-0.125,-0.125,92.7532,-0.125,-0.125,-0.125,
03/31/1999,162.265,32.044,80.527,80.527,0.0,-48.483,220.745,90.524,90.524,,,119.832,10.389,-0.49,161.775,-185.246,0.0,185.246,-23.471,38.121,,-38.121,14.65,-5.052,9.598,0.469,,,9.129,-0.561,8.568,-0.06,0.0,8.508,8.508,,52.2208,0.15,0.15,0.15,56.516,0.15,0.15,0.15,
06/30/1999,187.087,45.477,104.129,104.129,0.0,-58.652,247.677,106.067,106.067,,,133.004,8.606,-0.665,186.422,-227.819,0.0,227.819,-41.397,6.243,0.851,-7.094,-33.452,12.23,-21.222,1.985,,,-23.207,-0.539,-23.746,-0.06,0.0,-23.806,-23.806,2.374,27.1276,-0.9,-0.8,-0.72,27.1276,-0.9,-0.8,-0.72,
09/30/1999,192.185,50.223,122.704,122.704,0.0,-72.481,141.962,0.0,,,,128.654,13.308,-1.348,190.837,-242.791,0.0,242.791,-51.954,8.765,,-8.765,-43.189,15.67,-27.519,0.0,,,-27.519,-0.526,-28.045,0.0,0.0,-28.045,-28.045,,28.2826,-1.0,-1.0,-1.2,28.2826,-1.0,-1.0,-1.2,
12/31/1999,246.008,43.341,43.341,43.341,,,202.667,152.312,152.312,,,,50.355,,246.008,-302.939,,302.939,-56.931,45.846,3.843,-49.689,-7.242,2.028,-5.214,,,,-5.214,,-5.214,0.0,0.0,-5.214,-5.214,2.144,24.7163,-0.2,-0.2,-0.12,24.7163,-0.2,-0.2,-0.12,
