Date,P/E,P/Book,Average,High,Low,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
03/31/1990,,4.466117,,,,,,,,,,,,148.042748,
06/30/1990,,4.518883,,,,,,,,,,,,234.597247,
09/30/1990,42.788462,4.945054,,,,,1.583097,,,1.931929,,,,265.931993,
12/31/1990,5.62701,2.430063,,,,,1.144027,230.719343,,1.224005,13.584075,23.187377,,187.4465,
03/31/1991,6.20915,2.636725,,,,,1.18792,,,1.320607,14.811447,26.033057,,218.364999,
06/30/1991,5.844156,2.720335,,,,,1.116211,,,1.440002,16.449157,30.326261,,247.279993,
09/30/1991,5.608974,2.112227,,,,,1.05619,,,1.298868,14.12616,26.215834,,234.762506,
12/31/1991,31.730769,1.947886,,,,,1.051782,,,1.268519,12.67549,22.938873,,225.534999,
03/31/1992,20.454545,1.070737,,,,,0.587098,,,0.794361,8.280105,16.545709,,141.714002,
06/30/1992,32.352941,1.299756,,,,,0.736032,69.148868,,0.939923,9.654544,21.127357,,168.046997,
09/30/1992,77.777778,1.654835,,,,,0.942159,192.685668,,1.218775,13.777236,37.478733,,217.638998,
12/31/1992,493.749987,1.178096,,,,,0.625221,65.046177,,0.913275,11.560581,37.714767,,173.9405,
03/31/1993,235.714281,1.947583,,,,,1.00477,,,1.325598,15.003631,39.021937,,262.383499,
06/30/1993,90.789474,2.018403,,,,,1.011193,,,1.335429,13.673688,29.698836,,274.417243,
09/30/1993,41.666667,1.875174,,,,,0.861084,,,1.215513,10.937934,20.438477,,276.062507,
12/31/1993,18.656717,1.428956,,,,,0.6134,,,0.964677,7.696426,12.790461,,237.326998,
03/31/1994,20.898437,1.554983,,,,,0.651559,,,1.131874,9.014724,15.103021,,282.77387,
06/30/1994,24.056603,1.491634,,,,,0.631748,,,1.18655,9.309772,15.969343,,294.570495,
09/30/1994,30.833333,1.596998,,,,,0.700479,,,1.29403,9.972096,16.907189,,319.934745,
12/31/1994,32.770269,1.38399,,,,,0.616253,,,1.192991,8.788645,15.229467,,296.502502,
03/31/1995,30.523257,1.423184,,,,,0.624893,46.98546,,1.157503,8.026141,13.567117,,307.987123,
06/30/1995,32.142858,1.819297,,,,,0.772434,19.912548,,1.465833,10.15538,16.590716,,432.801998,
09/30/1995,34.701493,1.992953,,,,,0.963007,,,1.744388,11.723169,19.227687,,559.910249,
12/31/1995,90.178575,2.038015,,,,,1.286653,,,2.187058,,33.073701,,594.169024,
