Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
12/30/1989,,,147.0,,8.79796,,,0.485,0.485,,,,,,,,,
03/31/1990,147.188004,,147.199997,,8.804348,1.339674,0.76087,0.41,0.41,,,,,0.1,-0.202446,1.271843,14.389759,
06/30/1990,147.244003,,147.199997,,8.974185,1.411005,0.857337,0.505,0.505,,,,,0.1,0.736413,0.638396,14.724539,
09/29/1990,147.274002,,147.199997,,9.045516,1.41712,0.792799,0.44,0.44,,,,,0.1,0.921196,0.774067,15.182585,
12/29/1990,147.276,147.274994,147.274994,,9.558989,1.253438,0.660669,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,0.1,1.19708,0.775415,14.770228,
03/31/1991,147.382004,,147.399994,,8.0,1.215061,0.584125,0.2,0.2,,,,,0.1,-0.394844,0.582839,14.963835,
06/30/1991,147.464005,,147.399994,,7.776798,1.208277,0.61194,0.205,0.205,,,,,0.1,1.087517,0.505886,14.539142,
09/29/1991,147.479996,,147.399994,,7.78901,1.162144,0.544776,0.19,0.19,,,,,0.1,1.744233,0.494304,14.524003,
12/29/1991,147.485992,147.483002,147.483002,,8.34469,1.085549,0.535655,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,0.1,1.510683,1.251644,13.437208,
03/28/1992,147.774002,,147.600006,,8.435636,1.235772,0.759485,0.305,0.305,,,,,0.1,-0.083333,0.529186,13.612679,
06/27/1992,147.813995,,147.600006,,8.659891,1.251355,0.767615,0.315,0.315,,,,,0.1,0.923442,1.371318,13.933728,
09/26/1992,147.817993,,147.800003,,8.726658,1.116373,0.605548,0.205,0.205,,,,,0.1,1.078484,0.566237,14.562503,
12/26/1992,147.820008,147.800004,147.800004,,8.648173,1.148173,0.64885,0.305,0.305,0.305,0.305,0.305,0.305,0.1,0.889716,0.958598,13.650385,
03/27/1993,148.005997,,147.800003,,5.874831,0.856901,0.336604,0.305,0.115,,,,,0.1,-0.20636,0.540519,13.577828,
06/26/1993,148.018005,,148.0,,6.266892,0.975338,0.480743,0.16,0.16,,,,,0.1,0.446622,0.61479,13.756434,
09/25/1993,148.048004,,148.0,,5.975,0.971959,0.476013,0.165,0.145,,,,,0.1,0.603378,0.935507,13.473332,
12/31/1993,148.059998,148.0,148.0,,6.113513,1.006419,0.4875,-2.505,-2.03,-2.03,-2.505,-2.03,-2.03,0.1,1.289865,0.902337,10.594353,
03/26/1994,148.731995,,148.600006,,5.576716,0.939435,0.438762,0.17,0.19,,,,,0.1,0.055182,0.683108,10.68768,
06/30/1994,149.285995,,148.800003,,6.144489,1.191532,0.664651,0.27,0.34,,,,,0.1,0.704301,0.681243,10.953472,
09/24/1994,150.417999,,149.600006,,5.863636,1.231952,0.71123,0.41,0.37,,,,,0.1,0.59893,0.705368,11.360342,
12/31/1994,151.190002,,149.600006,,6.42246,1.321524,0.789438,0.565,0.88,,,,,0.1,0.062166,7.368212,11.543752,
04/01/1995,151.434006,,151.5,,6.622442,1.374917,1.00132,0.64,0.64,,,,,0.05,-1.762376,1.048642,11.877121,
07/01/1995,151.651993,,151.399994,,6.984809,1.509908,1.15786,0.96,0.96,,,,,0.1,0.241744,1.386728,12.68892,
09/30/1995,152.190002,,151.800003,,0.790132,1.720026,1.367589,0.44,0.44,0.44,,,,0.1,0.733202,1.290492,13.485774,
