Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,940,-620,138,,811.0,,,811.0,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,52,320,162,,-1072.0,,,-1072.0,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,3121,344,150,,1103.0,,,1103.0,1524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,471,137,153,,1235.0,,,1235.0,-1054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,784,264,163,,892.0,,,892.0,-535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,-15,256,165,,232.0,,,232.0,-668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,-617,31,134,,1289.0,,,1289.0,-2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,255,238,291,,-151.0,,,-151.0,-123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,-1796,274,177,,707.0,,,707.0,-2954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,2223,310,263,,656.0,,,656.0,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,-639,-205,18,,582.0,,,582.0,-1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,-934,82,-48,,-5159.0,,,-5159.0,4191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-934.0,,,
03/31/1993,3707,243,220,,1849.0,,,1849.0,1395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,978,416,756,,-13.0,,,-13.0,-181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,-2314,420,282,,-1275.0,,,-1275.0,-1741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-1958,399,780,,-3109.0,,,-3109.0,-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1958.0,,,
03/31/1994,-1252,353,73,,-2979.0,,,-2979.0,1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,-489,357,525,,-962.0,,,-962.0,-409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,2562,369,651,,1458.0,,,1458.0,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,993,334,585,,-210.0,,,-210.0,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993.0,,,
03/31/1995,1109,353,516,,-244.0,,,-244.0,484,,,,-75.0,,-75.0,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,
06/30/1995,2030,410,632,,254.0,,,254.0,734,,,,-75.0,,-75.0,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,
