Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1997,103.778999,,,-53.342999,,,50.436001,,-14.335,,,,36.101002,-7.388,,9.895,,0.0,-2.507,28.713001,-10.1,,,,18.613001,0.0,,,18.613001,0.0,18.613001,0.0,,18.613001,18.613001,,35.048,0.53,0.53,0.53,37.226002,0.5,0.5,0.5,
06/30/1997,94.847,,,-55.837002,,,39.009998,,-19.07,,,,19.940001,-8.127,,10.259,,0.0,-2.132,11.813001,-4.4,,,,7.413,0.0,,,7.413001,0.0,7.413,0.0,,7.413,7.413,,35.028,0.21,0.21,0.21,35.028,0.21,0.21,0.21,
09/30/1997,150.354004,,,-109.390999,,,40.963005,,-32.292,,,,8.671,-25.719001,,24.110001,,0.0,1.609,-17.048001,6.0,,,,-11.048,1.518,,,-12.566001,0.0,-12.566,0.0,,-12.566,-12.566,,59.200001,-0.21,-0.18,-0.18,59.200001,-0.21,-0.18,-0.18,
12/31/1997,187.802002,,,-135.643997,,,52.158005,,-62.234001,,,,-10.076,-1390.964954,,33.285999,,0.0,1357.678955,-1401.040955,508.799988,,,,-892.241028,11.89,,,-904.130967,0.0,-904.130981,0.0,,-904.130981,-904.130981,,78.063004,-11.58,-11.43,-0.38,78.063004,-11.58,-11.43,-0.38,
03/31/1998,197.369003,,,-131.391998,,,65.977005,,-43.973999,,,,22.003,-62.247,,39.478001,,0.0,22.768999,-40.243999,13.4,,,,-26.844,0.0,,,-26.844,0.0,-26.844,0.0,,-26.844,-26.844,,100.544998,-0.27,-0.27,-0.16,100.544998,-0.27,-0.27,-0.16,
06/30/1998,183.647003,,,-140.421005,,,43.225998,,-43.959999,,,,-0.734,-49.774999,,41.016998,,0.0,8.758,-50.508999,17.700001,,,,-32.808998,0.0,,,-32.808998,0.0,-32.808998,0.0,,-32.808998,-32.808998,,99.939003,-0.33,-0.33,-0.29,99.939003,-0.33,-0.33,-0.29,
09/30/1998,173.462006,,,-144.903,,,28.559006,,-54.862999,,,,-26.304001,-41.897999,,41.821999,,0.0,0.076,-68.201999,24.299805,,,,-43.902,0.0,,,-43.902195,0.0,-43.902,0.0,,-43.902,-43.902,,99.939003,-0.44,-0.44,-0.44,99.939003,-0.44,-0.44,-0.44,
12/31/1998,157.014008,,,-144.143005,,,12.871002,,-52.061001,,,,-39.189999,-532.681011,,41.967999,,0.0,490.713013,-571.87101,-71.0,,,,-642.870972,0.0,,,-642.87101,0.0,-642.870972,0.0,,-642.870972,-642.870972,,100.291,-6.41,-6.41,-0.5,100.291,-6.41,-6.42,-0.51,
03/31/1999,147.151,,,-116.566,,,30.585,,-22.025,,,,8.56,-10.661,42.521,42.521,,0.0,-31.86,-2.101,-0.4,,,,-2.501,0.0,,,-2.501,0.0,-2.501,0.0,,-2.501,-2.501,,100.3,-0.02,-0.02,-0.02,100.3,-0.02,-0.02,-0.02,
06/30/1999,174.231,,,-105.859,,,68.372,,-28.113,,,,40.259,-115.375,46.903,46.903,,0.0,68.472,-75.116,0.5,,,,-74.616,0.0,,,-74.616,0.0,-74.616,0.0,,-74.616,-74.616,,100.3,-0.74,-0.74,-0.03,100.3,-0.74,-0.74,-0.03,
