Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2001,983.744995,0.0,0.0,0.0,141.960007,,,4.07,3.725,0.0,0.345,0.0,14.589,,,,,,160.619003,778.234009,1645.875,-867.640991,0.0,44.891998,0.0,0.0,0.0,,44.891998,823.126007,,142.410004,142.410004,,,,11.241,,,,,,52.010999,,,,52.010999,205.662003,229.414001,,,,,90.638,,,,,90.638,320.052001,525.714004,0.0,120.335999,,,,,332.369995,452.705994,5.325,458.030994,983.744998,
06/30/2001,958.387024,0.0,0.0,0.0,107.208,,,5.051,2.523,0.0,2.528,0.0,9.428,,,,,,121.686996,818.987,1702.886963,-883.900024,0.0,17.712999,0.0,0.0,0.0,,17.712999,836.699999,,111.969002,111.969002,,,,11.299,,,,,,-4e-06,,,,-4e-06,123.267998,207.255005,,,,,113.184998,,,,,113.184998,320.440003,443.708001,0.0,120.335999,,,0.0,,386.582001,506.918,7.761,514.679,958.387001,
09/30/2001,1442.081055,0.0,0.0,0.0,100.316002,,,9.946,2.113,0.0,7.833,0.0,52.483002,,,,,,162.744995,1192.637939,1898.360962,-705.723022,0.0,86.697998,66.822998,66.822998,0.0,,19.875,1279.335937,,118.929001,118.929001,,,,328.201996,,,,,,1.5e-05,,,,1.5e-05,447.131012,321.957001,,,,,159.584,,,,,159.584,481.541001,928.672013,0.0,120.335999,,,0.0,,385.309998,505.645997,7.763,513.408997,1442.08101,
12/31/2001,1533.140991,2.27,2.27,0.0,86.434998,,,19.372,5.127,0.0,14.245,0.0,83.299004,,,,,,191.376007,1247.833984,1979.16394,-731.330017,0.0,93.931,66.822998,66.822998,0.0,,27.108002,1341.764984,,97.553001,97.553001,,,,276.79599,,,,,,35.500008,,,,35.500008,409.848999,402.226013,,,,,186.268005,,,,,186.268005,588.494018,998.343017,0.0,120.335999,,,0.0,,406.092987,526.428986,8.369,534.797986,1533.141003,
03/31/2002,1474.581055,0.0,0.0,0.0,98.429001,,,10.339,5.329,0.0,5.01,0.0,11.797,,,,,,120.565002,1255.666992,2015.54895,-759.882019,0.0,98.348999,66.822998,66.822998,0.0,,31.526001,1354.015991,,113.431999,113.431999,,,,192.770996,,,,,,8e-06,,,,8e-06,306.203003,480.36499,,,,,171.052994,,,,,171.052994,651.417984,957.620987,0.0,120.335999,,,0.0,,388.251007,508.587006,8.373,516.960006,1474.580993,
06/30/2002,1508.302,1.355,1.355,,87.438,87.438,,7.645,,,3.411,4.234,48.0,,,,,,144.438,1264.82,2043.169,-778.349,,99.044,66.823,66.823,0.0,22.803,9.418,1363.864,,122.824,122.824,,,,197.426,,,,,,10.157,,,,10.157,330.407,459.46,,,,,179.787,,,,,179.787,639.247,969.654,,120.336,,,0.0,415.023,-4.745,530.614,8.034,538.648,1508.302,
09/30/2002,1515.108032,1.504,1.504,0.0,124.093002,80.693,,10.174,4.043,0.0,6.131,0.0,16.716999,,,,,,152.488007,1263.79895,2034.811035,-771.012024,0.0,98.820999,66.822998,66.822998,0.0,28.842,3.156001,1362.619949,,124.284,124.284,,,,70.122,,,,,,18.894995,,,,18.894995,213.300995,583.271973,,,,,176.348999,,,,,176.348999,759.620972,972.921967,0.0,120.335999,,,0.0,426.698,-12.953005,534.080994,8.105,542.185994,1515.107961,
12/31/2002,1523.697021,10.404,10.404,0.0,106.487,,,11.141,4.217,0.0,6.924,0.0,107.181999,,,,,,235.214005,1200.656006,1917.64502,-716.989014,0.0,87.827003,61.423,61.423,0.0,,26.404003,1288.483009,,95.622002,95.622002,,,,9.9,,,,,,69.481996,,,,69.481996,175.003998,550.0,,,,,223.197998,,,,,223.197998,773.197998,948.201996,0.0,120.335999,,,0.0,463.882996,-16.880005,567.33899,8.156,575.49499,1523.696986,
03/31/2003,1554.125,20.006001,20.006001,0.0,141.100006,,,10.938,4.269,0.0,6.669,0.0,66.231003,,,,,,238.274994,1221.970947,1960.677002,-738.705994,0.0,93.878998,61.423,61.423,0.0,,32.455998,1315.849945,,163.449005,163.449005,,,,25.1,,,,,,47.605002,,,,47.605002,236.154007,460.0,,,,,272.559998,,,,,272.559998,732.559998,968.714005,0.0,120.335999,,,0.0,488.493988,-31.398987,577.431,7.98,585.411,1554.125005,
06/30/2003,1570.203,16.615,16.615,,112.586,112.586,,18.354,,,13.917,4.437,96.97,,,,,,244.525,1228.307,1983.18,-754.873,,97.371,61.423,61.423,0.0,23.21,12.738,1325.678,,149.056,149.056,,,,78.5,,,,,,66.498,,,,66.498,294.054,405.0,,,,,272.79,,,,,272.79,677.79,971.844,,120.336,,,0.0,511.945,-41.879,590.402,7.957,598.359,1570.203,
