Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2013,20.0,41,37.0,7.0,6.0,1.0,-65.0,1.0,-29.0,-8.0,-29.0,0.0,-105.0,-27.0,3.0,3.0,0.0,-30.0,-30.0,0.0,0.0,0.0,0.0,-78.0,0.0,-78.0,0.0,0,-36,-22.0,0.0,0.0,0.0,0.0,-15,0.0,-15.0,1.0,-8.0,-129.0,27.0,11.0,
06/30/2013,42.0,46,37.0,26.0,6.0,20.0,-67.0,-32.0,-15.0,4.0,-24.0,0.0,-33.0,-30.0,0.0,0.0,0.0,-30.0,-30.0,0.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0,-24,-21.0,0.0,0.0,0.0,0.0,-2,1.0,-3.0,-1.0,0.0,-15.0,25.0,15.0,
09/30/2013,101.0,73,36.0,5.0,9.0,-4.0,-13.0,-40.0,-15.0,8.0,34.0,0.0,-27.0,-27.0,4.0,4.0,0.0,-31.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-49,-22.0,-2.0,-2.0,0.0,0.0,-25,1.0,-26.0,0.0,9.0,34.0,9.0,11.0,
12/31/2013,161.0,68,40.0,-46.0,6.0,-52.0,99.0,24.0,20.0,0.0,55.0,0.0,-34.0,-36.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9,-22.0,39.0,39.0,0.0,0.0,-8,21.0,-29.0,0.0,3.0,139.0,4.0,14.0,
03/31/2014,22.0,49,36.0,14.0,4.0,10.0,-77.0,-5.0,-42.0,-2.0,-28.0,0.0,-24.0,-24.0,1.0,1.0,0.0,-25.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,-62,-24.0,2.0,2.0,0.0,0.0,-40,11.0,-51.0,0.0,-3.0,-67.0,18.0,11.0,
06/30/2014,76.0,86,36.0,-5.0,5.0,-10.0,-41.0,-27.0,-11.0,4.0,-7.0,0.0,-23.0,-23.0,0.0,0.0,0.0,-23.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-68,-23.0,-1.0,-1.0,0.0,0.0,-45,6.0,-51.0,1.0,-1.0,-16.0,32.0,15.0,
09/30/2014,155.0,106,35.0,-10.0,5.0,-15.0,24.0,-8.0,-9.0,-4.0,45.0,0.0,2.0,-28.0,1.0,1.0,0.0,-29.0,-29.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0,-52,-24.0,1.0,1.0,0.0,0.0,-30,0.0,-30.0,1.0,-26.0,79.0,19.0,10.0,
12/31/2014,163.0,96,35.0,-54.0,4.0,-58.0,86.0,3.0,13.0,19.0,51.0,0.0,-41.0,-42.0,0.0,0.0,0.0,-42.0,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35,-23.0,50.0,50.0,0.0,0.0,9,11.0,-2.0,-1.0,-23.0,134.0,12.0,15.0,
03/31/2015,39.0,64,35.0,-35.0,4.0,-39.0,-25.0,4.0,-33.0,4.0,0.0,0.0,-36.0,-37.0,0.0,0.0,0.0,-37.0,-37.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,-71,-26.0,0.0,0.0,0.0,0.0,-47,6.0,-53.0,2.0,-41.0,-109.0,8.0,11.0,
06/30/2015,84.0,74,34.0,3.0,4.0,-1.0,-27.0,-32.0,6.0,-1.0,0.0,0.0,-17.0,-20.0,0.0,0.0,0.0,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-25,-25.0,-2.0,-2.0,0.0,0.0,3,3.0,0.0,-1.0,4.0,46.0,34.0,15.0,
