Date,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 3 Total Gains,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
09/30/2009,36,,,39,29.0,,13.0,0.438009,,,0.084337,,,
12/31/2009,26,0.0,26.0,38,35.0,73.0,21.0,0.299229,0.0,0.299229,0.059505,0.0,0.059505,
03/31/2010,64,,64.0,6,29.0,35.0,-4.0,0.719263,,0.719263,0.150143,,0.150143,
06/30/2010,166,0.0,166.0,0,17.0,17.0,-18.0,1.809067,0.0,1.809067,0.385169,0.0,0.385169,
09/30/2010,241,,241.0,0,20.0,20.0,,2.554861,,2.554861,0.551664,,0.551664,
12/31/2010,177,0.0,177.0,0,20.0,20.0,-5.0,1.920365,0.0,1.920365,0.386277,0.0,0.386277,
03/31/2011,143,0.0,143.0,11,23.0,34.0,,1.655284,0.0,1.655284,0.316799,0.0,0.316799,
06/30/2011,223,0.0,223.0,48,22.0,70.0,5.0,2.770531,0.0,2.770531,0.485796,0.0,0.485796,
09/30/2011,323,,323.0,168,14.0,182.0,14.0,4.220016,,4.220016,0.671336,,0.671336,
12/31/2011,297,0.0,297.0,67,22.0,89.0,-5.0,3.94056,0.0,3.94056,0.615213,0.0,0.615213,
03/31/2012,281,0.0,281.0,49,18.0,67.0,18.0,3.733723,0.0,3.733723,0.570026,0.0,0.570026,
06/30/2012,312,0.0,312.0,128,17.0,145.0,34.0,4.236253,0.0,4.236253,0.624787,0.0,0.624787,
09/30/2012,377,0.0,377.0,33,23.0,56.0,23.0,4.949455,0.0,4.949455,0.75272,0.0,0.75272,
12/31/2012,407,0.0,407.0,1,19.0,20.0,-9.0,5.588356,0.0,5.588356,0.817121,0.0,0.817121,
03/31/2013,304,0.0,304.0,55,17.0,72.0,17.0,4.379141,0.0,4.379141,0.616645,0.0,0.616645,
06/30/2013,219,0.0,219.0,95,11.0,106.0,11.0,3.262813,0.0,3.262813,0.444869,0.0,0.444869,
09/30/2013,418,0.0,418.0,31,12.0,43.0,12.0,6.270627,0.0,6.270627,0.88128,0.0,0.88128,
12/31/2013,456,0.0,456.0,50,11.0,61.0,,6.563984,0.0,6.563984,0.944627,0.0,0.944627,
03/31/2014,375,,375.0,40,0.0,40.0,0.0,5.283178,,5.283178,0.762924,,0.762924,
06/30/2014,365,,365.0,22,,22.0,,4.923118,0.0,4.923118,0.753261,0.0,0.753261,
09/30/2014,313,,313.0,34,0.0,34.0,0.0,3.957517,0.0,3.957517,0.643556,0.0,0.643556,
12/31/2014,290,0.0,290.0,19,0.0,19.0,,3.617313,0.0,3.617313,0.602472,0.0,0.602472,
03/31/2015,229,,229.0,51,,51.0,,2.811886,0.0,2.811886,0.473826,0.0,0.473826,
06/30/2015,349,,349.0,8,,8.0,,4.100094,,4.100094,0.713906,,0.713906,
09/30/2015,256,,256.0,37,,37.0,,2.926049,0.0,2.926049,0.525441,0.0,0.525441,
12/31/2015,159,,159.0,87,,87.0,,1.766863,0.0,1.766863,0.322666,0.0,0.322666,
03/31/2016,148,,148.0,129,,129.0,,1.581028,0.0,1.581028,0.297481,0.0,0.297481,
