Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2016,3407.0,3407.0,-2698.0,2698.0,709.0,0.0,-525.0,525.0,,0.0,184.0,-64.0,,39.0,,25.0,120.0,-42.0,78.0,0.0,0.0,0.0,78.0,63.0,141.0,0.0,0.0,141.0,191.05,50.05,,,,,,,,,
06/30/2016,2408.0,2408.0,-3112.0,3112.0,-704.0,0.0,134.0,222.0,99.0,-455.0,-570.0,-190.0,48.0,,0.0,142.0,-760.0,-152.0,-912.0,0.0,0.0,0.0,-912.0,1.0,-911.0,0.0,0.0,-911.0,-795.65,115.35,,,,,,,,,
09/30/2016,3024.0,3024.0,-2294.0,2294.0,730.0,0.0,-554.0,475.0,,79.0,176.0,-15.0,21.0,,0.0,-6.0,161.0,-70.0,91.0,0.0,0.0,0.0,91.0,-91.0,0.0,0.0,0.0,0.0,314.6,314.6,,,,,,,,,
12/31/2016,3329.0,3329.0,-2710.0,2710.0,619.0,0.0,-537.0,450.0,0.0,87.0,82.0,-43.0,28.0,,0.0,15.0,39.0,-41.0,-2.0,0.0,0.0,0.0,-2.0,256.0,254.0,0.0,-254.0,0.0,-256.75,-256.75,,,,,,,,,
03/31/2017,3064.0,3064.0,-2378.0,2378.0,686.0,0.0,-600.0,492.0,,108.0,86.0,-12.0,20.0,,0.0,-8.0,74.0,-8.0,66.0,0.0,0.0,0.0,66.0,2.0,68.0,0.0,-68.0,0.0,70.2,70.2,,,,,,,,,
06/30/2017,3015.0,3015.0,-2476.0,2476.0,539.0,0.0,-605.0,461.0,,144.0,-66.0,36.0,14.0,,0.0,-50.0,-30.0,10.0,-20.0,0.0,0.0,0.0,-20.0,20.0,0.0,0.0,0.0,0.0,118.3,118.3,417.35,0.0,0.0,0.283455,417.35,0.0,0.0,0.283455,
09/30/2017,5301.0,5301.0,-4349.0,4349.0,952.0,0.0,-1145.0,795.0,,350.0,-193.0,-50.0,41.0,,13.0,-4.0,-243.0,-114.0,-357.0,0.0,0.0,0.0,-357.0,223.0,-134.0,0.0,0.0,-134.0,150.232511,284.232511,428.0,-0.31,-0.31,0.351011,428.0,-0.31,-0.31,0.351011,
12/31/2017,5799.0,5799.0,-4940.0,4940.0,859.0,0.0,-970.0,788.0,,182.0,-111.0,-36.0,56.0,,-2.0,-18.0,-147.0,67.0,-80.0,0.0,0.0,0.0,-80.0,111.0,31.0,0.0,0.0,31.0,-69.944698,-100.944698,427.0,0.07,0.07,-0.163805,427.0,0.07,0.07,-0.166404,
03/31/2018,5399.0,5399.0,-4558.0,4558.0,841.0,0.0,-882.0,674.0,,208.0,-41.0,-64.0,46.0,,20.0,-2.0,-105.0,86.0,-19.0,0.0,0.0,0.0,-19.0,89.0,70.0,0.0,0.0,70.0,110.32,40.32,421.0,0.17,0.17,0.262043,422.0,0.17,0.17,0.262043,
06/30/2018,5548.0,5548.0,-4612.0,4612.0,936.0,0.0,-858.0,662.0,,196.0,78.0,-54.0,63.0,,34.0,-43.0,24.0,-62.0,-38.0,0.0,0.0,0.0,-38.0,19.0,-19.0,0.0,0.0,-19.0,180.715261,199.715261,414.0,-0.05,-0.05,0.43651,414.0,-0.05,-0.05,0.432404,
