Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2012,425.857,13.435,13.435,0,0.622,0.622,0,0.714,325.32,0.686,0.0,,,324.634,340.091,25.139,33.154,-8.015,0.0,60.627,60.21,51.889,8.321,0.417,85.766,,8.21,2.354,0.0,0.0,5.856,2.151,0,0.0,0.0,,2.151,325.303,7.356,0.0,324.266,335.664,26.399,26.399,0.0,0.0,,9.123,0.0,0.0,0.0,0.0,,1.767,35.522,371.186,,63.542,63.542,,0.0,-8.871,,54.671,0.0,54.671,425.857,
12/31/2013,575.478,13.362,13.362,0,1.705,1.705,0,0.578,462.103,2.133,,,0.15,456.148,477.748,38.671,50.211,-11.54,,59.059,58.598,51.889,6.709,0.461,97.73,,16.077,5.02,,,11.057,9.545,0,,,,9.545,457.361,10.99,1.107,455.779,482.983,72.42,72.42,,,,14.992,,,,,2.895,0.0,87.412,570.395,,34.435,0.457,33.978,0.0,-29.349,,5.086,-0.003,5.083,575.478,
03/31/2014,532.231,13.125,13.125,0,0.737,0.737,0,0.452,416.637,3.769,,,,409.587,430.951,42.514,55.371,-12.857,0.0,58.766,58.195,51.889,6.306,0.571,101.28,,13.519,3.31,0.239,,9.97,13.941,0,,,,13.941,410.809,11.979,0.472,409.218,438.269,72.376,72.376,,,,15.532,,,,,3.081,0.0,87.908,526.177,0.0,4.994,0.457,4.537,0.0,1.06,,6.054,0.0,6.054,532.231,
06/30/2014,440.195,13.968,13.968,0,0.906,0.906,0,0.519,321.099,1.615,,,0.015,315.999,336.492,45.358,59.488,-14.13,0.0,58.345,57.791,51.889,5.902,0.554,103.703,,10.935,2.62,,,8.315,0.893,0,,,,0.893,317.57,13.35,,315.629,329.398,26.528,26.528,,,,16.431,,,,,3.081,0.0,42.959,372.357,0.0,67.371,0.51,66.861,0.0,0.467,,67.838,0.0,67.838,440.195,
09/30/2014,522.956,18.473,18.473,0,1.468,1.468,0,0.384,398.006,1.581,,,,394.003,418.331,46.642,62.159,-15.517,0.0,57.983,57.388,51.889,5.499,0.595,104.625,,11.228,1.976,0.148,,9.104,0.845,0,,,,0.845,395.819,15.048,,393.633,407.892,26.341,26.341,,,,18.107,,,,,3.059,0.0,44.448,452.34,0.0,67.459,0.51,66.949,0.0,3.157,,70.616,0.0,70.616,522.956,
12/31/2014,798.942,25.144,25.144,0,2.794,2.794,0,0.195,665.26,1.952,0.0,,0.935,660.928,693.393,47.919,65.008,-17.089,0.0,57.63,56.985,51.889,5.096,0.645,105.549,,14.825,3.042,,0.0,11.783,0.855,0,,,,0.855,663.092,16.802,0.0,660.557,678.772,26.123,26.123,,,,19.909,0.0,0.0,0.0,0.0,3.107,0.0,46.032,724.804,0.0,68.475,0.538,67.937,0.0,5.663,,74.138,0.0,74.138,798.942,
03/31/2015,739.589,35.673,35.673,0,1.684,1.684,0,0.718,595.476,3.044,,,0.0,591.563,633.551,48.692,67.512,-18.82,0.0,57.346,56.582,51.889,4.693,0.764,106.038,,17.917,2.527,3.353,,12.037,0.862,0,,,,0.862,594.225,18.114,,591.563,613.004,25.652,25.652,,,,20.544,,,,,2.43,0.0,46.196,659.2,0.0,68.731,0.566,68.165,0.0,11.658,,80.389,0.0,80.389,739.589,
06/30/2015,699.182,42.667,42.667,0,2.562,2.562,0,0.326,546.392,3.212,,,0.0,542.807,591.947,50.115,70.816,-20.701,0.0,57.12,56.179,51.889,4.29,0.941,107.235,,18.869,2.968,1.931,,13.97,0.861,0,,,,0.861,545.765,20.077,,542.807,565.495,25.435,25.435,,,,21.882,,,,,1.805,0.0,47.317,612.812,0.0,68.766,0.571,68.195,0.0,17.604,,86.37,0.0,86.37,699.182,
09/30/2015,781.582,48.547,48.547,0,3.397,3.397,0,0.639,618.637,2.426,,,0.0,615.895,671.22,53.674,76.373,-22.699,0.0,56.688,55.775,51.889,3.886,0.913,110.362,,21.477,3.853,1.608,,16.016,0.875,0,,,,0.875,619.224,22.657,,615.895,641.576,25.206,25.206,,,,23.121,,,,,0.464,0.0,48.327,689.903,0.0,70.228,0.571,69.657,0.0,21.451,,91.679,0.0,91.679,781.582,
12/31/2015,876.655,50.714,50.714,0,2.354,2.354,0,1.093,706.977,3.531,0.0,0.0,6.743,696.703,761.138,58.858,83.752,-24.894,0.0,56.659,55.373,51.889,3.484,1.286,115.517,,26.219,4.899,,0.0,21.32,0.886,0,0.0,0.0,,0.886,700.429,25.31,0.0,696.703,727.534,24.856,24.856,0.0,0.0,,25.951,0.0,0.0,0.0,0.0,0.641,0.0,50.807,778.341,0.0,71.706,0.571,71.135,0.0,26.608,,98.314,0.0,98.314,876.655,
