Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1988,21608.0,,,,,,,,,,,,,,,,,,,,,,,,,,1225.0,,,1225.0,1225.0,,5268.815918,0.2325,0.2325,0.2325,5268.815918,0.2325,0.2325,0.2325,
12/31/1988,22685.0,,,,,,,,,,,,,,,,,,,,,,,,,,1380.0,,,1380.0,1380.0,,5207.547852,0.265,0.265,0.265,5207.547852,0.265,0.265,0.265,
03/31/1989,21950.0,,,,,,,,,,,,,,,,,,,,,,,,,,1810.0,,,1810.0,1810.0,,5134.751953,0.3525,0.3525,0.3525,5134.751953,0.3525,0.3525,0.3525,
06/30/1989,23381.0,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,140.0,140.0,,5090.908203,0.0275,0.0275,0.0275,5090.908203,0.0275,0.0275,0.0275,
09/30/1989,23432.0,,,,,,,,,,,,,,,,,,,,,,,,,,1075.0,,,1075.0,1075.0,,5058.824219,0.2125,0.2125,0.2125,5058.824219,0.2125,0.2125,0.2125,
12/31/1989,26410.0,,,,,,,,,,,,,,,,,,,,,,,,,,485.0,,,485.0,485.0,,5243.244141,0.0925,0.0925,0.0925,5243.244141,0.0925,0.0925,0.0925,
03/31/1990,24127.0,,-15535.0,,,8592.0,,-6270.0,,,2322.0,-61.0,,391.0,,,,-330.0,2261.0,-910.0,1351.0,0.0,,,1351.0,-71.0,1280.0,-19.0,,1261.0,1261.0,,4998.175781,0.2525,0.2525,,4998.175781,0.2525,0.2525,0.2525,
06/30/1990,23444.0,,-14712.0,,,8732.0,,-6851.0,,,1881.0,98.0,,321.0,,,,-419.0,1979.0,-769.0,1210.0,0.0,,,1210.0,-110.0,1100.0,-19.0,,1081.0,1081.0,,4991.631836,0.2175,0.2175,,4991.631836,0.2175,0.2175,0.2175,
09/30/1990,26086.0,,-16868.0,,,9218.0,,-7255.0,,,1963.0,-49.0,,240.0,,,,-191.0,1914.0,-781.0,1133.0,0.0,,,1133.0,-58.0,1075.0,-19.0,,1056.0,1056.0,,4987.200195,0.2125,0.2125,,4987.200195,0.2125,0.2125,0.2125,
12/31/1990,31862.0,,-21171.0,,,10691.0,,-8251.0,,,2440.0,-142.0,,348.0,,-240.0,,34.0,2298.0,-710.0,1588.0,0.0,,,1588.0,-33.0,1555.0,-18.0,,1537.0,1537.0,,4982.370116,0.3075,0.3075,0.3075,4982.370116,0.3075,0.3075,0.3075,
03/31/1991,27237.0,,-16783.0,,,10454.0,,-7176.0,,,3278.0,244.0,,248.0,,,,-492.0,3522.0,-1181.0,2341.0,0.0,,,2341.0,-101.0,2240.0,-18.0,,2222.0,2222.0,,4980.096192,0.445,0.445,0.445,4980.096192,0.445,0.445,0.445,
06/30/1991,24251.0,,-15317.0,,,8934.0,,-7212.0,,,1722.0,112.0,,173.0,,,,-285.0,1834.0,-662.0,1172.0,0.0,,,1172.0,-47.0,1125.0,-17.0,,1108.0,1108.0,,4977.051758,0.225,0.225,,4977.051758,0.225,0.225,0.225,
