Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2017,10521.0,10521.0,-8586.0,8586.0,1935.0,0.0,-948.0,500.0,218.0,230.0,987.0,-83.0,197.0,213.0,-16.0,-110.0,-4.0,904.0,-219.0,685,0.0,0.0,0.0,685.0,-12.0,673,,0.0,673,747.1,74.1,739.7,0.9,0.9,1.010004,751.7,0.89,0.89,0.988577,
06/30/2017,10936.0,10936.0,-8969.0,8969.0,1967.0,0.0,-899.0,446.0,204.0,249.0,1068.0,68.0,205.0,217.0,-12.0,-22.0,-251.0,1136.0,-276.0,860,0.0,0.0,0.0,860.0,-30.0,830,,0.0,830,916.45,86.45,745.4,1.11,1.11,1.229474,756.0,1.09,1.09,1.204352,
09/30/2017,11254.0,11254.0,-9129.0,9129.0,2125.0,0.0,-1109.0,460.0,203.0,446.0,1016.0,-88.0,218.0,235.0,-17.0,-128.0,-2.0,928.0,-460.0,468,0.0,0.0,0.0,468.0,-23.0,445,,0.0,445,659.5,214.5,746.8,0.59,0.59,0.883101,754.2,0.59,0.59,0.874407,
12/31/2017,11019.0,11019.0,-9666.0,9666.0,1353.0,0.0,-3579.0,389.0,178.0,3012.0,-2226.0,-505.0,228.0,249.0,-21.0,-134.0,411.0,-2731.0,-569.0,-3300,-1882.0,-1882.0,0.0,-1418.0,-65.0,-1483,,0.0,-1483,-1441.0,1924.0,747.3,-1.984477,-4.502877,-1.928275,747.3,-1.984477,-4.502877,-1.928275,
03/31/2018,12296.0,12296.0,-10022.0,10022.0,2274.0,0.0,-1090.0,482.0,210.0,398.0,1184.0,13.0,241.0,261.0,-20.0,-201.0,-53.0,1197.0,-236.0,961,0.0,0.0,0.0,961.0,-21.0,940,,0.0,940,1160.41,220.41,747.2,1.26,1.26,1.553011,747.2,1.26,1.26,1.553011,
06/30/2018,12789.0,12789.0,-10540.0,10540.0,2249.0,0.0,-1126.0,485.0,221.0,420.0,1123.0,-64.0,243.0,261.0,-18.0,-193.0,14.0,1059.0,-249.0,810,-554.0,-554.0,0.0,1364.0,-31.0,1333,0.0,0.0,1333,1026.0,247.0,747.2,1.78,1.05,1.373126,747.2,1.78,1.05,1.373126,
09/30/2018,12634.0,12634.0,-10456.0,10456.0,2178.0,0.0,-1080.0,409.0,193.0,478.0,1098.0,-104.0,236.0,258.0,-22.0,-135.0,3.0,994.0,-280.0,714,-335.0,-335.0,0.0,1049.0,-36.0,1013,0.0,0.0,1013,966.26,288.26,747.2,1.36,0.91,1.293175,747.2,1.36,0.91,1.293175,
12/31/2018,11944.0,11944.0,-10098.0,10098.0,1846.0,0.0,-1126.0,406.0,178.0,542.0,720.0,-175.0,260.0,282.0,-22.0,-26.0,-59.0,545.0,-54.0,491,-432.0,-432.0,0.0,923.0,-32.0,891,0.0,0.0,891,751.0,292.0,747.2,1.19,0.63,1.005086,747.2,1.19,0.63,1.005086,
03/31/2019,10969.0,10969.0,-9142.0,9142.0,1827.0,0.0,-1362.0,448.0,190.0,724.0,465.0,-168.0,223.0,241.0,-18.0,14.0,-69.0,297.0,-141.0,156,-445.0,-445.0,0.0,601.0,-45.0,556,0.0,0.0,556,664.0,553.0,747.2,0.74,0.16,0.888651,747.2,0.74,0.16,0.888651,
06/30/2019,11014.0,11014.0,-9420.0,9420.0,1594.0,0.0,-1147.0,422.0,208.0,517.0,447.0,-232.0,216.0,237.0,-21.0,15.0,1.0,215.0,-125.0,90,0.0,0.0,0.0,90.0,-15.0,75,0.0,0.0,75,649.0,574.0,742.8,0.1,0.1,0.873721,747.9,0.1,0.1,0.867482,
09/30/2019,10764.0,10764.0,-9377.0,9377.0,1387.0,0.0,-993.0,388.0,194.0,411.0,394.0,43.0,214.0,233.0,-19.0,44.0,-301.0,437.0,-90.0,347,0.0,0.0,0.0,347.0,-14.0,333,0.0,0.0,333,1103.0,770.0,739.8,0.45,0.45,1.490943,743.0,0.45,0.45,1.486339,
12/31/2019,10204.0,10204.0,-8718.0,8718.0,1486.0,0.0,-3554.0,332.0,173.0,3049.0,-2068.0,-128.0,199.0,222.0,-23.0,21.0,-92.0,-2196.0,-114.0,-2310,0.0,0.0,0.0,-2310.0,-13.0,-2323,0.0,0.0,-2323,577.0,2900.0,740.2,-3.14,-3.14,0.779519,740.2,-3.14,-3.14,0.77786,
03/31/2020,9770.0,9770.0,-8230.0,8230.0,1540.0,0.0,-774.0,334.0,179.0,261.0,766.0,-370.0,200.0,215.0,-15.0,89.0,81.0,396.0,-138.0,258,0.0,0.0,0.0,258.0,-19.0,239,0.0,-2.0,237,424.36,187.36,740.2,0.32,0.32,0.573305,742.0,0.32,0.32,0.572507,
06/30/2020,8354.0,8354.0,-7610.0,7610.0,744.0,0.0,-691.0,357.0,182.0,152.0,53.0,-236.0,194.0,200.0,-6.0,95.0,-53.0,-183.0,-34.0,-217,0.0,0.0,0.0,-217.0,-8.0,-225,0.0,-2.0,-227,-191.0,36.0,739.3,-0.31,-0.31,-0.258352,739.3,-0.31,-0.31,-0.261305,
09/30/2020,8919.118,,,,1130.58739768,,,,,,351.091,,,,,,,150.73,,-325,,,,,,-325,,,-325,86.964,,,-0.44,-0.44,0.128,,-0.44,-0.44,0.128,
12/31/2020,9367.118,,,,1274.30273272,,,,,,571.545,,,,,,,357.9,,223,,,,,,223,,,223,230.714,,,0.26,0.26,0.307,,0.26,0.26,0.307,
