Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Free Cash Flow,Price/Share,Market Cap,Enterprise Value,EV/Total Revenues,Source: Bloomberg
06/30/2014,9.487021,24.813896,24.901435,24.752013,1.845434,2.034126,1.333432,2.463648,17.71,7420.49,142019.49,24.767961,
09/30/2014,9.647677,24.756402,24.80089,24.220932,1.747137,1.918388,1.314623,3.463203,17.71,7261.1,138982.1,24.191836,
12/31/2014,11.391281,24.389571,26.078232,24.178222,2.069371,2.268796,1.608337,5.470554,21.61,8687.22,146773.22,26.046712,
03/31/2015,9.847898,25.98733,26.133559,25.844912,1.935113,2.235389,1.518876,5.216543,20.33,7908.805977,142281.805977,25.799058,
06/30/2015,9.556361,25.7581,26.043542,25.642462,1.733403,2.013166,1.372363,4.505899,18.21,6810.54,138538.54,25.992221,
09/30/2015,6.07282,25.764248,26.099013,25.530582,1.04787,1.218592,0.847879,2.862541,11.24,4068.88,133876.88,25.904969,
12/31/2015,6.490661,25.971519,26.116419,25.010859,1.022269,1.247207,0.830312,2.264079,11.45,3996.05,129829.05,24.981537,
03/31/2016,6.971775,24.925293,25.334358,24.798925,1.035413,1.268905,0.856201,2.487363,11.97,3950.1,128089.1,25.30405,
06/30/2016,6.684608,25.357041,25.436046,25.182627,1.032917,1.273919,0.839498,2.550527,11.95,3800.1,124454.1,25.152405,
09/30/2016,8.760496,25.268118,25.346281,24.199498,1.181782,1.448434,0.953208,3.080751,14.47,4384.41,121762.41,24.159208,
12/31/2016,9.945515,24.232877,24.362759,23.867199,1.291943,1.577715,1.04839,3.858982,16.43,4778.897459,118251.897459,23.826697,
03/31/2017,9.310452,23.778421,23.892849,23.318009,1.153125,1.409718,0.914643,3.291672,14.76,4206.6,114612.6,23.29998,
06/30/2017,10.77324,23.31911,23.641637,23.234925,1.288729,1.582963,0.981554,4.034656,16.65,4562.1,118129.1,23.62582,
09/30/2017,8.594688,23.504546,23.650557,22.705531,1.120323,1.411311,0.842699,3.684934,15.02,3950.26,114564.26,22.672523,
12/31/2017,7.155251,22.540705,22.702276,21.578715,1.014428,1.325202,0.704873,3.176107,13.32,3503.833619,111799.833619,21.578814,
03/31/2018,6.842931,21.570857,21.64674,20.199492,0.955953,1.226384,0.652814,3.252132,13.12,3476.8,109037.8,20.203409,
06/30/2018,6.503356,20.208377,20.289723,19.024178,0.929712,1.184139,0.624419,3.423141,13.03,3452.95,105303.95,19.025104,
09/30/2018,6.706761,19.03792,19.09116,18.381641,0.933899,1.186166,0.635334,3.946057,13.48,3477.84,102461.84,18.365628,
12/31/2018,5.248781,18.272314,18.392551,17.890761,0.619472,0.79763,0.41184,2.010111,8.81,2179.922375,99862.922375,17.874158,
03/31/2019,6.622975,17.979297,18.049424,17.196562,0.809684,1.048006,0.525056,2.843996,11.57,2777.215224,97229.215224,17.187417,
06/30/2019,7.893148,17.243219,17.285762,16.774132,0.951075,1.239929,0.600085,2.878334,13.65,3139.5,94965.5,16.75172,
09/30/2019,6.987632,16.743389,16.810143,16.680874,0.873086,1.142027,0.550899,2.348505,12.8,2828.8,93030.8,16.660244,
12/31/2019,5.535295,16.694451,16.73442,16.620738,0.881655,1.140442,0.577126,3.104559,13.68,2941.2,91919.2,16.718661,
03/31/2020,3.071595,16.674118,18.08657,16.359524,0.723979,1.148322,0.336649,1.282509,7.58,1473.297562,90151.297562,18.088142,
06/30/2020,2.431283,18.099457,19.172516,18.026832,0.644832,0.996216,0.326333,1.346493,7.03,1363.82,87312.82,19.172776,
09/12/2020,2.90854706396248,,,,0.771413697587683,1.19177499663839,0.390392391313372,1.61081149894447,8.41,1630.92669234,87579.92669234,19.2314287861968,
09/30/2020,3.01541771244174,,,,0.719418306244654,,,,,,,,
12/31/2020,3.11596887736199,,,,0.680971659919028,,,,,,,,
