Date,Returns,Return on Common Equity,Return on Assets,Return on Invested Capital,Margins,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
03/31/2008,,,,,,,44.023235,,,,26.931747,26.931747,,,,,
06/30/2008,,,,,,,50.375912,,,,30.979618,30.979618,,,,,
09/30/2008,,,,,,,49.541153,,,,31.454146,31.454146,,,,,
12/31/2008,,,,,,,35.092429,,,,24.503885,24.503885,,,,,
03/31/2009,,,,,,40.163934,33.860685,-207.614093,27.674952,19.704448,19.704448,15.376932,,28.800425,0.0,,
06/30/2009,,,,,,,38.506412,,,,23.615935,23.615935,,,,,
09/30/2009,,,,,,,47.593338,,,,29.711161,29.711161,,,,,
12/31/2009,,,,,,,42.338047,151.57773,42.338047,42.338047,25.637126,25.637126,,,,,
03/31/2010,,,,,,51.737011,45.200668,66.569784,40.106716,26.242299,26.242299,22.000537,,34.568817,0.0,,
06/30/2010,,,,,,51.584303,45.368235,71.286492,40.50809,26.597091,26.597091,22.634314,,34.341286,0.0,,
09/30/2010,,,,,,50.72321,43.94071,10.785199,39.587121,29.911782,29.911782,25.855537,,24.440624,0.0,,
12/31/2010,,,,,,29.028504,22.313158,,18.908088,16.437816,16.437816,16.437816,,13.064628,0.0,,
03/31/2011,,24.898553,7.290757,11.333421,,53.23544,45.481735,49.786859,42.482771,29.129318,29.129318,29.129318,,31.432631,0.0,24.898553,
06/30/2011,,25.458772,7.783241,11.873534,,50.132998,44.624589,40.986126,40.106398,27.35577,27.35577,27.35577,,31.792004,0.0,25.458772,
09/30/2011,,25.679197,7.836895,11.976843,,51.74685,45.988839,56.12643,44.042678,30.186346,30.186346,30.186346,,31.461149,0.0,25.679197,
12/31/2011,,20.500619,7.736996,11.095893,,44.8252,38.692922,90.613751,36.230023,26.949201,26.949201,26.949201,,25.616384,0.0,20.500619,
03/31/2012,,20.259133,7.510153,11.77574,,51.222933,44.111107,39.783845,41.271166,28.788698,28.788698,28.788698,,30.24501,0.0,20.259133,
06/30/2012,,21.120396,8.476384,12.716669,,53.368642,47.403096,57.319116,45.80142,31.661623,31.661623,31.661623,,30.871963,0.0,21.120396,
09/30/2012,,21.581709,8.464174,12.964194,,52.459718,45.917232,45.734934,44.182376,31.908929,31.908929,31.908929,,27.779056,0.0,21.581709,
12/31/2012,,25.062802,8.568509,12.106498,,52.704363,45.983802,62.345294,44.013582,29.647562,29.647562,29.647562,,32.639971,0.0,25.062802,
