Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1998,17,926,6,,,,,,,,,,,-604,-18,0,,,-18,,,0,0.0,0,,,,,-586,1306,0,-2,,,,149,149,0,1159,,719,0.0,,
06/30/1998,-79,-34,10,,,,,,,,,,,-1765,-100,26,,,-126,,,0,0.0,0,,,,,-1665,776,0,1934,,,,1,1,0,-1159,,-1068,,,
09/30/1998,190,-49,15,,,,,,,,,,,-288,-265,0,,,-265,,,0,0.0,0,,,,,-23,1013,0,-2,,,,0,0,0,1015,,915,,,
12/31/1998,-4,-39,35,,,,,,,,,,,-286,-500,1,,,-501,,,0,0.0,0,,,,,214,439,0,484,,,,3,4,-1,-48,,149,,,
03/31/1999,55,-105,41,,,,,,,,,,,-1536,-402,5,,,-407,,,0,0.0,0,,,,,-1134,1501,0,-3,,,,1504,1504,0,0,,20,0.0,,
06/30/1999,104,-44,51,,,,,,,,,,,-176,-802,6,,,-808,,,0,0.0,0,,,,,626,5,0,0,,,,5,5,0,0,,-67,,,
09/30/1999,249,-147,63,,,,,,,,,,,-318,-939,0,,,-939,,,0,0.0,0,,,,,621,760,0,1248,,,,7,7,0,-495,,691,,,
12/31/1999,29,-191,73,,,,,,,,,,,-799,-1281,1,,,-1282,,,0,0.0,0,,,,,482,497,0,-2,,,,4,4,0,495,,-273,,193.0,
03/31/2000,138,-271,88,,,,,,,,,,,-4197,-1286,0,,,-1286,,,-2906,1490.0,-4396,,,,,-5,5372,0,2967,,,,2413,2413,0,-8,,1313,0.0,37.0,
06/30/2000,316,-281,139,,,,,,,,,,,-1317,-1742,10,,,-1752,,,0,0.0,0,,,,,425,126,0,131,,,,6,6,0,-11,,-875,,,
