Date,P/Book,Average,High,Low,P/Sales,EV/Total Revenues,Price/Share,Enterprise Value,Source: Bloomberg
09/30/1980,,,,,,,21.1875,,
12/31/1980,,,,,,,19.4375,,
03/31/1981,,,,,,,23.0,,
06/30/1981,,,,,,,23.5,,
09/30/1981,,,,,,,22.25,,
12/31/1981,,,,,,,21.9375,,
03/31/1982,,,,,,,25.3125,,
06/30/1982,,,,,,,21.5,,
09/30/1982,,,,,,,21.875,,
12/31/1982,,,,,,,24.125,,
03/31/1983,,,,,,,30.25,,
06/30/1983,,,,,,,29.875,,
09/30/1983,,,,,,,31.0,,
12/31/1983,,,,,,,31.75,,
03/31/1984,,,,,,,33.875,,
06/30/1984,,,,,,,28.5,,
09/30/1984,,,,,,,33.625,,
12/31/1984,,,,,,,37.25,,
03/31/1985,,,,,,,41.25,,
06/30/1985,,,,,,,46.25,,
09/30/1985,,,,,,,41.875,,
12/31/1985,,,,,,,48.0,,
03/31/1986,,,,,,,56.125,,
06/30/1986,,,,,,,50.0,,
09/30/1986,,,,,,,43.125,,
12/31/1986,,,,,,,44.625,,
03/31/1987,,,,,,,47.125,,
06/30/1987,,,,,,,45.0,,
09/30/1987,,,,,,,45.375,,
12/31/1987,,,,,,,35.125,,
03/31/1988,,,,,,,35.125,,
06/30/1988,,,,,,,36.75,,
09/30/1988,,,,,,,35.375,,
12/31/1988,,,,,,,34.75,,
03/31/1989,,,,,,,39.0,,
06/30/1989,,,,,,,40.625,,
09/30/1989,,,,,,,41.5,,
12/31/1989,,,,,,,36.875,,
03/31/1990,0.694603,,,,,,32.375,1907.626539,
06/30/1990,0.631526,1725.474306,2718.643429,1599.988546,,,29.75,2708.320176,
09/30/1990,0.542612,2292.329246,2718.643429,1737.429699,,,21.5,1984.056048,
12/31/1990,0.400891,1278.016514,2018.528317,179.158943,0.150826,0.016402,16.625,185.57622,
03/31/1991,0.560138,526.634323,904.369919,166.435944,0.218651,0.028278,23.625,313.393476,
06/30/1991,0.515907,315.065318,891.541761,120.941603,0.202717,0.082929,21.75,914.335852,
09/30/1991,0.440425,739.791342,1058.333385,-161.308868,0.170263,,19.0,-157.413979,
12/31/1991,0.490713,-74.991586,2185.707689,-326.241724,0.194419,0.192614,21.625,2191.373462,
03/31/1992,0.450924,2163.665208,2367.522184,1990.906445,0.185855,0.192825,20.25,2158.77067,
06/30/1992,0.455148,2156.829339,2660.017482,2082.719599,0.197083,0.247551,20.625,2670.701343,
09/30/1992,0.746258,2728.219668,3157.967548,2339.552532,0.218561,0.384023,22.5,4084.967651,
12/31/1992,0.852612,3260.135008,3529.524124,2803.366598,0.297259,0.400576,27.25,3875.572144,
03/31/1993,0.829587,2854.509426,3738.879959,2546.277958,0.326102,0.496544,27.5,4824.524872,
06/30/1993,0.947148,4841.979218,5585.092346,3620.313961,0.414529,0.528691,32.0,5121.855988,
09/30/1993,1.128092,5286.213175,6101.841228,4822.099884,0.545879,0.600805,37.625,5728.318016,
