Date,P/E,Average,High,Low,P/Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
06/30/2015,,11909.70114,11909.70114,11909.70114,0.990335,,,,,,,17.76,11909.70452,
09/30/2015,,11902.951844,12314.695832,11239.513993,0.864691,,,,,,,15.33,11239.513905,
12/31/2015,13.168925,11368.743148,11531.348403,11122.383175,1.073668,0.66805,4.057008,8.4703,2.408829,8.558314,20.918582,16.18,11295.134787,
03/31/2016,13.853885,11071.302568,11620.724502,10578.458751,1.114545,0.70984,3.880504,7.151575,2.223792,7.782855,20.161302,18.25,11391.095588,
06/30/2016,8.989169,11352.208084,11670.533582,11125.730087,1.105127,0.731044,3.434768,5.887635,2.259106,7.553622,18.69865,18.74,11597.2579,
09/30/2016,12.17156,12266.607053,12838.135113,11486.679557,1.432767,0.942195,5.227063,10.838936,2.469995,8.238308,19.629846,24.38,12838.135061,
12/31/2016,8.920812,13333.049643,13998.104179,12824.062698,1.68225,0.997793,18.108697,,2.582802,8.627552,20.155613,25.52,13311.492436,
03/31/2017,7.848319,13369.645658,13802.265143,11900.093653,1.331472,0.952751,12.927259,,2.374799,8.182497,20.165563,23.7,11933.17347,
06/30/2017,11.542486,11269.161639,11928.238483,10703.339996,,0.747053,6.248432,,,,,18.3,,
09/30/2017,,11136.072584,12304.7448,10642.610914,1.878355,1.013086,14.200839,,2.503731,13.371045,,24.55,12304.5975,
12/31/2017,,12533.152323,13392.564593,11942.38436,2.689966,1.090278,7.137137,,2.717043,13.985641,,26.51,13419.362624,
03/31/2018,,13655.032646,14248.867634,13273.127526,2.786388,1.088768,10.110392,,2.695834,13.520671,504.504673,26.73,13461.193698,
06/30/2018,,13437.381005,14246.552028,12268.938968,1.744536,0.951208,130.936606,,2.465518,15.711293,279.554834,23.24,12268.823,
09/30/2018,11.611746,11975.137801,12684.905148,11302.429315,1.474573,0.819824,12.918186,,2.355624,7.651617,14.459743,19.75,11567.9825,
12/31/2018,9.960085,10963.845916,11692.911742,10355.292677,1.652528,0.617938,99.66471,,2.420293,8.645824,18.072976,14.63,11693.052995,
03/31/2019,6.009121,11839.135044,12327.977089,10702.913396,1.010567,0.556282,26.77228,,2.244167,7.98401,17.038846,12.99,10702.91689,
06/30/2019,10.176204,10825.790308,11066.408497,10562.007992,1.016294,0.551932,4.091931,113.394978,2.210026,6.938519,16.507245,12.97,10610.6257,
09/30/2019,8.809557,10667.882242,10985.620575,10283.898012,1.110041,0.605179,4.059145,27.713468,2.207259,7.149229,17.752145,14.21,10591.640082,
12/31/2019,13.812308,10613.877644,11695.924935,10323.829796,1.845545,0.639349,2.468203,4.51021,2.443878,7.674491,18.357261,14.97,11695.924935,
03/31/2020,,10946.549055,11755.211182,8703.705231,0.576933,0.265514,0.972734,1.716437,1.899922,7.612792,33.258712,5.95,8703.705231,
06/30/2020,,9082.800335,9862.85357,8499.269898,1.014126,0.45677,2.202066,4.004955,2.363778,14.600115,,8.9,9418.0375,
09/06/2020,,,,,1.29557418790871,0.583536697134178,2.8132016008749,5.1164425877761,2.49171630285159,15.3903401092484,,11.37,9927.78513291244,
09/30/2020,,,,,1.6312769010043,0.627370836113231,3.45382746051033,,2.67403059119292,8.14298824806314,,,,
12/31/2020,,,,,1.516,0.592827437006872,2.74836838288615,,2.52679692871276,7.41765541962586,,,,
