Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,12403,248,248,0.0,1767,,,,1474,,,,,132,,,,,3621.0,7458,,,0.0,,1324,,,,,,1324.0,8782,,1892,1892,,,,1169,,,,,,0,,,,0,3061,2461,,,,,1028,,,,1028,3489,6550,0.0,,,,,,5296,5296,557.0,5853,12403,
06/30/1990,12891,244,244,0.0,1772,,,,1521,,,,,209,,,,,3746.0,7733,,,0.0,,1412,,,,,,1412.0,9145,,1937,1937,,,,1331,,,,,,0,,,,0,3268,2575,,,,,1018,,,,1018,3593,6861,0.0,1293.0,,,-317.0,,4469,5445,585.0,6030,12891,
09/30/1990,13222,305,305,0.0,1793,,,,1543,,,,,201,,,,,3842.0,7935,,,0.0,,1445,,,,,,1445.0,9380,,1993,1993,,,,1375,,,,,,0,,,,0,3368,2591,,,,,1060,,,,1060,3651,7019,0.0,1297.0,,,-315.0,,4604,5586,617.0,6203,13222,
12/31/1990,13669,256,256,0.0,1798,,,,1638,,,,,247,,,,,3939.0,8038,12407.0,-4369.0,0.0,,1692,,,,,,1692.0,9730,,1094,1094,,,,1087,,,,,,974,,,,974,3155,3096,,,,,1135,,,,1135,4231,7386,0.0,1051.0,,,-309.0,,4890,5632,651.0,6283,13669,
03/31/1991,13931,272,272,0.0,1883,,,,1672,,,,,258,,,,,4085.0,8187,,,0.0,,1659,,,,,,1659.0,9846,,1932,1932,,,,1035,,,,,,0,,,,0,2967,3311,,,,,1166,,,,1166,4477,7444,0.0,1414.0,,,-303.0,,4667,5778,709.0,6487,13931,
06/30/1991,13891,185,185,0.0,1838,,,,1617,,,,,239,,,,,3879.0,8170,,,0.0,,1842,,,,,,1842.0,10012,,1785,1785,,,,1297,,,,,,0,,,,0,3082,3195,,,,,1182,,,,1182,4377,7459,0.0,1326.0,,,-297.0,,4725,5754,678.0,6432,13891,
09/30/1991,14243,341,341,0.0,1852,,,,1621,,,,,244,,,,,4058.0,8284,,,0.0,,1901,,,,,,1901.0,10185,,1799,1799,,,,1489,,,,,,0,,,,0,3288,3226,,,,,1204,,,,1204,4430,7718,0.0,1319.0,,,-283.0,,4801,5837,688.0,6525,14243,
12/31/1991,14941,238,238,0.0,1841,,,,1780,,,,,272,,,,,4131.0,8591,9937.0,-1346.0,0.0,,2219,,,,,,2219.0,10810,,1110,1110,,,,1699,,,,,,918,,,,918,3727,3351,,,,,1044,,,,1044,4395,8122,0.0,1147.0,,,-235.0,,4827,5739,1080.0,6819,14941,
03/31/1992,14886,175,175,0.0,1917,,,,1811,,,,,246,,,,,4149.0,8555,,,0.0,,2182,,,,,,2182.0,10737,,1942,1942,,,,1219,,,,,,0,,,,0,3161,3212,,,,,1064,,,,1064,4276,7437,0.0,1974.0,,,-226.0,,4643,6391,1058.0,7449,14886,
06/30/1992,15705,232,232,,1995,,,,1924,,,,,268,,,,,4419.0,8762,,,0.0,,2524,,,,,,2524.0,11286,,2144,2144,,,,1544,,,,,,0,,,,0,3688,3365,,,,,1078,,,,1078,4443,8131,0.0,1992.0,,,-219.0,,4704,6477,1097.0,7574,15705,
