Date,Assets,Cash & Near Cash Items,Accounts & Notes Receivable,Inventories,Other Current Assets,Total Current Assets,LT Investments & LT Receivables,Net Fixed Assets,Gross Fixed Assets,Accumulated Depreciation,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Liabilities & Shareholders' Equity,Accounts Payable,Short-Term Borrowings,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,,14.0,359.299988,346.0,31.1,750.400024,0.0,1064.199951,1816.099976,-751.900024,248.899994,1313.099945,2063.5,,281.600006,142.800003,,424.399994,181.399994,463.299988,644.699982,1069.099976,268.5,8.2,77.599998,640.099976,994.399974,2063.499949,
06/30/1990,,10.2,354.799988,357.899994,39.799999,762.700012,0.0,1078.900024,1859.5,-780.599976,243.300003,1322.200027,2084.899902,,279.299988,268.0,,547.299988,182.600006,468.700012,651.300018,1198.600006,268.5,8.1,77.699997,532.0,886.299997,2084.900003,
09/30/1990,,18.299999,350.899994,356.5,38.0,763.700012,0.0,1109.699951,1924.099976,-814.400024,248.899994,1358.599945,2122.300049,,292.100006,254.300003,,546.400024,187.800003,472.5,660.300003,1206.700027,268.299988,8.8,77.599998,560.900024,915.600011,2122.300038,
12/31/1990,,24.6,302.700012,349.200012,50.099998,726.599976,0.0,1147.400024,1967.800049,-820.400024,272.299988,1419.700012,2146.300049,,119.599998,255.100006,170.100006,544.799988,233.199997,461.600006,694.800003,1239.599991,268.299988,7.5,77.599998,553.299988,906.699974,2146.299965,
03/30/1991,,12.4,331.799988,335.700012,56.200001,736.099976,0.0,1127.5,1957.199951,-829.700012,271.700012,1399.200012,2135.300049,,271.5,226.699997,,498.200012,276.5,471.100006,747.600006,1245.800018,268.0,7.7,77.699997,536.099976,889.499972,2135.299991,
06/30/1991,,9.5,333.0,335.0,58.200001,735.700012,0.0,1118.599976,1960.59375,-842.0,270.600006,1389.199982,2124.899902,,260.200012,215.5,,475.700012,295.899994,466.299988,762.199982,1237.899994,268.0,9.8,77.699997,531.5,886.999997,2124.899991,
09/30/1991,,11.0,351.899994,327.600006,44.0,734.5,0.0,1131.300049,2003.300049,-872.0,274.600006,1405.900055,2140.399902,,279.600006,191.600006,,471.200012,297.799988,458.799988,756.599976,1227.799988,267.700012,10.4,77.699997,556.799988,912.599997,2140.399984,
12/31/1991,,8.2,305.299988,336.399994,68.900002,718.799988,0.0,1152.900024,2034.5,-881.599976,278.200012,1431.100036,2149.899902,,103.0,216.100006,160.800003,479.899994,301.399994,472.700012,774.100006,1254.0,267.700012,10.4,77.699997,540.099976,895.899985,2149.899985,
03/31/1992,,7.0,367.100006,325.700012,62.799999,762.599976,0.0,1130.199951,2024.5,-894.299988,274.0,1404.199951,2166.800049,,287.5,228.100006,,515.599976,289.700012,474.799988,764.5,1280.099976,267.200012,10.6,77.800003,531.099976,886.699991,2166.799967,
06/30/1992,,7.2,369.200012,342.100006,61.099998,779.599976,0.0,1134.199951,2068.75,-934.599976,288.899994,1423.099945,2202.699951,,287.100006,243.0,,530.099976,291.5,472.600006,764.100006,1294.199982,267.200012,9.2,78.0,554.099976,908.499988,2202.699969,
09/30/1992,,8.8,370.600006,340.100006,67.599998,787.099976,0.0,1097.800049,2100.399902,-1002.599976,246.800003,1344.600052,2131.699951,,326.600006,233.699997,,560.299988,295.0,453.399994,748.399994,1308.699982,266.399994,10.1,78.0,468.5,822.999994,2131.699976,
12/31/1992,,15.2,302.600006,319.399994,75.5,712.700012,0.0,1072.0,2008.300049,-936.299988,225.100006,1297.100006,2009.800049,,94.0,233.100006,218.5,545.599976,266.600006,624.5,891.100006,1436.699982,266.399994,10.3,78.0,218.399994,573.099988,2009.79997,
03/31/1993,,5.6,342.700012,311.399994,51.0,710.700012,0.0,1059.0,2018.199951,-959.200012,227.899994,1286.899994,1997.599976,,293.5,239.600006,,533.099976,263.399994,628.900024,892.300018,1425.399994,265.200012,10.0,78.300003,218.699997,572.200012,1997.600006,
06/30/1993,,10.9,336.0,308.5,46.799999,702.200012,0.0,1050.400024,2030.875,-980.5,230.600006,1281.000031,1983.199951,,281.799988,234.0,,515.799988,514.5,369.799988,884.299988,1400.099976,265.200012,10.1,78.400002,229.399994,583.100008,1983.199984,
