Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Home Equity Loans,1-4 Family Residential Loans,Auto Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,6526.036133,223.882004,232.802002,,,1196.27599,,,,,2782.0,,,1973.043945,,,,,,4755.043945,-61.550999,4693.493164,66.25,,,,,,,0.0,113.332973,,495.106995,4685.067993,1543.31897,3141.749023,0.0,5180.174805,825.497986,,,,,13.059,,,,,,,,,,105.418999,6124.150789,0.0,136.085007,,,70.740997,,195.05899,401.884995,0.0,401.884995,6526.035784,
06/30/1990,6569.064941,216.143997,208.779999,,,1072.620052,,,,,2903.0,,,2019.269043,,,,,,4922.269043,-65.758003,4856.51123,66.421997,,,,,,,0.0,148.587666,,542.163025,4523.563965,1569.238037,2954.325928,0.0,5065.727051,987.875977,,,,,4.14,,,,,,,,,,98.380997,6156.124024,0.0,136.020004,,,-71.444,,348.36499,412.940994,0.0,412.940994,6569.065018,
09/30/1990,7922.23877,191.102005,983.598022,,,1167.600018,,,,,3005.0,,,2454.641113,,,,,,5459.641113,-70.569,5389.071777,65.827003,,,,,,,0.0,125.039944,,549.953003,5639.690918,2043.522949,3596.167969,0.0,6189.644043,1198.128052,,,,,4.008,,,,,,,,,,104.769997,7496.550091,0.0,135.957001,,,-71.053001,,360.784996,425.688995,0.0,425.688995,7922.239087,
12/31/1990,7715.384766,235.804993,468.904999,,,1548.485039,,,,,1083.392944,,,4198.503906,,,,,90.996002,5372.893066,-74.982002,5297.911064,65.554001,,,,,,,0.0,98.72467,,622.48999,5578.520019,2190.412109,3388.10791,0.0,6201.009766,972.646973,,,,,2.375,,,,,,,,,,102.140999,7278.172738,0.0,135.824005,,,-70.049004,,371.437004,437.212005,0.0,437.212005,7715.384743,
03/31/1991,7390.762207,199.082001,118.373001,,,1567.927997,,,,,,,,,,,,,,5368.867188,-79.723,5289.144043,66.732002,,,,,,,0.0,149.503163,,508.665985,5525.10791,2341.313965,3183.793945,0.0,6033.773926,743.864014,,,,,3.176,,,,,,,,,,119.492996,6900.306936,40.0,135.800995,,,-69.624001,,384.277992,490.454987,0.0,490.454987,7390.761922,
06/30/1991,9665.478516,237.613007,732.419983,,,2142.498962,,,,,,,,,,,,,,6399.033203,-89.842003,6309.190918,76.393997,,,,,,,0.0,167.361649,,630.630981,7466.64209,3269.167969,4197.474121,0.0,8097.272949,918.645996,,,,,10.237,,,,,,,,,,133.675995,9159.831941,40.0,135.761002,,,-67.472,,397.357986,505.646988,0.0,505.646988,9665.478929,
09/30/1991,8805.427734,225.682007,181.410995,,,2135.178947,,,,,,,,,,,,,,6105.729004,-101.813004,6003.916016,88.571999,,,,,,,0.0,170.66777,,649.541992,7006.26001,3428.985107,3577.274902,0.0,7655.801758,467.807007,,,,,10.272,,,,,,,,,,151.042999,8284.923764,40.0,135.725998,,,-66.688004,,411.466019,520.504013,0.0,520.504013,8805.427777,
12/31/1991,9171.066406,269.167999,67.350998,,,2711.642975,,,,,3385.657959,,,2489.353027,,,,,88.843002,5963.854004,-100.264999,5863.589005,88.837997,,,,,,,0.0,170.477432,,655.875977,6818.447998,3525.322021,3293.125977,0.0,7474.324219,1022.429993,,,,,9.477,,,,,,,,,,129.059998,8635.29121,40.0,135.774002,,,-66.426003,,426.42701,535.775009,0.0,535.775009,9171.066219,
03/31/1992,9018.734375,239.906998,311.278015,,,2372.249084,,,,,3475.0,,,2496.659912,,,,,,5971.660156,-110.495003,5861.165039,90.668999,,,,,,,0.0,143.46624,,624.890991,6540.949951,3627.513916,2913.436035,0.0,7165.84082,1149.479004,,,,,2.256,,,,,,,,,,140.738007,8458.313831,40.0,135.757996,,,-65.714996,,450.376984,560.419983,0.0,560.419983,9018.733814,
06/30/1992,8751.676758,256.230988,492.118011,,,1797.977037,,,,,3484.0,,,2636.770996,,,,,,6120.770996,-127.695,5993.076172,91.327003,,,,,,,0.0,120.947546,,743.203003,6389.907959,3667.856934,2722.051025,0.0,7133.11084,918.080994,,,,,2.122,,,,,,,,,,113.450996,8166.76483,40.0,136.003998,,,-65.638,,474.54599,584.911987,0.0,584.911987,8751.676817,
09/30/1992,10265.666016,273.752991,916.794006,,,1814.249943,,,,,,,,,,,,,,7111.62793,-148.660995,6962.966797,127.688004,,,,,,,0.0,170.214275,,936.130981,7223.031738,4406.342773,2816.688965,0.0,8159.163086,1342.862061,,,,,2.1,,,,,,,,,,158.867004,9662.992151,40.0,135.938995,,,-65.226997,,491.961983,602.673981,0.0,602.673981,10265.666131,
12/31/1992,9587.930664,264.506012,422.502014,,,1908.27893,,,,,2564.917969,,,4196.023926,,,,,88.662003,6849.604004,-151.690002,6697.914002,128.783005,,,,,,,0.0,165.946701,,1078.689941,6998.419922,4344.334961,2654.084961,0.0,8077.109863,692.690979,,,,,75.684998,,,,,,,,,,115.650002,8961.135842,40.0,137.302994,,,-60.492001,,509.984005,626.794998,0.0,626.794998,9587.93084,
03/31/1993,10423.005859,396.549988,1259.564941,,,1748.409973,,,,,,,,,,,,,,6886.897949,-161.809998,6725.087891,129.018005,,,,,,,0.0,164.375061,,983.223022,6804.441162,4296.934082,2507.50708,0.0,7787.664062,1774.709961,,,,,75.662003,,,,,,,,,,135.839996,9773.876022,40.0,137.591003,,,-59.126999,,530.666,649.130005,0.0,649.130005,10423.006027,
06/30/1993,10456.806641,274.455994,447.914001,,,2590.394073,,,,,,,,,,,,,,7020.603027,-172.727005,6847.875977,130.610992,,,,,,,0.0,165.555603,,995.999023,6594.933838,4261.507812,2333.426025,0.0,7590.933105,1997.31897,,,,,75.639,,,,,,,,,,122.671997,9786.563072,40.0,137.572998,,,-58.842999,,551.513988,670.243988,0.0,670.243988,10456.80706,
09/30/1993,10930.194336,365.781006,834.820984,,,2535.68898,,,,,,,,,,,,,,7091.551758,-187.477005,6904.075195,132.332993,,,,,,,0.0,157.495178,,1104.677979,6433.01709,4251.184082,2181.833008,0.0,7537.694824,2501.935059,,,,,75.614998,,,,,,,,,,122.481003,10237.725883,40.0,138.201996,,,-58.762001,,573.027992,692.467987,0.0,692.467987,10930.193871,
12/31/1993,10364.958008,195.792007,384.472992,,,2438.967087,,,,,1470.422974,,,5699.509766,,,,,91.166,7261.099121,-195.878006,7065.221115,134.873993,,,,,,,0.0,145.630814,,1052.258057,6301.00293,4129.672852,2171.330078,0.0,7353.26123,2101.666992,,,,,75.589996,,,,,,,,,,110.445999,9640.964217,40.0,138.274002,,,-58.75,,604.469971,723.993973,0.0,723.993973,10364.95819,
03/31/1994,10411.62207,284.644012,618.440979,,,2164.377045,,,,,,,,,,,,,,7239.869141,-213.041,7026.828125,133.587997,,,,,,,0.0,183.743912,,989.630005,6339.454102,4177.721191,2161.73291,0.0,7329.083984,2159.754883,,,,,75.565002,,,,,,,,,,122.242996,9686.646866,40.0,138.296997,,,-64.998001,,611.67598,724.974976,0.0,724.974976,10411.621841,
