Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,69.602997,29.764999,29.764999,0.0,16.128,,,7.571,,,,,1.757,,,55.221001,12.92,18.825001,-5.905,0.0,,1.462,,,,1.462,14.382,,18.43,18.43,,,,1.089,,,,,7.411999,,,7.411999,26.931,1.326,,,,0.0,,,,,,0.0,1.326,28.257,28.617001,13.555,,,0.0,,-0.826,41.346001,0.0,41.346001,69.603001,
06/30/1998,148.100998,67.339998,64.710999,2.629,24.226,,,11.473,,4.299,7.174,,2.744,,,105.782997,16.305,23.829,-7.524,25.094,,0.919,0.0,,,0.919,42.318,,15.28,15.28,,,,0.088999,,,,,4.005002,,,4.005002,19.374001,0.045,,,,0.0,,,,,,0.0,0.045,19.419001,0.0,120.625,,,0.0,,8.057,128.682,0.0,128.682,148.101001,
09/30/1998,162.337006,57.650002,42.706001,14.944,22.356001,,,5.877,1.282,3.132,1.463,,6.514,,,92.397003,24.649,34.544998,-9.896,43.152,,2.139,0.0,,,2.139,69.940001,,13.465,13.465,,,,0.11,,,,,7.019,,,7.019,20.594,0.0,,,,0.0,,,,,,0.0,0.0,20.594,0.0,124.654999,,,0.0,,17.087999,141.742998,0.0,141.742998,162.336998,
12/31/1998,260.580994,106.855003,72.511002,34.344002,42.278999,,,7.325,0.0,3.546,3.779,0.0,16.184999,,,172.643997,31.6,43.811001,-12.211,42.826,,13.511,0.0,,,13.511,87.937,,22.374001,22.374001,,,,7.252,,,,,11.352,,,11.352,40.978001,4.1,,,,0.0,,,,,,0.0,4.1,45.078001,0.0,206.932007,,,0.0,,8.570801,215.502808,0.0,215.502808,260.580808,
03/31/1999,282.355011,120.801003,73.456001,47.345001,42.041,42.041,,15.284,1.765,9.296,4.223,0.0,13.359,,,191.485001,32.029999,44.398998,-12.369,42.124001,,16.716,0.0,0.0,0.0,16.716,90.869999,,28.066,28.066,,,,0.0,0.0,0.0,0.0,,13.713999,,,13.713999,41.779999,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,41.779999,0.0,189.856003,,,0.0,57.786999,-7.067997,240.575005,0.0,240.575005,282.355003,
06/30/1999,336.151,162.665,98.379,64.286,48.0,48.0,,7.341,0.339,2.849,4.153,0.0,16.653,,,234.659,37.797,55.467999,-17.671,28.106,,35.589,0.0,0.0,0.0,35.589,101.492,,24.585,24.585,,,,0.331,0.331,0.0,0.0,,26.066,,,26.066,50.982,0.894,-0.331,1.225,1.225,0.0,,,,,,0.0,0.894,51.876,0.0,256.57,,,0.0,35.629,-7.924,284.275,0.0,284.275,336.151,
09/30/1999,456.221008,226.273994,147.925995,78.348,64.459999,64.459999,,12.257,0.0,9.327,2.93,0.0,20.266001,,,323.256989,43.247002,64.396004,-21.149,20.072001,,69.644997,0.0,0.0,0.0,69.644997,132.963999,,54.796001,54.796001,,,,0.415,0.415,0.0,0.0,,35.176,,,35.176,90.387001,0.865,0.865,0.0,0.0,0.0,,,,,,0.0,0.865,91.252001,0.0,314.446991,,,0.0,58.222,-7.700001,364.96899,0.0,364.96899,456.220991,
12/31/1999,609.752991,270.874992,180.815994,90.058998,92.124001,92.124001,,19.177,0.0,11.878,7.299,0.0,21.33,,,403.506012,51.151001,78.116997,-26.966,9.351,,145.744995,0.0,0.0,0.0,145.744995,206.246996,,46.458,46.458,,,,0.0,0.0,0.0,0.0,,46.422997,,,46.422997,92.880997,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,92.880997,0.0,451.304993,,,0.0,80.030998,-14.463997,516.871994,0.0,516.871994,609.752991,
03/31/2000,749.036987,326.116005,235.214005,90.902,91.515999,91.515999,,30.990999,0.0,17.035,13.956,0.0,30.417,,,479.040009,51.074001,81.027,-29.952999,0.0,,218.923004,0.0,,,218.923004,269.997005,,55.855999,55.855999,,,,0.471,0.471,0.0,0.0,,35.113003,,,35.113003,91.440002,0.395,0.395,0.0,0.0,0.0,,,,,,0.0,0.395,91.835002,0.0,541.078979,,,0.0,127.089996,-10.966995,657.201981,0.0,657.201981,749.036983,
06/30/2000,941.505981,379.862007,280.880005,98.982002,117.074997,117.074997,,38.617001,0.0,23.214001,15.403,0.0,34.696999,,,570.250977,62.785999,98.719002,-35.932999,0.0,,308.468994,0.0,,,308.468994,371.254993,,62.400002,62.400002,,,,1.167,1.167,0.0,0.0,,33.164001,,,33.164001,96.731003,0.966,0.966,0.0,0.0,0.0,,,,,,0.0,0.966,97.697003,0.0,681.09198,,,0.0,174.557007,-11.840012,843.808975,0.0,843.808975,941.505978,
