Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/1990,449,335,195,1,,,1,-82,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,304,342,208,1,,,1,-247,,,,-247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,596,336,213,20,,,20,27,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,816,295,233,-171,,,-171,459,,,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816.0,
03/31/1991,195,300,232,-15,,,-15,-322,,,,-322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,365,299,236,-29,,,-29,-141,,,,-141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,572,296,233,-5,,,-5,48,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,777,259,268,-127,,,-127,377,,,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777.0,
03/31/1992,513,303,306,115,,,115,-211,,,,-211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,460,317,254,29,,,29,-140,,,,-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,764,324,258,-4,,,-4,186,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,540,289,269,-228,,,-228,210,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.0,
03/31/1993,521,330,253,130,,,130,-192,,,,-192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,467,331,264,31,,,31,-159,,,,-159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,612,316,262,41,,,41,-7,,,,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,491,286,297,-188,,,-188,96,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.0,
03/31/1994,436,306,265,0,,,0,-135,,,,-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,413,343,270,0,,,0,-200,,,,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,587,341,267,0,,,0,-21,,,,-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,493,332,70,159,,,159,-68,,,,-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,588,376,209,1,,,1,2,,,,2,,,-250.0,,,,-250.0,,,,,,,,,,250.0,,,,,,,,,,,,,
06/30/1995,479,353,281,0,,,0,-155,,,,-155,,,-293.0,,,,-293.0,,,,,,,,,,293.0,,,,,,,,,,,,,
09/30/1995,434,344,273,0,,,0,-183,,,,-183,,,-265.0,,,,-265.0,,,,,,,,,,265.0,,,,,,,,,,,,,
12/31/1995,759,-97,32,655,,,655,169,,,,169,,,-280.0,,,,-280.0,,,,,,,,,,280.0,,,,,,,,,,,,,
03/31/1996,516,362,217,-48,,,-48,-15,,,,-15,,,-232.0,,,,-232.0,,,,,,,,,,232.0,,,,,,,,,,,,,
06/30/1996,534,381,223,8,,,8,-78,,,,-78,,,-255.0,,,,-255.0,,,,,,,,,,255.0,,,,,,,,,,,,,
09/30/1996,347,398,219,-13,,,-13,-257,,,,-257,,,-272.0,,,,-272.0,,,,,,,,,,272.0,,,,,,,,,,,,,
12/31/1996,814,385,224,100,,,100,105,,,,105,,,-350.0,,,,-350.0,,,,,,,,,,350.0,,,,,,,,,,,,,
03/31/1997,382,410,217,-74,,,-74,-171,,,,-171,,-298.0,-296.0,0.0,,,-296.0,,,0.0,0.0,0.0,,,,,-2.0,-294.0,-221.0,45.0,,,,-130.0,119.0,-249.0,12.0,,-210.0,
06/30/1997,541,418,217,-49,,,-49,-45,,,,-45,,-325.0,-360.0,0.0,,,-360.0,,,0.0,0.0,0.0,,,,,35.0,-198.0,-220.0,154.0,,,,-146.0,106.0,-252.0,14.0,,18.0,
09/30/1997,643,927,220,-334,,,-334,-170,,,,-170,,658.0,-346.0,0.0,,,-346.0,,,0.0,0.0,0.0,,,,,1004.0,-1386.0,-220.0,-501.0,,,,-659.0,69.0,-728.0,-6.0,,-85.0,
12/31/1997,140,366,216,-384,,,-384,-58,,,,-58,,-392.0,-366.0,38.0,,,-404.0,,,0.0,0.0,0.0,,,,,-26.0,176.0,-215.0,779.0,,,,-403.0,61.0,-464.0,15.0,,-76.0,
03/31/1998,375,400,213,-91,,,-91,-147,,,,-147,,-401.0,-338.0,0.0,,,-338.0,,,0.0,0.0,0.0,,,,,-63.0,-24.0,-222.0,258.0,,,,-60.0,127.0,-187.0,0.0,,-50.0,
06/30/1998,392,386,214,-94,,,-94,-114,,,,-114,,-367.0,-374.0,0.0,,,-374.0,,,0.0,0.0,0.0,,,,,7.0,14.0,-223.0,325.0,,,,-104.0,86.0,-190.0,16.0,,39.0,
09/30/1998,731,178,217,131,,,131,205,,,,205,,-356.0,-344.0,0.0,,,-344.0,,,0.0,0.0,0.0,,,,,-12.0,-390.0,-221.0,66.0,,,,-197.0,32.0,-229.0,-38.0,,-15.0,
12/31/1998,876,211,222,352,,,352,91,,,,91,,-448.0,-349.0,25.0,,,-374.0,,,0.0,0.0,0.0,,,,,-99.0,-421.0,-221.0,-78.0,,,,35.0,47.0,-12.0,-157.0,,7.0,
03/31/1999,828,384,223,-30,,,-30,251,,,,251,,-329.0,-289.0,0.0,,,-289.0,,,0.0,0.0,0.0,,,,,-40.0,-457.0,-225.0,-240.0,,,,35.0,67.0,-32.0,-27.0,,42.0,
06/30/1999,885,476,226,87,,,87,96,,,,96,,-24.0,-224.0,0.0,,,-224.0,,,0.0,0.0,0.0,,,,,200.0,-856.0,-227.0,-558.0,,,,-58.0,133.0,-191.0,-13.0,,5.0,
09/30/1999,699,459,220,-44,,,-44,64,,,,64,,-169.0,-214.0,0.0,,,-214.0,,,0.0,0.0,0.0,,,,,45.0,-486.0,-225.0,-99.0,,,,-162.0,93.0,-255.0,0.0,,44.0,
12/31/1999,626,444,153,530,,,530,-501,,,,-501,,-592.0,-204.0,108.0,,,-312.0,,,0.0,0.0,0.0,,,,,-388.0,51.0,-224.0,556.0,,,,-250.0,97.0,-347.0,-31.0,,85.0,
03/31/2000,573,487,228,21,,,21,-163,,,,-163,,-233.0,-244.0,0.0,,,-244.0,,,,,,,,,,11.0,-513.0,-231.0,-48.0,,,,-273.0,68.0,-341.0,39.0,,-173.0,
06/30/2000,580,470,229,10,,,10,-129,,,,-129,,-550.0,-222.0,0.0,,,-222.0,,,,,,,,,,-328.0,176.0,-229.0,490.0,,,,-96.0,61.0,-157.0,11.0,,206.0,
09/30/2000,615,499,280,78,,,78,-242,,,,-242,,-101.0,-207.0,0.0,,,-207.0,,,,,,,,,,106.0,-611.0,-229.0,-237.0,,,,-104.0,73.0,-177.0,-41.0,,-97.0,
12/31/2000,558,326,288,-132,,,-132,76,,,,76,,-489.0,-338.0,104.0,,,-442.0,,,,,,,,,,-151.0,-90.0,-229.0,31.0,,,,84.0,223.0,-139.0,24.0,,-21.0,
03/31/2001,715,453,247,49,,,49,-34,,,,-34,,-440.0,-272.0,9.0,,,-281.0,,,,,,,,,,-168.0,-2.0,-239.0,444.0,,,,-219.0,123.0,-342.0,12.0,,273.0,
06/30/2001,725,202,256,10,,,10,257,,,,257,,-272.0,-253.0,13.0,,,-266.0,,,,,,,,,,-19.0,-462.0,-238.0,79.0,,,,-307.0,203.0,-510.0,4.0,,-9.0,
09/30/2001,820,394,295,-67,,,-67,198,,,,198,,-194.0,-195.0,24.0,,,-219.0,,,,,,,,,,1.0,-753.0,-236.0,-240.0,,,,-213.0,47.0,-260.0,-64.0,,-127.0,
12/31/2001,818,381,291,39,,,39,107,,,,107,,-144.0,-158.0,56.0,,,-214.0,,,,,,,,,,14.0,-497.0,-235.0,-174.0,,,,-121.0,89.0,-210.0,33.0,,177.0,
03/31/2002,671,452,250,89,,,89,-120,,,,-120,,-143.0,-145.0,16.0,,,-161.0,,,,,,,,,,2.0,-554.0,-242.0,11.0,,,,-296.0,124.0,-420.0,-27.0,,-26.0,
06/30/2002,925,466,246,8,,,8,205,,,,205,,-185.0,-193.0,9.0,,,-202.0,,,,,,,,,,8.0,-665.0,-241.0,-296.0,,,,-50.0,235.0,-285.0,-78.0,,75.0,
09/30/2002,397,545,232,-504,,,-504,124,,,,124,,-238.0,-148.0,19.0,,,-167.0,,,,,,,,,,-90.0,-3.0,-242.0,303.0,,,,-41.0,67.0,-108.0,-23.0,,156.0,
12/31/2002,999,511,226,33,,,33,229,,,,229,,-1361.0,-195.0,38.0,,,-233.0,,,,,,,,,,-1166.0,159.0,-243.0,427.0,,,,-33.0,96.0,-129.0,8.0,,-203.0,
03/31/2003,764,502,234,114,,,114,-86,,,,-86,,-465.0,-51.0,69.0,,,-120.0,,,,,,,,,,-414.0,-356.0,-257.0,-38.0,,,,-13.0,160.0,-173.0,-48.0,,-57.0,
06/30/2003,1126,619,241,40,,,40,226,,,,226,,-149.0,-133.0,11.0,,,-144.0,,,,,,,,,,-16.0,-564.0,-258.0,-311.0,,,,3.0,110.0,-107.0,2.0,,413.0,
09/30/2003,617,663,242,-310,,,-310,22,,,,22,,-122.0,-144.0,8.0,,,-152.0,,,,,,,,,,22.0,-190.0,-260.0,-23.0,,,,41.0,155.0,-114.0,52.0,,305.0,
12/31/2003,1266,619,247,-106,,,-106,506,,,,506,,-233.0,-220.0,41.0,,,-261.0,,,,,,,,,,-13.0,-476.0,-259.0,-68.0,,,,-161.0,130.0,-291.0,12.0,,557.0,
03/31/2004,942,722,252,88,,3.0,85,-120,-185.0,-57.0,,122,,-219.0,-158.0,0.0,,,-158.0,,,,,,,,,,-61.0,-741.0,-282.0,-133.0,,,,-304.0,134.0,-438.0,-22.0,,-18.0,
06/30/2004,1295,773,245,112,,4.0,108,165,-38.0,-72.0,,275,,-216.0,-220.0,0.0,,,-220.0,,,,,,,,,,4.0,-583.0,-282.0,-153.0,,,,-136.0,218.0,-354.0,-12.0,,496.0,
09/30/2004,722,775,243,-138,,214.0,-352,-158,69.0,-3.0,,-224,,-212.0,-235.0,0.0,,,-235.0,,,,,,,,,,23.0,-624.0,-281.0,15.0,,,,-372.0,71.0,-443.0,14.0,,-114.0,
12/31/2004,1323,720,259,142,,92.0,50,202,210.0,139.0,,-147,,-291.0,-255.0,69.0,,,-324.0,,,,,,,,,,-36.0,-475.0,-280.0,160.0,,,,-471.0,85.0,-556.0,116.0,,557.0,
03/31/2005,971,771,242,45,,0.0,45,-87,-168.0,-114.0,55.0,140,,-302.0,-215.0,20.0,,,-235.0,,,0.0,0.0,0.0,,,,,-87.0,-757.0,-324.0,107.0,,,,-444.0,227.0,-671.0,-96.0,,-88.0,
06/30/2005,1154,754,237,37,,-70.0,107,126,-123.0,-79.0,,328,,-181.0,-209.0,8.0,,,-217.0,,,,,,,,,,28.0,-1877.0,-323.0,-1098.0,,,,-408.0,106.0,-514.0,-48.0,,-904.0,
09/30/2005,913,840,255,32,,112.0,-80,-214,-22.0,-21.0,,-171,,-1481.0,-204.0,4.0,,,-208.0,,,,,,,,,,-1277.0,651.0,-321.0,1399.0,,,,-441.0,183.0,-624.0,14.0,,83.0,
12/31/2005,1166,746,252,88,,90.0,-2,80,129.0,-80.0,,31,,-277.0,-274.0,9.0,,,-283.0,,,,,,,,,,-3.0,-1665.0,-318.0,-893.0,,,,-485.0,83.0,-568.0,31.0,,-776.0,
03/31/2006,618,899,246,-100,,-5.0,-95,-427,-239.0,-200.0,73.0,-61,,-588.0,-174.0,16.0,,,-190.0,,,0.0,0.0,0.0,,,,,-414.0,-190.0,-347.0,269.0,,,,-144.0,107.0,-251.0,32.0,,-160.0,
06/30/2006,800,882,233,26,,-63.0,89,-341,-31.0,-152.0,,-158,,-251.0,-252.0,9.0,,,-261.0,,,,,,,,,,1.0,-474.0,-348.0,72.0,,,,-228.0,299.0,-527.0,30.0,,75.0,
09/30/2006,1099,894,249,-55,,-43.0,-12,11,-114.0,-23.0,,148,,-590.0,-284.0,28.0,,,-312.0,,,,,,,,,,-306.0,-497.0,-342.0,1078.0,,,,-1192.0,51.0,-1243.0,-41.0,,12.0,
12/31/2006,1322,1176,351,-774,,-205.0,-569,569,281.0,66.0,,222,,-31.0,-405.0,0.0,,,-405.0,,,,,,,,,,374.0,-843.0,-339.0,-284.0,,,,-204.0,126.0,-330.0,-16.0,,448.0,
03/31/2007,580,1368,254,-1018,,-222.0,-796,-24,-319.0,-107.0,49.0,353,,13.0,-300.0,4.0,,,-304.0,,,,,,,,,,313.0,-343.0,-350.0,1061.0,,,,-1059.0,105.0,-1164.0,5.0,,250.0,
06/30/2007,1104,917,279,179,,-10.0,189,-271,-151.0,-32.0,,-88,,-364.0,-325.0,23.0,,,-348.0,,,,,,,,,,-39.0,-1089.0,-346.0,-173.0,,,,-610.0,425.0,-1035.0,40.0,,-349.0,
09/30/2007,1035,960,263,-226,,53.0,-279,38,12.0,50.0,,-24,,-827.0,-316.0,63.0,,,-379.0,,,,,,,,,,-511.0,119.0,-343.0,740.0,,,,-333.0,224.0,-557.0,55.0,,327.0,
12/31/2007,1556,851,276,310,,190.0,120,119,423.0,35.0,,-339,,-189.0,-378.0,13.0,,,-391.0,,,,,,,,,,189.0,-1146.0,-341.0,-406.0,,,,-367.0,116.0,-483.0,-32.0,,221.0,
03/31/2008,997,988,268,1,,3.0,-2,-260,-264.0,-86.0,20.0,70,,-464.0,-294.0,4.0,,,-298.0,,,0.0,0.0,0.0,,,,,-170.0,298.0,-353.0,1122.0,,,,-426.0,84.0,-510.0,-45.0,,831.0,
06/30/2008,1243,945,285,314,,16.0,298,-301,-141.0,-85.0,,-75,,-1003.0,-332.0,2.0,,,-334.0,,,0.0,0.0,0.0,,,,,-671.0,-1420.0,-351.0,-809.0,,,,-419.0,153.0,-572.0,159.0,,-1180.0,
09/30/2008,1168,991,293,-20,,14.0,-34,-96,36.0,-8.0,,-124,,-542.0,-302.0,74.0,,,-376.0,,,0.0,0.0,0.0,,,,,-240.0,67.0,-348.0,1181.0,,,,-474.0,41.0,-515.0,-292.0,,693.0,
12/31/2008,1125,536,307,-78,,66.0,-144,360,566.0,52.0,,-258,,-390.0,-456.0,7.0,,,-463.0,,,0.0,0.0,0.0,,,,,66.0,-1126.0,-346.0,-457.0,,,,-2.0,32.0,-34.0,-321.0,,-391.0,
03/31/2009,695,518,271,-314,83.0,46.0,-443,220,8.0,288.0,-165.0,89,0.0,-18.0,-229.0,15.0,15.0,0.0,-244.0,-244.0,0.0,0.0,0.0,0.0,-9.0,0.0,-9.0,0.0,220.0,-907.0,-354.0,-598.0,-512.0,0.0,-86.0,34.0,34.0,0.0,11.0,13.0,-217.0,
06/30/2009,1466,783,298,257,49.0,-61.0,269,128,-230.0,159.0,89.0,110,0.0,-357.0,-168.0,42.0,42.0,0.0,-210.0,-210.0,0.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,-186.0,-220.0,-355.0,-42.0,424.0,0.0,-466.0,185.0,191.0,-6.0,-8.0,75.0,964.0,
09/30/2009,1736,957,290,414,40.0,209.0,165,75,-89.0,22.0,136.0,6,0.0,-701.0,-170.0,5.0,5.0,0.0,-175.0,-175.0,0.0,0.0,0.0,0.0,-48.0,7.0,-55.0,0.0,-483.0,-290.0,-361.0,6.0,-457.0,463.0,0.0,66.0,70.0,-4.0,-1.0,-102.0,643.0,
12/31/2009,1044,935,298,-236,31.0,507.0,-774,47,366.0,-16.0,49.0,-352,0.0,-656.0,-262.0,12.0,12.0,0.0,-274.0,-274.0,0.0,0.0,0.0,0.0,-4.0,-2.0,-2.0,0.0,-390.0,-597.0,-361.0,-380.0,9.0,41.0,-430.0,143.0,150.0,-7.0,1.0,10.0,-199.0,
03/31/2010,1082,930,287,-51,100.0,26.0,-177,-84,-356.0,-190.0,145.0,317,0.0,-987.0,-154.0,3.0,3.0,0.0,-157.0,-157.0,0.0,0.0,0.0,0.0,-17.0,0.0,-17.0,0.0,-816.0,-275.0,-374.0,-38.0,-27.0,9.0,-20.0,143.0,163.0,-20.0,-6.0,-12.0,-192.0,
06/30/2010,1138,1121,272,324,35.0,-8.0,297,-579,-230.0,-238.0,98.0,-209,0.0,-451.0,-179.0,1.0,1.0,0.0,-180.0,-180.0,0.0,0.0,0.0,0.0,-13.0,0.0,-13.0,0.0,-259.0,-423.0,-375.0,-30.0,-5.0,0.0,-25.0,-114.0,259.0,-373.0,96.0,-90.0,174.0,
09/30/2010,1323,1106,278,-7,50.0,2.0,-59,-54,57.0,-93.0,-70.0,52,0.0,498.0,-225.0,3.0,3.0,0.0,-228.0,-228.0,0.0,0.0,0.0,0.0,-18.0,0.0,-18.0,0.0,741.0,-464.0,-375.0,-89.0,1.0,0.0,-90.0,104.0,126.0,-22.0,-104.0,87.0,1444.0,
12/31/2010,1631,928,283,-105,36.0,-190.0,49,525,340.0,117.0,-27.0,95,0.0,-1749.0,-508.0,18.0,18.0,0.0,-526.0,-526.0,0.0,0.0,0.0,0.0,-1782.0,0.0,-1782.0,0.0,541.0,-959.0,-376.0,-315.0,7.0,99.0,-421.0,-268.0,171.0,-439.0,0.0,-12.0,-1089.0,
03/31/2011,733,1081,289,-205,101.0,3.0,-309,-432,-469.0,-180.0,80.0,137,0.0,-724.0,-229.0,2.0,2.0,0.0,-231.0,-231.0,0.0,0.0,0.0,0.0,-471.0,0.0,-471.0,0.0,-24.0,-697.0,-392.0,15.0,12.0,107.0,-104.0,-287.0,393.0,-680.0,-33.0,58.0,-630.0,
06/30/2011,1451,1160,319,274,22.0,2.0,250,-302,-117.0,-196.0,20.0,-9,0.0,-85.0,-292.0,3.0,3.0,0.0,-295.0,-295.0,0.0,0.0,0.0,0.0,-16.0,0.0,-16.0,0.0,223.0,-740.0,-391.0,-62.0,-25.0,2.0,-39.0,-269.0,409.0,-678.0,-18.0,3.0,629.0,
09/30/2011,1362,1088,311,-32,35.0,-42.0,-25,-5,29.0,12.0,-130.0,84,0.0,-775.0,-329.0,7.0,7.0,0.0,-336.0,-336.0,0.0,0.0,0.0,0.0,-44.0,0.0,-44.0,0.0,-402.0,-461.0,-388.0,668.0,0.0,999.0,-331.0,-734.0,115.0,-849.0,-7.0,-126.0,0.0,
